topology,region,min_m1_C11_minus_absC12_over_C11,min_m2_C11_plus_2C12_over_C11,min_m3_C44_over_C11,min_d1_dC11_minus_dC12,min_d2_dC11_plus_2dC12,min_d3_dC44,argmin_rho_tensor,pass_tensor
octet,lower_bridge,5.142613e-01,1.962085e+00,4.544738e-01,3.544182e-01,1.339992e+00,3.198286e-01,0.050470,1
octet,band,5.124746e-01,1.661498e+00,2.661374e-01,4.220299e+02,1.655330e+03,3.597309e+02,0.899880,1
octet,upper_bridge,5.074627e-01,1.835431e+00,2.537313e-01,3.051732e+03,2.499725e+04,3.003022e+03,1.000000,1
octet,full,5.074627e-01,1.661498e+00,2.537313e-01,6.999151e+00,2.646394e+01,6.315574e+00,1.000000,1
sc,lower_bridge,9.397184e-01,1.085016e+00,9.162292e-03,1.303183e+00,1.476754e+00,1.247136e-02,0.000022,1
sc,band,7.915143e-01,1.120563e+00,2.152919e-02,1.440389e+03,1.872087e+03,6.778252e+01,0.086590,1
sc,upper_bridge,5.074627e-01,1.416971e+00,1.800898e-01,2.360457e+03,5.818884e+03,1.071165e+03,0.496380,1
sc,full,5.074627e-01,1.085066e+00,9.179517e-03,1.502131e+01,1.702382e+01,1.441640e-01,0.000250,1
bcc,lower_bridge,5.507420e-02,2.628624e+00,7.224793e-01,3.163524e-02,1.659633e+00,4.778806e-01,0.000053,1
bcc,band,1.856879e-01,1.928220e+00,4.194848e-01,3.513325e+02,2.549004e+03,6.571204e+02,0.210500,1
bcc,upper_bridge,5.074627e-01,1.874908e+00,2.537313e-01,3.128192e+03,7.221885e+03,1.250304e+03,1.000000,1
bcc,full,5.515359e-02,1.874908e+00,2.537313e-01,1.505366e-01,7.879685e+00,2.268819e+00,0.000250,1
fcc,lower_bridge,5.012699e-01,1.963052e+00,4.309566e-01,3.691939e-01,1.471158e+00,3.368364e-01,0.095050,1
fcc,band,5.184738e-01,1.658036e+00,2.912030e-01,5.558414e+02,1.957856e+03,4.020709e+02,0.590930,1
fcc,upper_bridge,5.074627e-01,1.657077e+00,2.537313e-01,3.548553e+03,8.231447e+03,1.243622e+03,1.000000,1
fcc,full,5.012930e-01,1.657077e+00,2.537313e-01,3.878440e+00,1.545314e+01,3.537862e+00,1.000000,1
diamond,lower_bridge,1.647901e-01,2.401250e+00,2.729554e-01,9.565617e-02,1.549990e+00,1.584388e-01,0.000039,1
diamond,band,2.993751e-01,1.912267e+00,4.024357e-01,4.899096e+02,2.363428e+03,5.988342e+02,0.157120,1
diamond,upper_bridge,5.074627e-01,1.905598e+00,2.537313e-01,2.707623e+03,8.541285e+03,1.484386e+03,1.000000,1
diamond,full,1.649081e-01,1.905598e+00,2.537313e-01,6.090386e-01,9.856819e+00,1.008319e+00,0.000250,1
kelvin,lower_bridge,2.125916e-01,2.279865e+00,7.197956e-02,1.259907e-01,1.525847e+00,4.265827e-02,0.000023,1
kelvin,band,3.600677e-01,1.620141e+00,1.256754e-01,5.507691e+02,2.030587e+03,1.948706e+02,0.093750,1
kelvin,upper_bridge,5.074627e-01,1.650248e+00,2.537313e-01,2.245421e+03,7.331564e+03,1.396022e+03,1.000000,1
kelvin,full,2.128153e-01,1.620141e+00,7.206101e-02,1.344202e+00,1.624945e+01,4.551778e-01,0.000250,1
rhombic,lower_bridge,9.334183e-02,2.503365e+00,1.654596e-01,5.593309e-02,1.685577e+00,9.914147e-02,0.000043,1
rhombic,band,2.483175e-01,1.899238e+00,3.034444e-01,4.679018e+02,2.472823e+03,5.101714e+02,0.172450,1
rhombic,upper_bridge,5.074627e-01,1.861710e+00,2.537313e-01,2.888527e+03,7.367927e+03,1.424821e+03,1.000000,1
rhombic,full,9.346265e-02,1.861710e+00,1.655672e-01,3.247686e-01,9.766869e+00,5.750974e-01,0.000250,1
