topology,rho,dC11,dC12,dC44,region
octet,0.0000,0.000000,0.000000,0.000000,lower_bridge
octet,0.0025,130.680345,62.888052,61.124522,lower_bridge
octet,0.0050,252.041138,121.343701,117.735235,lower_bridge
octet,0.0075,364.082381,175.366949,169.832140,lower_bridge
octet,0.0100,466.804072,224.957794,217.415236,lower_bridge
octet,0.0125,560.206213,270.116237,260.484524,lower_bridge
octet,0.0150,644.288802,310.842278,299.040004,lower_bridge
octet,0.0175,719.051841,347.135917,333.081675,lower_bridge
octet,0.0200,784.495328,378.997154,362.609538,lower_bridge
octet,0.0225,840.619265,406.425989,387.623592,lower_bridge
octet,0.0250,887.423650,429.422422,408.123838,lower_bridge
octet,0.0275,924.908485,447.986452,424.110276,lower_bridge
octet,0.0300,953.073768,462.118081,435.582905,lower_bridge
octet,0.0325,971.919501,471.817307,442.541726,lower_bridge
octet,0.0350,981.445682,477.084131,444.986738,lower_bridge
octet,0.0375,981.652312,477.918553,442.917942,lower_bridge
octet,0.0400,972.539392,474.320573,436.335338,lower_bridge
octet,0.0425,954.106920,466.290191,425.238925,lower_bridge
octet,0.0450,926.354897,453.827407,409.628704,lower_bridge
octet,0.0475,889.283324,436.932220,389.504674,lower_bridge
octet,0.0500,842.892199,415.604632,364.866836,lower_bridge
octet,0.0525,841.167165,414.875409,361.781693,band
octet,0.0550,851.069323,419.431453,364.295877,band
octet,0.0575,860.977060,423.885939,366.797757,band
octet,0.0600,870.891512,428.240492,369.287723,band
octet,0.0625,880.813815,432.496736,371.766160,band
octet,0.0650,890.745104,436.656293,374.233457,band
octet,0.0675,900.686516,440.720788,376.690001,band
octet,0.0700,910.639186,444.691844,379.136180,band
octet,0.0725,920.604250,448.571085,381.572381,band
octet,0.0750,930.582843,452.360134,383.998993,band
octet,0.0775,940.576102,456.060614,386.416403,band
octet,0.0800,950.585161,459.674151,388.824998,band
octet,0.0825,960.611158,463.202366,391.225167,band
octet,0.0850,970.655227,466.646884,393.617296,band
octet,0.0875,980.718504,470.009328,396.001774,band
octet,0.0900,990.802125,473.291322,398.378988,band
octet,0.0925,1000.907226,476.494489,400.749326,band
