topology,component,fd_max_rel_interior,fd_max_rel_joints,pass
octet,C11,9.245e-09,0.000e+00,1
octet,C12,9.140e-09,0.000e+00,1
octet,C44,9.564e-09,0.000e+00,1
sc,C11,5.481e-09,0.000e+00,1
sc,C12,2.919e-09,0.000e+00,1
sc,C44,2.757e-09,0.000e+00,1
bcc,C11,1.675e-09,1.239e-06,1
bcc,C12,2.102e-09,1.596e-06,1
bcc,C44,2.082e-09,1.554e-06,1
fcc,C11,4.594e-09,0.000e+00,1
fcc,C12,4.800e-09,0.000e+00,1
fcc,C44,4.939e-09,0.000e+00,1
diamond,C11,2.210e-09,0.000e+00,1
diamond,C12,2.883e-09,0.000e+00,1
diamond,C44,2.339e-10,0.000e+00,1
kelvin,C11,3.991e-09,0.000e+00,1
kelvin,C12,5.253e-09,0.000e+00,1
kelvin,C44,1.010e-09,0.000e+00,1
rhombic,C11,2.036e-09,0.000e+00,1
rhombic,C12,2.682e-09,0.000e+00,1
rhombic,C44,1.107e-09,0.000e+00,1
