i,j,k,rho
0,0,0,1.000000
1,0,0,1.000000
2,0,0,1.000000
3,0,0,1.000000
4,0,0,1.000000
5,0,0,1.000000
6,0,0,1.000000
7,0,0,1.000000
8,0,0,1.000000
9,0,0,1.000000
10,0,0,1.000000
11,0,0,1.000000
12,0,0,1.000000
13,0,0,1.000000
14,0,0,1.000000
15,0,0,1.000000
16,0,0,1.000000
17,0,0,1.000000
18,0,0,1.000000
19,0,0,1.000000
20,0,0,1.000000
21,0,0,1.000000
22,0,0,1.000000
23,0,0,1.000000
24,0,0,1.000000
25,0,0,1.000000
26,0,0,1.000000
27,0,0,1.000000
28,0,0,1.000000
29,0,0,0.900578
30,0,0,0.555323
31,0,0,0.255712
32,0,0,0.178115
33,0,0,0.069764
34,0,0,0.004502
35,0,0,0.000000
36,0,0,0.000000
37,0,0,0.000000
38,0,0,0.000000
39,0,0,0.000000
40,0,0,0.000000
41,0,0,0.000000
42,0,0,0.000000
43,0,0,0.000000
44,0,0,0.000000
45,0,0,0.000000
46,0,0,0.000000
47,0,0,0.000000
0,1,0,1.000000
1,1,0,1.000000
2,1,0,1.000000
3,1,0,1.000000
4,1,0,1.000000
5,1,0,1.000000
6,1,0,1.000000
7,1,0,1.000000
8,1,0,1.000000
9,1,0,1.000000
10,1,0,1.000000
11,1,0,1.000000
12,1,0,1.000000
13,1,0,1.000000
14,1,0,1.000000
15,1,0,1.000000
16,1,0,1.000000
17,1,0,0.985365
18,1,0,0.981705
19,1,0,0.968944
20,1,0,0.889268
21,1,0,0.845227
22,1,0,0.842583
23,1,0,0.865563
24,1,0,0.898481
25,1,0,0.900300
26,1,0,0.969369
27,1,0,0.981694
28,1,0,0.981695
29,1,0,0.966667
30,1,0,0.886271
31,1,0,0.838899
32,1,0,0.753015
33,1,0,0.458633
34,1,0,0.201809
35,1,0,0.146924
36,1,0,0.039627
37,1,0,0.003615
38,1,0,0.000000
39,1,0,0.000000
40,1,0,0.000000
41,1,0,0.000000
42,1,0,0.000000
43,1,0,0.000000
44,1,0,0.000000
45,1,0,0.000000
46,1,0,0.000000
47,1,0,0.000000
0,2,0,0.829070
1,2,0,0.856694
2,2,0,0.967495
3,2,0,1.000000
4,2,0,1.000000
5,2,0,1.000000
6,2,0,1.000000
7,2,0,0.989611
8,2,0,0.904126
9,2,0,0.846735
10,2,0,0.838462
11,2,0,0.838394
12,2,0,0.855622
13,2,0,0.956958
14,2,0,0.980590
15,2,0,0.981695
16,2,0,0.967062
17,2,0,0.878099
18,2,0,0.842122
19,2,0,0.764084
20,2,0,0.509885
21,2,0,0.331052
22,2,0,0.250575
23,2,0,0.299241
24,2,0,0.409281
25,2,0,0.516683
26,2,0,0.705586
27,2,0,0.777620
28,2,0,0.830421
29,2,0,0.841630
30,2,0,0.854574
31,2,0,0.882090
32,2,0,0.952091
33,2,0,0.896878
34,2,0,0.842163
35,2,0,0.734710
36,2,0,0.351282
37,2,0,0.164911
38,2,0,0.019963
39,2,0,0.000284
40,2,0,0.000000
41,2,0,0.000000
42,2,0,0.000000
43,2,0,0.000000
44,2,0,0.000000
