i,j,k,rho
0,0,0,1.000000
1,0,0,1.000000
2,0,0,1.000000
3,0,0,1.000000
4,0,0,1.000000
5,0,0,1.000000
6,0,0,1.000000
7,0,0,1.000000
8,0,0,1.000000
9,0,0,1.000000
10,0,0,1.000000
11,0,0,1.000000
12,0,0,1.000000
13,0,0,1.000000
14,0,0,1.000000
15,0,0,1.000000
16,0,0,1.000000
17,0,0,1.000000
18,0,0,1.000000
19,0,0,1.000000
20,0,0,1.000000
21,0,0,1.000000
22,0,0,1.000000
23,0,0,1.000000
24,0,0,1.000000
25,0,0,1.000000
26,0,0,1.000000
27,0,0,1.000000
28,0,0,1.000000
29,0,0,1.000000
30,0,0,0.982259
31,0,0,0.747512
32,0,0,0.324145
33,0,0,0.176003
34,0,0,0.051356
35,0,0,0.005065
36,0,0,0.000000
37,0,0,0.000000
38,0,0,0.000000
39,0,0,0.000000
40,0,0,0.000000
41,0,0,0.000000
42,0,0,0.000000
43,0,0,0.000000
44,0,0,0.000000
45,0,0,0.000000
46,0,0,0.000000
47,0,0,0.000000
0,1,0,1.000000
1,1,0,1.000000
2,1,0,1.000000
3,1,0,1.000000
4,1,0,1.000000
5,1,0,1.000000
6,1,0,1.000000
7,1,0,1.000000
8,1,0,1.000000
9,1,0,1.000000
10,1,0,1.000000
11,1,0,1.000000
12,1,0,1.000000
13,1,0,1.000000
14,1,0,1.000000
15,1,0,1.000000
16,1,0,1.000000
17,1,0,1.000000
18,1,0,0.985550
19,1,0,0.981696
20,1,0,0.970183
21,1,0,0.897054
22,1,0,0.850135
23,1,0,0.849018
24,1,0,0.884769
25,1,0,0.898908
26,1,0,0.969460
27,1,0,0.981694
28,1,0,0.981694
29,1,0,0.981703
30,1,0,0.988764
31,1,0,0.966822
32,1,0,0.856701
33,1,0,0.738140
34,1,0,0.360865
35,1,0,0.174957
36,1,0,0.058620
37,1,0,0.006901
38,1,0,0.000000
39,1,0,0.000000
40,1,0,0.000000
41,1,0,0.000000
42,1,0,0.000000
43,1,0,0.000000
44,1,0,0.000000
45,1,0,0.000000
46,1,0,0.000000
47,1,0,0.000000
0,2,0,0.829070
1,2,0,0.845468
2,2,0,0.897974
3,2,0,0.988774
4,2,0,1.000000
5,2,0,1.000000
6,2,0,1.000000
7,2,0,1.000000
8,2,0,1.000000
9,2,0,0.963410
10,2,0,0.856695
11,2,0,0.838388
12,2,0,0.838388
13,2,0,0.838389
14,2,0,0.845839
15,2,0,0.900086
16,2,0,0.970833
17,2,0,0.967244
18,2,0,0.879171
19,2,0,0.842257
20,2,0,0.771296
21,2,0,0.534840
22,2,0,0.355774
23,2,0,0.313112
24,2,0,0.355204
25,2,0,0.462980
26,2,0,0.684812
27,2,0,0.783423
28,2,0,0.830821
29,2,0,0.845509
30,2,0,0.885932
31,2,0,0.900662
32,2,0,0.969720
33,2,0,0.985940
34,2,0,0.881444
35,2,0,0.757949
36,2,0,0.407817
37,2,0,0.189249
38,2,0,0.051121
39,2,0,0.005629
40,2,0,0.000000
41,2,0,0.000000
42,2,0,0.000000
43,2,0,0.000000
44,2,0,0.000000
