strategy,bin_lo,bin_hi,count
simp,0.00,0.01,2684
simp,0.01,0.02,320
simp,0.02,0.03,60
simp,0.03,0.04,116
simp,0.04,0.05,12
simp,0.05,0.06,12
simp,0.06,0.07,12
simp,0.07,0.08,12
simp,0.08,0.09,0
simp,0.09,0.10,12
simp,0.10,0.11,24
simp,0.11,0.12,16
simp,0.12,0.13,100
simp,0.13,0.14,100
simp,0.14,0.15,84
simp,0.15,0.16,232
simp,0.16,0.17,76
simp,0.17,0.18,12
simp,0.18,0.19,20
simp,0.19,0.20,8
simp,0.20,0.21,4
simp,0.21,0.22,8
simp,0.22,0.23,8
simp,0.23,0.24,28
simp,0.24,0.25,44
simp,0.25,0.26,56
simp,0.26,0.27,52
simp,0.27,0.28,96
simp,0.28,0.29,76
simp,0.29,0.30,28
simp,0.30,0.31,12
simp,0.31,0.32,8
simp,0.32,0.33,12
simp,0.33,0.34,16
simp,0.34,0.35,20
simp,0.35,0.36,12
simp,0.36,0.37,24
simp,0.37,0.38,12
simp,0.38,0.39,8
simp,0.39,0.40,12
simp,0.40,0.41,4
simp,0.41,0.42,4
simp,0.42,0.43,4
simp,0.43,0.44,0
simp,0.44,0.45,8
simp,0.45,0.46,4
simp,0.46,0.47,8
simp,0.47,0.48,4
simp,0.48,0.49,0
simp,0.49,0.50,4
simp,0.50,0.51,0
simp,0.51,0.52,4
simp,0.52,0.53,16
simp,0.53,0.54,0
simp,0.54,0.55,4
simp,0.55,0.56,8
simp,0.56,0.57,4
simp,0.57,0.58,0
simp,0.58,0.59,24
simp,0.59,0.60,4
simp,0.60,0.61,28
simp,0.61,0.62,0
simp,0.62,0.63,20
simp,0.63,0.64,20
simp,0.64,0.65,16
simp,0.65,0.66,8
simp,0.66,0.67,4
simp,0.67,0.68,12
simp,0.68,0.69,12
simp,0.69,0.70,40
simp,0.70,0.71,16
simp,0.71,0.72,48
simp,0.72,0.73,72
simp,0.73,0.74,64
simp,0.74,0.75,52
simp,0.75,0.76,32
simp,0.76,0.77,8
simp,0.77,0.78,8
simp,0.78,0.79,4
simp,0.79,0.80,8
simp,0.80,0.81,28
simp,0.81,0.82,16
simp,0.82,0.83,68
simp,0.83,0.84,104
simp,0.84,0.85,188
simp,0.85,0.86,96
simp,0.86,0.87,136
simp,0.87,0.88,64
simp,0.88,0.89,4
simp,0.89,0.90,20
simp,0.90,0.91,8
simp,0.91,0.92,8
simp,0.92,0.93,0
simp,0.93,0.94,8
simp,0.94,0.95,20
simp,0.95,0.96,24
simp,0.96,0.97,120
simp,0.97,0.98,48
simp,0.98,0.99,252
simp,0.99,1.00,676
s0_plain,0.00,0.01,2216
s0_plain,0.01,0.02,160
s0_plain,0.02,0.03,60
s0_plain,0.03,0.04,100
s0_plain,0.04,0.05,100
s0_plain,0.05,0.06,64
s0_plain,0.06,0.07,132
s0_plain,0.07,0.08,28
s0_plain,0.08,0.09,48
s0_plain,0.09,0.10,40
s0_plain,0.10,0.11,32
s0_plain,0.11,0.12,28
s0_plain,0.12,0.13,64
s0_plain,0.13,0.14,116
s0_plain,0.14,0.15,136
s0_plain,0.15,0.16,300
s0_plain,0.16,0.17,48
s0_plain,0.17,0.18,48
s0_plain,0.18,0.19,36
s0_plain,0.19,0.20,8
s0_plain,0.20,0.21,16
s0_plain,0.21,0.22,16
s0_plain,0.22,0.23,36
s0_plain,0.23,0.24,44
s0_plain,0.24,0.25,28
s0_plain,0.25,0.26,40
s0_plain,0.26,0.27,64
