strategy,phase,iter,compliance,vol_frac,cg_iters,n_void,n_lower_gap,n_band,n_upper_gap,n_solid,change
simp,0,0,1.73621248e+03,0.35000,236,0,0,6912,0,0,0.20000
simp,0,1,1.08246009e+03,0.35000,242,0,0,6912,0,0,0.20000
simp,0,2,7.49584467e+02,0.35000,261,0,72,6840,0,0,0.20000
simp,0,3,5.96770101e+02,0.35000,276,12,368,6340,192,0,0.20000
simp,0,4,5.23221686e+02,0.35000,301,120,464,6012,240,76,0.19061
simp,0,5,4.67578678e+02,0.35000,311,328,452,5688,344,100,0.20000
simp,0,6,4.27479866e+02,0.35000,330,500,492,5484,320,116,0.19640
simp,0,7,3.88162977e+02,0.35000,338,696,480,5308,304,124,0.20000
simp,0,8,3.53466152e+02,0.35000,360,856,472,5124,308,152,0.20000
simp,0,9,3.18453401e+02,0.35000,375,1008,496,4920,280,208,0.20000
simp,0,10,2.85280487e+02,0.35000,394,1144,536,4612,352,268,0.20000
simp,0,11,2.59720710e+02,0.35000,418,1236,648,4296,408,324,0.20000
simp,0,12,2.40813814e+02,0.35000,432,1316,796,3876,580,344,0.20000
simp,0,13,2.27678184e+02,0.35000,446,1404,1268,3180,680,380,0.20000
simp,0,14,2.20021421e+02,0.35000,445,1536,1356,2880,672,468,0.20000
simp,0,15,2.15924301e+02,0.35000,452,1960,1020,2780,660,492,0.20000
simp,0,16,2.13483226e+02,0.35000,455,2084,948,2728,624,528,0.19463
simp,0,17,2.12053640e+02,0.35000,459,2148,916,2696,620,532,0.20000
simp,0,18,2.11047190e+02,0.35000,460,2216,876,2664,608,548,0.14146
simp,0,19,2.10342600e+02,0.35000,453,2272,836,2656,588,560,0.11557
simp,0,20,2.09766419e+02,0.35000,458,2312,816,2624,600,560,0.14377
simp,0,21,2.09267028e+02,0.35000,460,2340,800,2620,592,560,0.19142
simp,0,22,2.08814717e+02,0.35000,460,2356,788,2616,580,572,0.20000
simp,0,23,2.08425337e+02,0.35000,459,2380,772,2600,580,580,0.09512
simp,0,24,2.08139993e+02,0.35000,459,2416,728,2604,576,588,0.09900
simp,0,25,2.07897126e+02,0.35000,459,2436,728,2576,584,588,0.10012
simp,0,26,2.07691157e+02,0.35000,459,2452,716,2572,584,588,0.10185
simp,0,27,2.07507311e+02,0.35000,459,2460,708,2568,584,592,0.12073
simp,0,28,2.07338896e+02,0.35000,459,2480,684,2572,580,596,0.14155
simp,0,29,2.07180189e+02,0.35000,459,2504,668,2580,564,596,0.12746
simp,0,30,2.07051077e+02,0.35000,458,2508,676,2564,556,608,0.06841
simp,0,31,2.06959766e+02,0.35000,458,2512,672,2564,556,608,0.07382
simp,0,32,2.06873318e+02,0.35000,458,2516,668,2564,548,616,0.07965
simp,0,33,2.06792120e+02,0.35000,458,2528,656,2568,544,616,0.08568
simp,0,34,2.06716286e+02,0.35000,458,2532,652,2568,544,616,0.09304
simp,0,35,2.06642427e+02,0.35000,458,2540,644,2568,540,620,0.11158
simp,0,36,2.06577160e+02,0.35000,457,2556,620,2580,532,624,0.08921
simp,0,37,2.06517283e+02,0.35000,457,2564,612,2580,520,636,0.08160
simp,0,38,2.06471309e+02,0.35000,457,2568,608,2580,520,636,0.06395
simp,0,39,2.06435367e+02,0.35000,456,2568,608,2580,524,632,0.06655
simp,0,40,2.06401041e+02,0.35000,456,2568,616,2568,528,632,0.06906
simp,0,41,2.06368918e+02,0.35000,457,2568,612,2572,528,632,0.07161
simp,0,42,2.06339599e+02,0.35000,457,2572,608,2572,516,644,0.07147
simp,0,43,2.06311128e+02,0.35000,457,2572,612,2564,516,648,0.04155
simp,0,44,2.06287026e+02,0.35000,457,2572,620,2556,516,648,0.04045
simp,0,45,2.06264886e+02,0.35000,457,2564,624,2564,512,648,0.03198
simp,0,46,2.06243135e+02,0.35000,457,2568,616,2568,512,648,0.03562
simp,0,47,2.06221613e+02,0.35000,457,2568,616,2564,516,648,0.03887
simp,0,48,2.06199455e+02,0.35000,457,2568,620,2548,528,648,0.04213
simp,0,49,2.06176612e+02,0.35000,457,2568,616,2552,528,648,0.04532
simp,0,50,2.06153070e+02,0.35000,458,2568,612,2552,532,648,0.04829
simp,0,51,2.06128834e+02,0.35000,457,2576,604,2548,536,648,0.05086
simp,0,52,2.06103947e+02,0.35000,457,2576,608,2544,536,648,0.05288
simp,0,53,2.06078502e+02,0.35000,458,2576,608,2548,532,648,0.05437
simp,0,54,2.06052604e+02,0.35000,458,2576,608,2544,536,648,0.05476
simp,0,55,2.06026347e+02,0.35000,458,2580,612,2536,536,648,0.05411
simp,0,56,2.05999832e+02,0.35000,458,2584,608,2536,536,648,0.05248
simp,0,57,2.05973164e+02,0.35000,458,2592,608,2528,540,644,0.05639
simp,0,58,2.05946396e+02,0.35000,458,2592,608,2532,536,644,0.06192
simp,0,59,2.05919555e+02,0.35000,458,2592,608,2536,532,644,0.06826
simp,0,60,2.05893212e+02,0.35000,458,2592,608,2536,528,648,0.07631
