h_mm,config,state,K_N_per_mm,cg_iters,used_multigrid,solid_voxels,solid_fraction
0.5,base,S1_tension_x,5491.27738033,120,1,9872,0.535590
0.5,base,S2_tension_y,5491.27738033,120,1,9872,0.535590
0.5,base,S3_shear_xy,1583.11608635,134,1,9872,0.535590
0.5,base,S4_compress_z,203548.516532,50,1,9872,0.535590
0.5,base,S5_bend_tipz,134.779856502,182,1,9872,0.535590
0.5,base,S6_shear_zx,70960.3741267,58,1,9872,0.535590
0.25,base,S1_tension_x,2406.93563667,291,1,57376,0.389106
0.25,base,S2_tension_y,2406.93563667,291,1,57376,0.389106
0.25,base,S3_shear_xy,741.116122641,289,1,57376,0.389106
0.25,base,S4_compress_z,90706.0383467,67,1,57376,0.389106
0.25,base,S5_bend_tipz,49.6938504045,1197,0,57376,0.389106
0.25,base,S6_shear_zx,34775.1626494,83,1,57376,0.389106
0.2,base,S1_tension_x,2305.53307735,862,0,109776,0.381167
0.2,base,S2_tension_y,2305.53307735,862,0,109776,0.381167
0.2,base,S3_shear_xy,632.670508973,943,0,109776,0.381167
0.2,base,S4_compress_z,88774.0832337,349,0,109776,0.381167
0.2,base,S5_bend_tipz,46.9771969807,1575,0,109776,0.381167
0.2,base,S6_shear_zx,31632.2016126,437,0,109776,0.381167
0.166667,base,S1_tension_x,2083.8677886,1078,0,186152,0.374052
0.166667,base,S2_tension_y,2083.86778859,1078,0,186152,0.374052
0.166667,base,S3_shear_xy,638.553673686,1159,0,186152,0.374052
0.166667,base,S4_compress_z,79339.4115218,430,0,186152,0.374052
0.166667,base,S5_bend_tipz,42.2221858086,1922,0,186152,0.374052
0.166667,base,S6_shear_zx,31666.0386092,533,0,186152,0.374052
0.5,skin,S1_tension_x,10772.6520835,226,0,13856,0.751736
0.5,skin,S2_tension_y,10772.6520835,226,0,13856,0.751736
0.5,skin,S3_shear_xy,3004.80172662,256,0,13856,0.751736
0.5,skin,S4_compress_z,375996.165178,80,0,13856,0.751736
0.5,skin,S5_bend_tipz,452.635571617,349,0,13856,0.751736
0.5,skin,S6_shear_zx,114729.830823,93,0,13856,0.751736
0.25,skin,S1_tension_x,9372.59647829,469,0,105312,0.714193
0.25,skin,S2_tension_y,9372.59647829,469,0,105312,0.714193
0.25,skin,S3_shear_xy,2692.13260207,532,0,105312,0.714193
0.25,skin,S4_compress_z,268679.828411,176,0,105312,0.714193
0.25,skin,S5_bend_tipz,364.578800625,753,0,105312,0.714193
0.25,skin,S6_shear_zx,87166.6380853,215,0,105312,0.714193
0.2,skin,S1_tension_x,9018.556407,594,0,203760,0.707500
0.2,skin,S2_tension_y,9018.556407,594,0,203760,0.707500
0.2,skin,S3_shear_xy,2604.86141012,664,0,203760,0.707500
0.2,skin,S4_compress_z,253875.797267,222,0,203760,0.707500
0.2,skin,S5_bend_tipz,357.304472304,946,0,203760,0.707500
0.2,skin,S6_shear_zx,82183.2410757,265,0,203760,0.707500
0.166667,skin,S1_tension_x,8467.7862291,736,0,342112,0.687436
0.166667,skin,S2_tension_y,8467.78622908,736,0,342112,0.687436
0.166667,skin,S3_shear_xy,2501.44050285,826,0,342112,0.687436
0.166667,skin,S4_compress_z,236543.339007,281,0,342112,0.687436
0.166667,skin,S5_bend_tipz,344.52008865,1153,0,342112,0.687436
0.166667,skin,S6_shear_zx,78203.6323824,339,0,342112,0.687436
0.25,gbase,S1_tension_x,5174.16049888,574,0,87924,0.596273
0.25,gbase,S2_tension_y,6853.309463,761,0,87924,0.596273
0.25,gbase,S3_shear_xy,1525.10382906,638,0,87924,0.596273
0.25,gbase,S4_compress_z,215608.360629,310,0,87924,0.596273
0.25,gbase,S5_bend_tipz,138.264854852,984,0,87924,0.596273
0.25,gbase,S6_shear_zx,69024.7837508,345,0,87924,0.596273
0.25,gskin,S1_tension_x,13302.8499326,901,0,127066,0.861721
0.25,gskin,S2_tension_y,13619.208054,870,0,127066,0.861721
0.25,gskin,S3_shear_xy,3590.16931224,1027,0,127066,0.861721
0.25,gskin,S4_compress_z,453449.930741,192,0,127066,0.861721
0.25,gskin,S5_bend_tipz,512.838604337,975,0,127066,0.861721
0.25,gskin,S6_shear_zx,129603.603246,214,0,127066,0.861721
0.25,shell,S1_tension_x,9463.65562031,474,0,105880,0.718045
0.25,shell,S2_tension_y,9463.65562031,474,0,105880,0.718045
0.25,shell,S3_shear_xy,2681.78641107,531,0,105880,0.718045
0.25,shell,S4_compress_z,262001.686132,162,0,105880,0.718045
0.25,shell,S5_bend_tipz,472.763458055,743,0,105880,0.718045
0.25,shell,S6_shear_zx,80619.9024451,186,0,105880,0.718045
