target_vf,vpc,cell_mm,rho,strut_diam_mm,vox_per_strut,C11,C12,C44,zener,E100,E100_rel_dev_vs_L8,C11_rel_dev,C12_rel_dev,C44_rel_dev
0.20,16,4.0,0.1191,0.7500,3.000,111.809,52.329,45.514,1.5304,78.443,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,16,8.0,0.1191,1.5000,3.000,111.809,52.329,45.514,1.5304,78.443,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,16,16.0,0.1191,3.0000,3.000,111.809,52.329,45.514,1.5304,78.443,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,16,32.0,0.1191,6.0000,3.000,111.809,52.329,45.514,1.5304,78.443,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,24,4.0,0.2153,0.8333,5.000,239.499,104.020,91.156,1.3457,176.504,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,24,8.0,0.2153,1.6667,5.000,239.499,104.020,91.156,1.3457,176.504,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,24,16.0,0.2153,3.3333,5.000,239.499,104.020,91.156,1.3457,176.504,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,24,32.0,0.2153,6.6667,5.000,239.499,104.020,91.156,1.3457,176.504,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,32,4.0,0.1978,0.8004,6.403,208.232,92.156,80.865,1.3933,151.687,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,32,8.0,0.1978,1.6008,6.403,208.232,92.156,80.865,1.3933,151.687,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,32,16.0,0.1978,3.2016,6.403,208.232,92.156,80.865,1.3933,151.687,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.20,32,32.0,0.1978,6.4031,6.403,208.232,92.156,80.865,1.3933,151.687,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,16,4.0,0.4219,1.2500,5.000,747.394,263.063,234.583,0.9687,610.422,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,16,8.0,0.4219,2.5000,5.000,747.394,263.063,234.583,0.9687,610.422,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,16,16.0,0.4219,5.0000,5.000,747.394,263.063,234.583,0.9687,610.422,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,16,32.0,0.4219,10.0000,5.000,747.394,263.063,234.583,0.9687,610.422,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,24,4.0,0.3825,1.1902,7.141,597.888,223.469,198.175,1.0586,476.288,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,24,8.0,0.3825,2.3805,7.141,597.888,223.469,198.175,1.0586,476.288,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,24,16.0,0.3825,4.7610,7.141,597.888,223.469,198.175,1.0586,476.288,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,24,32.0,0.3825,9.5219,7.141,597.888,223.469,198.175,1.0586,476.288,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,32,4.0,0.4019,1.1388,9.110,635.971,232.498,208.696,1.0345,511.487,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,32,8.0,0.4019,2.2776,9.110,635.971,232.498,208.696,1.0345,511.487,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,32,16.0,0.4019,4.5552,9.110,635.971,232.498,208.696,1.0345,511.487,0.00e+00,0.00e+00,0.00e+00,0.00e+00
0.40,32,32.0,0.4019,9.1104,9.110,635.971,232.498,208.696,1.0345,511.487,0.00e+00,0.00e+00,0.00e+00,0.00e+00
