ratio_r_over_L,cell_mm,strut_radius_mm,rho,C11,C12,C44,rho_rel_dev,C11_rel_dev,C12_rel_dev,C44_rel_dev
0.06,2.0,0.1200,0.09505208,78.111551,37.596203,33.786970,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.06,4.0,0.2400,0.09505208,78.111551,37.596203,33.786970,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.06,8.0,0.4800,0.09505208,78.111551,37.596203,33.786970,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.06,16.0,0.9600,0.09505208,78.111551,37.596203,33.786970,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.06,32.0,1.9200,0.09505208,78.111551,37.596203,33.786970,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.10,2.0,0.2000,0.21173322,226.424223,99.120221,87.377488,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.10,4.0,0.4000,0.21173322,226.424223,99.120221,87.377488,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.10,8.0,0.8000,0.21173322,226.424223,99.120221,87.377488,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.10,16.0,1.6000,0.21173322,226.424223,99.120221,87.377488,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.10,32.0,3.2000,0.21173322,226.424223,99.120221,87.377488,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.14,2.0,0.2800,0.38071470,571.027621,213.638446,192.258589,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.14,4.0,0.5600,0.38071470,571.027621,213.638446,192.258589,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.14,8.0,1.1200,0.38071470,571.027621,213.638446,192.258589,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.14,16.0,2.2400,0.38071470,571.027621,213.638446,192.258589,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.14,32.0,4.4800,0.38071470,571.027621,213.638446,192.258589,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.18,2.0,0.3600,0.55750868,1198.408724,398.259467,354.662594,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.18,4.0,0.7200,0.55750868,1198.408724,398.259467,354.662594,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.18,8.0,1.4400,0.55750868,1198.408724,398.259467,354.662594,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.18,16.0,2.8800,0.55750868,1198.408724,398.259467,354.662594,0.000e+00,0.000e+00,0.000e+00,0.000e+00
0.18,32.0,5.7600,0.55750868,1198.408724,398.259467,354.662594,0.000e+00,0.000e+00,0.000e+00,0.000e+00
