config,phase,solves,cg_min,cg_mean,cg_max,cg_total,mg_solves,geneo_engaged_solves
plain,plain,40,209,319.1,387,12766,0,0
plain,p3,40,383,391.5,396,15660,0,0
plain,p6,40,383,499.6,591,19984,0,0
mg,plain,40,11,19.9,31,798,40,0
mg,p3,40,32,32.8,33,1310,40,0
mg,p6,40,32,34.0,34,1358,40,0
geneo,plain,40,209,319.1,387,12766,0,0
geneo,p3,40,383,391.5,396,15660,0,0
geneo,p6,40,183,274.8,537,10992,0,24
recycle,plain,40,156,324.0,568,12960,0,0
recycle,p3,40,320,369.1,397,14762,0,0
recycle,p6,40,333,352.4,366,14096,0,0
full,plain,40,11,19.9,31,798,40,0
full,p3,40,32,32.8,33,1310,40,0
full,p6,40,32,34.0,34,1358,40,0
