config,phase,iter,compliance,cg_iters,used_mg,geneo_action,geneo_dim,recycle_dim
plain,plain,0,4.93310990e+02,209,0,0,0,0
plain,plain,1,3.02696100e+02,215,0,0,0,0
plain,plain,2,2.38011053e+02,220,0,0,0,0
plain,plain,3,2.02625435e+02,240,0,0,0,0
plain,plain,4,1.90906681e+02,253,0,0,0,0
plain,plain,5,1.86289216e+02,261,0,0,0,0
plain,plain,6,1.82811938e+02,272,0,0,0,0
plain,plain,7,1.79610947e+02,279,0,0,0,0
plain,plain,8,1.76471071e+02,283,0,0,0,0
plain,plain,9,1.73714323e+02,287,0,0,0,0
plain,plain,10,1.71758868e+02,291,0,0,0,0
plain,plain,11,1.70382024e+02,294,0,0,0,0
plain,plain,12,1.69340398e+02,298,0,0,0,0
plain,plain,13,1.68459820e+02,300,0,0,0,0
plain,plain,14,1.67661554e+02,301,0,0,0,0
plain,plain,15,1.66811638e+02,299,0,0,0,0
plain,plain,16,1.65781726e+02,300,0,0,0,0
plain,plain,17,1.64301998e+02,302,0,0,0,0
plain,plain,18,1.61849233e+02,306,0,0,0,0
plain,plain,19,1.58375517e+02,314,0,0,0,0
plain,plain,20,1.55290105e+02,318,0,0,0,0
plain,plain,21,1.52702210e+02,326,0,0,0,0
plain,plain,22,1.50401166e+02,322,0,0,0,0
plain,plain,23,1.48298997e+02,335,0,0,0,0
plain,plain,24,1.46416150e+02,342,0,0,0,0
plain,plain,25,1.44751054e+02,353,0,0,0,0
plain,plain,26,1.43221968e+02,354,0,0,0,0
plain,plain,27,1.41846055e+02,360,0,0,0,0
plain,plain,28,1.40595261e+02,367,0,0,0,0
plain,plain,29,1.39461911e+02,369,0,0,0,0
plain,plain,30,1.38497121e+02,371,0,0,0,0
plain,plain,31,1.37647626e+02,367,0,0,0,0
plain,plain,32,1.36912917e+02,383,0,0,0,0
plain,plain,33,1.36299998e+02,387,0,0,0,0
plain,plain,34,1.35819319e+02,386,0,0,0,0
plain,plain,35,1.35431325e+02,382,0,0,0,0
plain,plain,36,1.35102138e+02,382,0,0,0,0
plain,plain,37,1.34818533e+02,382,0,0,0,0
plain,plain,38,1.34568905e+02,383,0,0,0,0
plain,plain,39,1.34356490e+02,373,0,0,0,0
plain,p3,40,1.35921523e+02,387,0,0,0,0
plain,p3,41,1.35639027e+02,386,0,0,0,0
plain,p3,42,1.35448774e+02,384,0,0,0,0
plain,p3,43,1.35304764e+02,383,0,0,0,0
plain,p3,44,1.35175615e+02,384,0,0,0,0
plain,p3,45,1.35075282e+02,386,0,0,0,0
plain,p3,46,1.34991266e+02,388,0,0,0,0
plain,p3,47,1.34920015e+02,390,0,0,0,0
plain,p3,48,1.34855043e+02,389,0,0,0,0
plain,p3,49,1.34790499e+02,389,0,0,0,0
plain,p3,50,1.34731744e+02,388,0,0,0,0
plain,p3,51,1.34678052e+02,388,0,0,0,0
plain,p3,52,1.34630376e+02,388,0,0,0,0
plain,p3,53,1.34586819e+02,388,0,0,0,0
plain,p3,54,1.34546241e+02,389,0,0,0,0
plain,p3,55,1.34506428e+02,391,0,0,0,0
plain,p3,56,1.34465690e+02,392,0,0,0,0
plain,p3,57,1.34424063e+02,393,0,0,0,0
plain,p3,58,1.34382144e+02,394,0,0,0,0
plain,p3,59,1.34344359e+02,394,0,0,0,0
plain,p3,60,1.34300386e+02,395,0,0,0,0
plain,p3,61,1.34256965e+02,395,0,0,0,0
plain,p3,62,1.34229360e+02,395,0,0,0,0
plain,p3,63,1.34199397e+02,396,0,0,0,0
plain,p3,64,1.34176822e+02,396,0,0,0,0
plain,p3,65,1.34155966e+02,396,0,0,0,0
plain,p3,66,1.34133561e+02,396,0,0,0,0
plain,p3,67,1.34115295e+02,396,0,0,0,0
plain,p3,68,1.34093873e+02,395,0,0,0,0
plain,p3,69,1.34075313e+02,396,0,0,0,0
plain,p3,70,1.34059627e+02,395,0,0,0,0
plain,p3,71,1.34044705e+02,395,0,0,0,0
plain,p3,72,1.34029994e+02,395,0,0,0,0
plain,p3,73,1.34017528e+02,394,0,0,0,0
plain,p3,74,1.34000843e+02,394,0,0,0,0
plain,p3,75,1.33984229e+02,392,0,0,0,0
plain,p3,76,1.33967538e+02,392,0,0,0,0
plain,p3,77,1.33951614e+02,393,0,0,0,0
plain,p3,78,1.33936106e+02,392,0,0,0,0
plain,p3,79,1.33922173e+02,391,0,0,0,0
plain,p6,80,1.34971902e+02,386,0,0,0,0
plain,p6,81,1.34952815e+02,386,0,0,0,0
plain,p6,82,1.34927736e+02,386,0,0,0,0
plain,p6,83,1.34906260e+02,385,0,0,0,0
plain,p6,84,1.34889366e+02,384,0,0,0,0
plain,p6,85,1.34868974e+02,385,0,0,0,0
plain,p6,86,1.34849448e+02,383,0,0,0,0
plain,p6,87,1.34830038e+02,384,0,0,0,0
plain,p6,88,1.34807951e+02,384,0,0,0,0
plain,p6,89,1.34789286e+02,385,0,0,0,0
plain,p6,90,1.34769183e+02,386,0,0,0,0
plain,p6,91,1.34757923e+02,387,0,0,0,0
plain,p6,92,1.34745064e+02,389,0,0,0,0
plain,p6,93,1.34732738e+02,388,0,0,0,0
plain,p6,94,1.34719366e+02,399,0,0,0,0
plain,p6,95,1.34705747e+02,431,0,0,0,0
plain,p6,96,1.34693086e+02,563,0,0,0,0
plain,p6,97,1.34676644e+02,506,0,0,0,0
plain,p6,98,1.34664056e+02,538,0,0,0,0
plain,p6,99,1.34652515e+02,559,0,0,0,0
plain,p6,100,1.34643295e+02,561,0,0,0,0
