geneo,recycle,draft,ad,phase,solves,cg_mean,cg_total,final_compliance,fnv_rho
0,0,0,0,plain,20,14.2,285,1.35897298e+02,2c999df9bf49e720
0,0,0,0,p3,20,24.8,496,1.35897298e+02,2c999df9bf49e720
0,0,0,0,p6,20,31.6,631,1.35897298e+02,2c999df9bf49e720
1,0,0,0,plain,20,14.2,285,1.35897298e+02,2c999df9bf49e720
1,0,0,0,p3,20,24.8,496,1.35897298e+02,2c999df9bf49e720
1,0,0,0,p6,20,31.6,631,1.35897298e+02,2c999df9bf49e720
0,1,0,0,plain,20,14.2,285,1.35897298e+02,2c999df9bf49e720
0,1,0,0,p3,20,24.8,496,1.35897298e+02,2c999df9bf49e720
0,1,0,0,p6,20,31.6,631,1.35897298e+02,2c999df9bf49e720
1,1,0,0,plain,20,14.2,285,1.35897298e+02,2c999df9bf49e720
1,1,0,0,p3,20,24.8,496,1.35897298e+02,2c999df9bf49e720
1,1,0,0,p6,20,31.6,631,1.35897298e+02,2c999df9bf49e720
0,0,1,0,plain,20,8.2,165,1.35902978e+02,393cafcc52512f77
0,0,1,0,p3,20,13.8,277,1.35902978e+02,393cafcc52512f77
0,0,1,0,p6,20,18.5,370,1.35902978e+02,393cafcc52512f77
1,0,1,0,plain,20,8.2,165,1.35902978e+02,393cafcc52512f77
1,0,1,0,p3,20,13.8,277,1.35902978e+02,393cafcc52512f77
1,0,1,0,p6,20,18.5,370,1.35902978e+02,393cafcc52512f77
0,1,1,0,plain,20,8.2,165,1.35902978e+02,393cafcc52512f77
0,1,1,0,p3,20,13.8,277,1.35902978e+02,393cafcc52512f77
0,1,1,0,p6,20,18.5,370,1.35902978e+02,393cafcc52512f77
1,1,1,0,plain,20,8.2,165,1.35902978e+02,393cafcc52512f77
1,1,1,0,p3,20,13.8,277,1.35902978e+02,393cafcc52512f77
1,1,1,0,p6,20,18.5,370,1.35902978e+02,393cafcc52512f77
0,0,0,1,plain,20,15.9,318,1.35910810e+02,6f00f823d324944b
0,0,0,1,p3,20,25.9,517,1.35910810e+02,6f00f823d324944b
0,0,0,1,p6,20,31.6,631,1.35910810e+02,6f00f823d324944b
1,0,0,1,plain,20,15.9,318,1.35910810e+02,6f00f823d324944b
1,0,0,1,p3,20,25.9,517,1.35910810e+02,6f00f823d324944b
1,0,0,1,p6,20,31.6,631,1.35910810e+02,6f00f823d324944b
0,1,0,1,plain,20,15.9,318,1.35910810e+02,6f00f823d324944b
0,1,0,1,p3,20,25.9,517,1.35910810e+02,6f00f823d324944b
0,1,0,1,p6,20,31.6,631,1.35910810e+02,6f00f823d324944b
1,1,0,1,plain,20,15.9,318,1.35910810e+02,6f00f823d324944b
1,1,0,1,p3,20,25.9,517,1.35910810e+02,6f00f823d324944b
1,1,0,1,p6,20,31.6,631,1.35910810e+02,6f00f823d324944b
0,0,1,1,plain,20,8.6,171,1.35926686e+02,47168326074dcaff
0,0,1,1,p3,20,14.2,283,1.35926686e+02,47168326074dcaff
0,0,1,1,p6,20,18.5,370,1.35926686e+02,47168326074dcaff
1,0,1,1,plain,20,8.6,171,1.35926686e+02,47168326074dcaff
1,0,1,1,p3,20,14.2,283,1.35926686e+02,47168326074dcaff
1,0,1,1,p6,20,18.5,370,1.35926686e+02,47168326074dcaff
0,1,1,1,plain,20,8.6,171,1.35926686e+02,47168326074dcaff
0,1,1,1,p3,20,14.2,283,1.35926686e+02,47168326074dcaff
0,1,1,1,p6,20,18.5,370,1.35926686e+02,47168326074dcaff
1,1,1,1,plain,20,8.6,171,1.35926686e+02,47168326074dcaff
1,1,1,1,p3,20,14.2,283,1.35926686e+02,47168326074dcaff
1,1,1,1,p6,20,18.5,370,1.35926686e+02,47168326074dcaff
