case,nx,ny,nz,on_cube_axis,support_voxels,macro_il_tension_mpa,macro_il_margin,macro_worst_margin,strut_in_plane,strut_interlayer,strut_il_bound_mpa,il_cross_factor,horiz_len_frac,horiz_count_frac,min_phi_deg,mean_phi_deg,build_height_voxels,footprint_voxels,min_feature_violations
A,-0.577350269,-0.577350269,-0.577350269,0,79,9.090096512,3.327797451,2.013778001,0.519631784,0.140495125,215.309961552,1.154700538,0.500000000,0.500000000,0.000000,27.367805,22,5,0
A,0.000000000,-0.707106781,-0.707106781,0,15,15.890942216,1.903600151,1.903600151,0.519631784,0.196172788,154.200795827,0.577350269,0.166666667,0.166666667,0.000000,35.000000,27,12,0
A,0.577350269,-0.577350269,-0.577350269,0,79,20.418407437,1.481506337,1.481506337,0.519631784,0.140495125,215.309961552,1.154700538,0.500000000,0.500000000,0.000000,27.367805,30,4,0
A,-0.707106781,0.000000000,-0.707106781,0,34,10.709657479,2.824553452,2.013778001,0.519631784,0.196172788,154.200795827,0.577350269,0.166666667,0.166666667,0.000000,35.000000,18,38,0
A,0.000000000,0.000000000,-1.000000000,1,0,4.041930417,7.484047690,2.013778001,0.519631784,0.324948655,93.091630101,0.000000000,0.333333333,0.333333333,0.000000,30.000000,6,440,0
A,0.707106781,0.000000000,-0.707106781,0,21,10.709657479,2.824553452,2.013778001,0.519631784,0.196172788,154.200795827,0.577350269,0.166666667,0.166666667,0.000000,35.000000,18,77,0
A,-0.577350269,0.577350269,-0.577350269,0,81,20.418407437,1.481506337,1.481506337,0.519631784,0.140495125,215.309961552,1.154700538,0.500000000,0.500000000,0.000000,27.367805,30,15,0
A,0.000000000,0.707106781,-0.707106781,0,13,15.890942216,1.903600151,1.903600151,0.519631784,0.196172788,154.200795827,0.577350269,0.166666667,0.166666667,0.000000,35.000000,27,22,0
A,0.577350269,0.577350269,-0.577350269,0,83,9.090096512,3.327797451,2.013778001,0.519631784,0.140495125,215.309961552,1.154700538,0.500000000,0.500000000,0.000000,27.367805,22,9,0
A,-0.707106781,-0.707106781,0.000000000,0,24,10.195542731,2.966982808,2.013778001,0.519631784,0.196172788,154.200795827,0.577350269,0.166666667,0.166666667,0.000000,35.000000,23,24,0
A,0.000000000,-1.000000000,0.000000000,1,42,28.102451730,1.076418538,1.076418538,0.519631784,0.324948655,93.091630101,0.000000000,0.333333333,0.333333333,0.000000,30.000000,32,48,0
A,0.707106781,-0.707106781,0.000000000,0,24,27.689755982,1.092461776,1.092461776,0.519631784,0.196172788,154.200795827,0.577350269,0.166666667,0.166666667,0.000000,35.000000,33,18,0
A,-1.000000000,0.000000000,0.000000000,1,150,16.621169239,1.819968232,1.819968232,0.519631784,0.324948655,93.091630101,0.000000000,0.333333333,0.333333333,0.000000,30.000000,19,156,0
A,1.000000000,0.000000000,0.000000000,1,72,16.621169239,1.819968232,1.819968232,0.519631784,0.324948655,93.091630101,0.000000000,0.333333333,0.333333333,0.000000,30.000000,19,312,0
A,-0.707106781,0.707106781,0.000000000,0,12,27.689755982,1.092461776,1.092461776,0.519631784,0.196172788,154.200795827,0.577350269,0.166666667,0.166666667,0.000000,35.000000,33,66,0
A,0.000000000,1.000000000,0.000000000,1,18,28.102451730,1.076418538,1.076418538,0.519631784,0.324948655,93.091630101,0.000000000,0.333333333,0.333333333,0.000000,30.000000,32,96,0
A,0.707106781,0.707106781,0.000000000,0,24,10.195542731,2.966982808,2.013778001,0.519631784,0.196172788,154.200795827,0.577350269,0.166666667,0.166666667,0.000000,35.000000,23,42,0
A,-0.577350269,-0.577350269,0.577350269,0,79,9.090096512,3.327797451,2.013778001,0.519631784,0.140495125,215.309961552,1.154700538,0.500000000,0.500000000,0.000000,27.367805,22,5,0
A,0.000000000,-0.707106781,0.707106781,0,15,15.890942216,1.903600151,1.903600151,0.519631784,0.196172788,154.200795827,0.577350269,0.166666667,0.166666667,0.000000,35.000000,27,12,0
