block,posture,iter,used_mg,cg_iters,geneo_action,geneo_dim,geneo_burn,geneo_threshold,solve_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms
1,plain,0,1,52,0,0,0,0,2259.723,0.000,0.000,0.000,0.000
1,plain,1,1,47,0,0,0,0,1984.270,0.000,0.000,0.000,0.000
1,plain,2,0,5803,0,0,0,0,82594.463,70915.548,0.000,0.000,869.045
1,plain,3,1,161,0,0,0,0,13756.427,0.000,0.000,0.000,0.000
1,plain,4,0,8004,0,0,0,0,153294.298,98756.184,0.000,0.000,35059.801
1,plain,5,1,237,0,0,0,0,8421.301,0.000,0.000,0.000,0.000
1,plain,6,1,187,0,0,0,0,7641.734,0.000,0.000,0.000,0.000
1,plain,7,1,231,0,0,0,0,10658.317,0.000,0.000,0.000,0.000
1,plain,8,1,219,0,0,0,0,8075.535,0.000,0.000,0.000,0.000
1,plain,9,1,172,0,0,0,0,5916.508,0.000,0.000,0.000,0.000
1,plain,10,1,150,0,0,0,0,5716.288,0.000,0.000,0.000,0.000
1,plain,11,1,86,0,0,0,0,5706.882,0.000,0.000,0.000,0.000
1,armed,0,1,52,0,0,0,0,4127.314,0.000,0.000,0.000,0.000
1,armed,1,1,47,0,0,0,0,3089.879,0.000,0.000,0.000,0.000
1,armed,2,0,865,3,878,500,0,140757.988,11095.457,110401.556,4367.306,356.026
1,armed,3,1,149,0,0,0,0,9618.746,0.000,0.000,0.000,0.000
1,armed,4,0,618,2,878,0,0,45727.983,8281.667,11273.358,6184.278,2870.147
1,armed,5,1,243,0,0,0,0,14686.811,0.000,0.000,0.000,0.000
1,armed,6,1,186,0,0,0,0,14003.782,0.000,0.000,0.000,0.000
1,armed,7,1,238,0,0,0,0,18525.710,0.000,0.000,0.000,0.000
1,armed,8,1,227,0,0,0,0,11566.209,0.000,0.000,0.000,0.000
1,armed,9,1,146,0,0,0,0,8227.481,0.000,0.000,0.000,0.000
1,armed,10,1,167,0,0,0,0,9897.441,0.000,0.000,0.000,0.000
1,armed,11,1,111,0,0,0,0,4126.564,0.000,0.000,0.000,0.000
1,gated,0,1,52,0,0,0,0,7665.265,0.000,0.000,0.000,0.000
1,gated,1,1,47,0,0,0,0,6879.205,0.000,0.000,0.000,0.000
1,gated,2,0,865,3,878,500,0,143457.433,10249.434,112298.429,2402.143,307.152
1,gated,3,1,149,0,0,0,0,7896.536,0.000,0.000,0.000,0.000
1,gated,4,0,3511,2,878,2986,0,90693.317,41160.042,10320.108,4832.642,12814.322
1,gated,5,1,242,0,0,0,0,12967.961,0.000,0.000,0.000,0.000
1,gated,6,1,183,0,0,0,0,8289.216,0.000,0.000,0.000,0.000
1,gated,7,1,242,0,0,0,0,11680.968,0.000,0.000,0.000,0.000
1,gated,8,1,216,0,0,0,0,9842.095,0.000,0.000,0.000,0.000
1,gated,9,1,168,0,0,0,0,8820.190,0.000,0.000,0.000,0.000
1,gated,10,1,168,0,0,0,0,10904.898,0.000,0.000,0.000,0.000
1,gated,11,1,112,0,0,0,0,5808.977,0.000,0.000,0.000,0.000
2,plain,0,1,52,0,0,0,0,3457.750,0.000,0.000,0.000,0.000
2,plain,1,1,47,0,0,0,0,2732.785,0.000,0.000,0.000,0.000
2,plain,2,0,5803,0,0,0,0,65790.776,47321.741,0.000,0.000,197.884
2,plain,3,1,161,0,0,0,0,6821.236,0.000,0.000,0.000,0.000
2,plain,4,0,8004,0,0,0,0,165135.276,101017.366,0.000,0.000,39446.466
2,plain,5,1,237,0,0,0,0,8885.140,0.000,0.000,0.000,0.000
2,plain,6,1,187,0,0,0,0,7228.478,0.000,0.000,0.000,0.000
2,plain,7,1,231,0,0,0,0,9387.596,0.000,0.000,0.000,0.000
2,plain,8,1,219,0,0,0,0,8504.482,0.000,0.000,0.000,0.000
2,plain,9,1,172,0,0,0,0,7018.149,0.000,0.000,0.000,0.000
2,plain,10,1,150,0,0,0,0,6645.480,0.000,0.000,0.000,0.000
2,plain,11,1,86,0,0,0,0,4094.565,0.000,0.000,0.000,0.000
2,gated,0,1,52,0,0,0,0,2258.158,0.000,0.000,0.000,0.000
2,gated,1,1,47,0,0,0,0,2054.507,0.000,0.000,0.000,0.000
2,gated,2,0,865,3,878,500,0,99140.295,8283.696,77456.995,3036.715,319.295
2,gated,3,1,149,0,0,0,0,9084.136,0.000,0.000,0.000,0.000
2,gated,4,0,3511,2,878,2986,0,87064.833,43315.154,11906.212,3782.477,12322.873
2,gated,5,1,242,0,0,0,0,8555.418,0.000,0.000,0.000,0.000
2,gated,6,1,183,0,0,0,0,6865.112,0.000,0.000,0.000,0.000
2,gated,7,1,242,0,0,0,0,8700.582,0.000,0.000,0.000,0.000
2,gated,8,1,216,0,0,0,0,8220.720,0.000,0.000,0.000,0.000
2,gated,9,1,168,0,0,0,0,6140.784,0.000,0.000,0.000,0.000
2,gated,10,1,168,0,0,0,0,6390.211,0.000,0.000,0.000,0.000
2,gated,11,1,112,0,0,0,0,5512.996,0.000,0.000,0.000,0.000
2,armed,0,1,52,0,0,0,0,2281.414,0.000,0.000,0.000,0.000
2,armed,1,1,47,0,0,0,0,2223.216,0.000,0.000,0.000,0.000
2,armed,2,0,865,3,878,500,0,105434.149,7714.020,84733.503,2536.059,155.733
2,armed,3,1,149,0,0,0,0,4928.906,0.000,0.000,0.000,0.000
2,armed,4,0,618,2,878,0,0,32126.125,4112.130,10024.397,4334.217,1709.016
2,armed,5,1,243,0,0,0,0,8033.560,0.000,0.000,0.000,0.000
2,armed,6,1,186,0,0,0,0,6244.323,0.000,0.000,0.000,0.000
2,armed,7,1,238,0,0,0,0,9170.855,0.000,0.000,0.000,0.000
2,armed,8,1,227,0,0,0,0,8202.044,0.000,0.000,0.000,0.000
2,armed,9,1,146,0,0,0,0,5607.418,0.000,0.000,0.000,0.000
2,armed,10,1,167,0,0,0,0,5987.929,0.000,0.000,0.000,0.000
2,armed,11,1,111,0,0,0,0,5329.259,0.000,0.000,0.000,0.000
