posture,solve_s,cg_iters,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms
armed,14.60190,175,2634.477,9335.505,830.421,1787.934
armed,7.83204,183,2286.568,3940.817,472.213,1126.165
armed,7.78709,178,2307.525,3838.805,443.425,1179.954
armed,7.41884,178,2177.399,3857.810,443.754,933.899
armed,4.70195,178,1251.530,2149.578,497.157,792.320
armed,3.21814,175,839.431,1402.834,422.655,547.903
armed,3.10371,183,817.531,1352.113,403.966,525.146
armed,3.16614,178,714.044,1433.913,409.333,602.426
armed,3.55826,178,890.893,1613.906,373.152,675.345
armed,3.78441,178,1135.995,1578.855,486.125,576.915
armed,3.43871,175,893.438,1597.812,367.711,574.514
armed,3.04956,183,683.087,1468.577,409.500,481.757
armed,3.28392,178,893.419,1402.276,387.592,594.646
armed,3.63730,178,972.150,1694.045,394.684,571.298
armed,3.81326,178,1038.244,1588.420,425.062,756.004
gated,4.85993,520,3402.715,0.420,0.000,1448.466
gated,7.32588,522,4920.997,0.417,0.000,2396.880
gated,7.68966,520,5457.653,0.665,0.000,2220.486
gated,4.22610,499,2968.017,0.425,0.000,1251.488
gated,4.10841,471,2968.622,0.417,0.000,1133.361
gated,4.45456,465,3199.171,0.418,0.000,1246.841
gated,3.70184,470,2539.033,0.416,0.000,1155.920
gated,3.53451,520,2408.323,0.434,0.000,1120.319
gated,4.21967,522,2820.032,0.418,0.000,1386.528
gated,3.53115,520,2462.189,0.421,0.000,1061.685
gated,3.40274,499,2379.624,0.992,0.000,1017.637
gated,4.53633,471,3291.817,0.417,0.000,1237.612
gated,3.81726,465,2668.274,0.690,0.000,1137.429
gated,3.00256,470,2061.077,0.572,0.000,935.225
gated,3.51016,520,2422.601,0.463,0.000,1081.687
gated,3.43168,522,2446.867,0.417,0.000,978.362
gated,3.23899,520,2259.445,0.416,0.000,972.234
gated,3.25115,499,2249.420,0.416,0.000,995.980
gated,3.22708,471,2154.189,0.416,0.000,1065.773
gated,3.27702,465,2189.081,0.549,0.000,1076.107
gated,3.27247,470,2277.513,0.416,0.000,989.843
