rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785581153631,0.3072699547,0.051866,0,88,1,0,1,88,0,0,1.000000,2346.320,0.000,1.320,0.022,2334.985,2329.245,5.738,9.646,0.147,0.115,0.085,4.159,447.837,1876.452,0.000,0.000,0.000,0.000,1,352,0,0,0,0,147.80,167.33,0.00,4606.91,119,0
0,2,1785581154809,1775.475016,0.046874,0,47,1,0,1,47,0,0,1.000000,1177.944,0.002,1.131,0.023,1168.547,1163.044,5.500,7.986,0.143,0.046,0.069,3.418,342.144,816.794,0.000,0.000,0.000,0.000,1,188,0,0,0,0,159.31,178.83,0.00,4552.16,119,0
0,3,1785581226000,3624.753798,0.036146,0,1200,0,0,1,300,0,0,1.000000,71190.605,0.002,1.350,0.023,71176.182,71169.051,7.126,11.926,0.197,0.557,0.371,2.582,373.448,6935.917,6952.261,53174.895,3604.174,124.828,1,3129,724,3,500,0,333.70,315.23,216.88,3981.86,127,0
0,4,1785581258064,58042.4096,0.038419,0,2805,0,0,1,300,0,16,1.000000,32063.456,0.013,1.220,0.023,32051.370,32045.817,5.550,9.626,0.153,0.884,0.179,4.586,374.838,5826.246,18990.675,0.746,0.000,6847.390,1,4026,724,5,2805,3348,357.61,315.23,197.64,4033.80,127,0
0,5,1785581264367,135.0170634,0.037781,0,289,1,0,1,289,0,0,1.000000,6302.126,0.006,1.118,0.024,6292.297,6286.885,5.409,8.395,0.176,0.046,0.070,3.455,334.135,5948.488,0.000,0.000,0.000,0.000,1,1156,0,0,0,0,357.75,315.23,188.14,4128.86,127,0
0,6,1785581403788,67281.79817,0.021079,0,10736,0,0,1,300,0,16,1.000000,139418.622,0.015,1.145,0.023,139403.581,139397.583,5.996,12.645,0.201,0.520,0.507,2.807,319.053,5827.982,67333.134,6532.842,35917.828,23463.116,1,12681,724,2,3348,3348,357.77,315.23,235.59,3580.94,127,0
0,7,1785581433644,3001.995307,0.038072,0,2595,0,0,1,300,0,16,1.000000,29855.566,0.012,1.164,0.023,29841.339,29834.879,6.454,12.212,0.206,0.216,0.406,3.916,338.130,6830.724,16340.043,0.750,0.000,6320.503,1,3816,724,5,2595,3848,227.92,315.23,140.03,3257.98,127,2031616
0,8,1785581514426,8939.083481,0.023710,0,3886,0,0,1,300,0,16,1.000000,80780.740,0.004,1.276,0.023,80764.931,80753.872,11.056,13.604,0.212,0.282,0.412,5.673,386.524,6156.512,24621.640,40116.680,170.834,9294.837,1,5765,658,3,3848,3848,268.77,315.23,57.42,5527.86,127,9601024
0,9,1785581532848,14700.85739,0.033515,0,2259,0,0,0,0,0,16,1.000000,18421.154,0.003,1.365,0.024,18387.474,18381.953,5.520,30.982,0.221,0.703,0.385,3.431,0.000,0.000,13153.445,1.106,0.000,5222.653,1,2277,658,5,2259,5240,277.49,324.31,187.70,3934.56,127,9617408
0,10,1785581550610,51.90230229,0.022655,0,1760,0,0,0,0,0,16,1.000000,17761.187,0.088,1.235,0.023,17747.260,17741.294,5.964,11.823,0.199,0.235,0.412,14.895,0.000,0.000,12611.434,0.744,0.000,5113.425,1,1778,658,5,1760,5240,277.59,324.31,190.08,4182.36,127,9633792
0,11,1785581670420,2331.794502,0.024994,0,9477,0,0,0,0,0,16,1.000000,119809.073,0.009,1.156,0.023,119795.228,119788.426,6.486,11.219,0.209,0.806,0.432,3.388,0.000,0.000,68016.985,6257.411,21290.271,24216.509,1,10153,658,2,5240,5240,235.41,324.31,119.70,3363.91,155,9650176
0,12,1785581782866,3896.48593,0.023414,0,5782,0,0,0,0,0,16,1.000000,112435.189,0.014,1.296,0.023,112422.292,112415.993,6.287,10.468,0.191,0.437,0.481,4.823,0.000,0.000,31580.916,68518.170,192.429,12118.585,1,6523,723,3,5740,5740,245.39,324.31,22.16,4919.75,161,9830400
0,13,1785581862664,60.42958869,0.022966,0,7557,0,0,0,0,0,16,1.000000,79792.238,0.003,1.319,0.023,79778.973,79771.460,7.511,10.442,0.160,1.154,0.166,3.152,0.000,0.000,51766.512,7840.064,1643.675,18517.072,1,8298,723,2,7270,7270,245.92,324.31,62.69,4673.52,161,9846784
0,14,1785581903835,16.91945619,0.029197,0,5826,0,0,0,0,0,16,1.000000,41170.898,0.011,1.147,0.022,41160.079,41154.547,5.530,9.091,0.145,0.311,0.102,3.514,0.000,0.000,29724.531,0.738,0.000,11425.129,1,5844,723,5,5826,7770,247.34,324.31,117.23,4406.06,161,9846784
0,15,1785581924232,2.149576638,0.041592,0,3121,0,0,0,0,0,16,1.000000,20395.587,0.449,1.142,0.023,20372.551,20366.221,6.327,20.672,0.163,0.842,0.195,4.302,0.000,0.000,14390.852,0.738,0.000,5969.613,1,3139,723,5,3121,7770,247.44,324.31,113.75,4558.30,161,9863168
0,16,1785581930605,0.4690308453,0.054453,0,975,0,0,0,0,0,16,1.000000,6372.343,0.106,1.375,0.023,6359.384,6353.536,5.845,11.181,0.148,0.061,0.173,2.831,0.000,0.000,4298.859,0.739,0.000,2050.510,1,993,723,5,975,7770,247.44,324.31,148.67,4519.34,161,9863168
0,17,1785581938495,0.1064565014,0.068294,0,388,0,1,0,0,0,16,1.000000,2367.149,0.000,1.697,0.243,2355.823,2350.451,5.367,8.930,0.197,0.150,0.110,3.255,0.000,0.000,1397.521,0.943,0.000,948.148,1,406,723,5,388,7770,247.53,324.31,140.16,4539.52,165,10141696
0,18,1785581951265,60.81789521,0.049216,0,2102,0,1,0,0,0,16,1.000000,12769.601,0.003,1.957,0.243,12757.270,12750.136,7.132,9.540,0.183,0.322,0.086,3.141,0.000,0.000,8920.854,0.737,0.000,3824.710,1,2120,723,5,2102,7770,251.55,324.31,141.61,4365.69,165,10141696
0,19,1785582075563,2160.057362,0.042371,0,8904,0,1,0,0,0,16,1.000000,124296.259,0.003,12.677,0.245,124270.819,124264.148,6.663,11.308,0.356,0.326,0.528,4.100,0.000,0.000,37742.221,64888.284,6826.219,14802.163,1,9728,806,3,7770,7770,216.95,324.31,85.66,3909.62,165,56819712
0,20,1785582234843,18588.84355,0.045170,0,17549,0,1,0,0,0,16,1.000000,159277.298,0.008,4.388,0.245,159262.429,159254.982,7.444,9.541,0.227,0.098,0.371,3.634,0.000,0.000,87917.948,5396.146,33385.837,32550.689,1,18373,806,2,11650,11650,162.06,324.31,32.77,5527.53,165,56918016
0,21,1785582264513,1152.655223,0.038068,0,4775,0,1,0,0,0,16,1.000000,29669.362,0.006,9.073,0.242,29649.723,29640.441,9.280,9.982,0.202,0.047,0.093,3.434,0.000,0.000,21218.940,0.740,0.000,8416.466,1,4793,806,5,4775,12150,175.30,324.31,76.78,5079.64,165,56967168
0,22,1785582349652,40446.4627,0.029715,0,12248,0,1,0,0,0,16,1.000000,85137.110,0.004,4.073,0.242,85123.519,85117.679,5.838,8.572,0.233,0.056,0.416,3.229,0.000,0.000,37658.221,30748.311,415.238,16292.009,1,12966,700,3,12150,12150,300.58,324.31,25.78,5452.28,165,58097664
0,23,1785582369979,1145.843382,0.042679,0,2874,0,1,0,0,0,16,1.000000,20327.189,0.002,1.693,0.245,20317.355,20308.221,9.133,7.617,0.144,0.050,0.084,3.213,0.000,0.000,14585.814,0.813,0.000,5717.811,1,2892,700,5,2874,13746,249.47,324.31,22.52,5747.11,165,58097664
0,24,1785582416209,2289.467443,0.025147,0,5649,0,1,0,0,0,16,1.000000,46228.637,0.003,1.603,0.242,46218.815,46213.427,5.387,7.727,0.142,0.054,0.054,2.640,0.000,0.000,33577.181,0.736,0.000,12632.353,1,5667,700,5,5649,13746,139.45,324.31,8.41,5477.75,165,58097664
0,25,1785582438451,425.7882662,0.037157,0,3367,0,1,0,0,0,16,1.000000,22241.802,0.002,1.591,0.241,22231.511,22226.063,5.447,8.203,0.148,0.056,0.052,2.932,0.000,0.000,16043.062,0.738,0.000,6178.705,1,3385,700,5,3367,13746,139.45,324.31,8.39,5402.06,165,58114048
0,26,1785582461037,709.6008172,0.028506,0,4825,0,1,0,0,0,16,1.000000,22584.550,1.049,1.638,0.241,22573.991,22568.097,5.892,8.362,0.146,0.057,0.115,2.956,0.000,0.000,16174.584,0.744,0.000,6389.075,1,4843,700,5,4825,13746,140.99,324.31,8.38,5481.42,165,58130432
0,27,1785582473133,46.3592374,0.029446,0,2477,0,1,0,0,0,16,1.000000,12096.311,0.004,2.187,0.738,12085.483,12079.841,5.639,7.628,0.151,0.051,0.073,3.429,0.000,0.000,8445.961,0.783,0.000,3628.806,1,2495,700,5,2477,13746,157.99,324.31,12.27,5452.62,165,58146816
0,28,1785582502749,43.37093828,0.036948,0,5628,0,1,0,0,0,16,1.000000,29614.931,0.011,5.653,0.239,29595.446,29588.191,7.252,12.917,0.217,0.076,0.383,2.745,0.000,0.000,20966.495,0.737,0.000,8617.538,1,5646,700,5,5628,13746,162.78,324.31,35.64,4909.73,165,58146816
0,29,1785582507496,2.331026283,0.048280,0,1181,0,1,0,0,0,16,1.000000,4746.699,0.005,1.597,0.244,4737.150,4731.990,5.159,7.440,0.155,0.062,0.050,5.084,0.000,0.000,2987.379,0.737,0.000,1738.025,1,1199,700,5,1181,13746,164.94,324.31,61.16,4885.98,165,58163200
0,30,1785582510734,0.4551797595,0.063168,0,819,0,1,0,0,0,16,1.000000,3238.401,0.008,1.522,0.235,3229.132,3223.990,5.142,7.270,0.136,0.053,0.053,2.863,0.000,0.000,2022.559,0.716,0.000,1197.211,1,837,700,5,819,13746,164.94,324.31,57.61,4846.31,165,58163200
0,31,1785582513571,0.159754599,0.073199,0,652,0,1,0,0,0,16,1.000000,2837.211,0.003,1.575,0.235,2826.693,2821.409,5.281,8.332,0.244,0.063,0.069,2.553,0.000,0.000,1750.417,0.729,0.000,1067.168,1,670,700,5,652,13746,164.95,324.31,57.23,4830.17,165,58163200
0,32,1785582514890,0.07892784033,0.078297,0,259,0,1,0,0,0,16,1.000000,1318.405,0.004,2.594,0.252,1306.509,1300.669,5.838,8.795,0.146,0.032,0.076,3.628,0.000,0.000,641.622,0.761,0.000,653.938,1,277,700,5,259,13746,167.02,324.31,54.47,4860.03,165,58163200
