rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785576846884,0.3072699547,0.051866,0,88,1,0,1,88,0,0,1.000000,4077.386,0.000,3.856,0.141,4017.705,4002.223,15.477,55.123,0.195,0.199,0.167,5.266,467.371,3503.756,0.000,0.000,0.000,0.000,1,352,0,0,0,0,124.83,162.47,8.11,2603.56,317,0
0,2,1785576850474,1775.475016,0.046874,0,47,1,0,1,47,0,0,1.000000,3590.949,0.007,1.763,0.025,3578.381,3569.382,8.996,10.128,0.170,0.061,0.421,6.191,1033.191,2528.479,0.000,0.000,0.000,0.000,1,188,0,0,0,0,129.02,162.47,13.03,3410.09,317,0
0,3,1785576968150,3624.753798,0.036146,0,1200,0,0,1,300,0,0,1.000000,117680.618,0.003,1.293,0.023,117664.318,117654.293,9.739,12.879,0.846,0.832,0.427,3.724,1447.167,10740.076,11016.021,89585.417,4515.415,344.025,1,3129,724,3,500,0,168.42,175.98,66.88,2804.61,334,1556480
0,4,1785577030123,58042.4096,0.038419,0,2805,0,0,1,300,0,16,1.000000,61975.102,0.007,1.403,0.023,61947.072,61940.483,6.316,21.272,0.198,4.316,0.819,13.717,1688.749,18969.406,29885.015,0.960,0.000,11377.041,1,4026,724,5,2805,3348,168.19,183.33,81.17,3269.47,350,18038784
0,5,1785577041091,135.0170634,0.037781,0,289,1,0,1,289,0,0,1.000000,10967.656,0.009,1.366,0.023,10949.993,10941.380,8.609,15.437,0.200,0.258,0.380,4.259,857.083,10079.239,0.000,0.000,0.000,0.000,1,1156,0,0,0,0,182.69,183.33,83.77,3366.06,355,19562496
0,6,1785577238883,67281.79817,0.021079,0,10736,0,0,1,300,0,16,1.000000,197799.812,0.007,1.859,0.023,197783.177,197777.154,5.746,13.202,0.240,0.858,0.453,3.335,1180.458,17014.783,96181.668,6282.990,44620.863,32491.625,1,12681,724,2,3348,3348,176.05,183.33,51.81,3275.30,385,19562496
0,7,1785577268572,3001.995307,0.038072,0,2595,0,0,1,300,0,16,1.000000,29690.309,0.006,1.214,0.024,29676.437,29667.741,8.691,11.376,0.213,0.289,0.757,4.336,408.019,7431.391,15727.593,0.750,0.000,6094.360,1,3816,724,5,2595,3848,176.94,208.61,90.59,3332.48,393,19562496
0,8,1785577411741,8939.083481,0.023710,0,3886,0,0,1,300,0,16,1.000000,143127.064,0.003,1.318,0.023,143111.488,143105.445,6.037,13.196,0.232,0.421,0.387,4.145,397.716,7007.492,46029.802,72365.903,177.179,17122.368,1,5765,658,3,3848,3848,277.56,208.61,80.33,3896.86,398,21102592
0,9,1785577430528,14700.85739,0.033515,0,2259,0,0,0,0,0,16,1.000000,18787.461,0.004,1.209,0.025,18777.093,18771.706,5.385,8.392,0.155,0.491,0.097,4.277,0.000,0.000,13789.681,0.737,0.000,4976.303,1,2277,658,5,2259,5240,277.59,218.78,153.67,3609.06,398,21102592
0,10,1785577445820,51.90230229,0.022655,0,1760,0,0,0,0,0,16,1.000000,15292.893,0.008,1.093,0.023,15276.914,15269.277,7.635,13.217,0.195,0.794,0.657,2.746,0.000,0.000,11130.004,0.737,0.000,4135.172,1,1778,658,5,1760,5240,277.59,218.78,184.11,3256.73,398,21102592
0,11,1785577551601,2331.794502,0.024994,0,9477,0,0,0,0,0,16,1.000000,105783.987,0.004,1.152,0.023,105765.360,105756.582,8.772,15.812,0.203,0.989,0.448,3.794,0.000,0.000,56998.918,5049.846,23829.133,19873.361,1,10153,658,2,5240,5240,148.53,218.78,32.33,3339.59,398,21102592
0,12,1785577670358,3896.48593,0.023414,0,5782,0,0,0,0,0,16,1.000000,118760.328,0.004,1.163,0.023,118746.412,118740.729,5.680,11.460,0.218,0.538,0.515,3.957,0.000,0.000,37873.563,67841.062,227.873,12793.571,1,6523,723,3,5740,5740,150.02,218.78,22.16,3120.59,398,21135360
0,13,1785577768973,60.42958869,0.022966,0,7557,0,0,0,0,0,16,1.000000,98618.207,0.011,1.955,0.055,98603.832,98598.347,5.477,10.583,0.198,1.169,0.416,4.270,0.000,0.000,67839.178,6651.272,1410.985,22691.651,1,8298,723,2,7270,7270,152.66,218.78,26.64,3523.52,406,21135360
0,14,1785577867264,16.91945619,0.029197,0,5826,0,0,0,0,0,16,1.000000,98293.019,0.010,1.201,0.022,98278.952,98273.090,5.718,11.661,0.207,0.570,0.405,3.625,0.000,0.000,73273.117,0.757,0.000,24993.952,1,5844,723,5,5826,7770,139.94,218.78,53.86,3437.36,421,21217280
0,15,1785577899346,2.149576638,0.041592,0,3121,0,0,0,0,0,16,1.000000,32083.014,0.010,1.661,0.023,32067.990,32061.205,6.778,11.603,0.284,0.982,0.470,3.564,0.000,0.000,23502.056,0.737,0.000,8554.125,1,3139,723,5,3121,7770,142.91,218.78,55.81,4221.91,425,21233664
0,16,1785577907841,0.4690308453,0.054453,0,975,0,0,0,0,0,16,1.000000,8495.760,0.009,1.141,0.023,8484.781,8478.980,5.799,9.566,0.143,0.044,0.062,3.685,0.000,0.000,5919.286,0.738,0.000,2554.431,1,993,723,5,975,7770,151.70,218.78,52.11,4054.44,425,21233664
0,17,1785577919628,0.1064565014,0.068294,0,388,0,1,0,0,0,16,1.000000,3296.700,0.000,2.925,0.247,3285.052,3279.256,5.792,7.788,0.150,0.270,0.267,2.845,0.000,0.000,2110.896,0.895,0.000,1163.996,1,406,723,5,388,7770,161.22,218.78,54.31,3957.16,429,21495808
0,18,1785577938593,60.81789521,0.049216,0,2102,0,1,0,0,0,16,1.000000,18964.846,0.013,2.993,0.244,18949.984,18942.483,7.498,9.224,1.234,0.800,0.366,3.861,0.000,0.000,13652.996,0.740,0.000,5284.166,1,2120,723,5,2102,7770,163.81,218.78,71.48,3752.97,429,21495808
0,19,1785578155570,2160.057362,0.042371,0,8904,0,1,0,0,0,16,1.000000,216983.817,0.004,3.901,0.245,216969.304,216963.133,5.761,8.957,0.220,0.760,0.430,3.682,0.000,0.000,79122.697,102263.810,9137.838,26433.757,1,9728,806,3,7770,7770,163.55,218.78,38.09,3348.92,449,21512192
0,20,1785578431400,18588.84355,0.045170,0,17549,0,1,0,0,0,16,1.000000,275765.926,0.003,10.238,0.241,275726.632,275718.047,8.324,23.053,0.441,3.444,1.877,4.098,0.000,0.000,175585.088,7241.960,38709.590,54175.158,1,18373,806,2,11650,11650,158.38,218.78,30.97,2746.42,479,21512192
0,21,1785578499849,1152.655223,0.038068,0,4775,0,1,0,0,0,16,1.000000,68448.237,0.004,4.753,0.940,68407.221,68396.579,10.627,34.376,0.204,0.284,0.459,12.446,0.000,0.000,51013.198,0.781,0.000,17366.496,1,4793,806,5,4775,12150,152.77,218.78,65.78,3411.53,483,21512192
0,22,1785578801821,40446.4627,0.029715,0,12248,0,1,0,0,0,16,1.000000,301976.508,0.014,22.218,0.243,301932.473,301924.924,7.356,13.563,0.226,2.160,5.624,11.022,0.000,0.000,166937.691,85118.918,513.648,49341.645,1,12966,700,3,12150,12150,242.44,218.78,114.02,3635.67,507,84901888
0,23,1785578839365,1145.843382,0.042679,0,2874,0,1,0,0,0,16,1.000000,37543.634,0.005,4.326,0.250,37528.634,37522.233,6.395,9.600,0.209,0.236,0.379,6.002,0.000,0.000,27775.069,0.761,0.000,9739.566,1,2892,700,5,2874,13746,142.74,218.78,56.80,5170.69,510,87719936
0,24,1785578903796,2289.467443,0.025147,0,5649,0,1,0,0,0,16,1.000000,64432.037,0.003,14.147,0.243,64407.549,64401.871,5.675,9.046,0.285,0.289,0.478,3.746,0.000,0.000,48037.548,0.743,0.000,16358.857,1,5667,700,5,5649,13746,149.72,218.78,63.06,4306.03,510,87719936
0,25,1785578937899,425.7882662,0.037157,0,3367,0,1,0,0,0,16,1.000000,34103.498,0.008,4.473,0.242,34088.310,34082.589,5.720,9.066,0.665,0.350,0.391,4.549,0.000,0.000,25099.254,0.758,0.000,8973.724,1,3385,700,5,3367,13746,149.94,218.78,64.45,3834.44,510,87752704
0,26,1785578991869,709.6008172,0.028506,0,4825,0,1,0,0,0,16,1.000000,53970.193,0.426,3.958,0.244,53956.038,53924.091,31.944,9.115,0.201,0.246,0.391,4.864,0.000,0.000,40281.115,0.738,0.000,13636.627,1,4843,700,5,4825,13746,157.08,218.78,69.70,3199.44,510,87769088
0,27,1785579025729,46.3592374,0.029446,0,2477,0,1,0,0,0,16,1.000000,33859.423,0.006,4.169,0.245,33843.823,33838.251,5.565,10.286,0.222,0.273,0.405,3.586,0.000,0.000,25374.918,0.737,0.000,8458.148,1,2495,700,5,2477,13746,150.00,218.78,61.73,3530.47,514,87769088
0,28,1785579085221,43.37093828,0.036948,0,5628,0,1,0,0,0,16,1.000000,59492.544,0.011,5.186,0.393,59473.623,59467.272,6.349,12.193,0.360,0.362,0.426,5.198,0.000,0.000,43852.619,2.077,0.000,15606.494,1,5646,700,5,5628,13746,152.88,218.78,66.98,3284.92,519,87769088
0,29,1785579100497,2.331026283,0.048280,0,1181,0,1,0,0,0,16,1.000000,15276.528,0.008,37.349,0.243,15167.441,15160.092,7.347,59.934,6.495,1.652,3.414,6.502,0.000,0.000,10974.490,0.747,0.000,4177.363,1,1199,700,5,1181,13746,147.11,218.78,60.38,3080.00,520,87785472
0,30,1785579109071,0.4551797595,0.063168,0,819,0,1,0,0,0,16,1.000000,8573.186,0.335,6.776,0.295,8554.899,8548.593,6.301,10.276,0.229,0.275,0.437,37.416,0.000,0.000,5984.307,0.748,0.000,2524.929,1,837,700,5,819,13746,154.95,218.78,69.25,3086.03,520,87801856
0,31,1785579116542,0.159754599,0.073199,0,652,0,1,0,0,0,16,1.000000,7470.954,0.330,6.594,0.242,7449.279,7442.687,6.589,14.128,0.205,0.080,0.426,5.188,0.000,0.000,5029.944,0.745,0.000,2405.987,1,670,700,5,652,13746,155.88,218.78,68.22,3015.02,520,87818240
0,32,1785579119513,0.07892784033,0.078297,0,259,0,1,0,0,0,16,1.000000,2970.930,0.004,3.267,0.244,2958.692,2952.337,6.353,8.441,0.147,0.069,0.070,4.298,0.000,0.000,1919.649,0.737,0.000,1026.901,1,277,700,5,259,13746,148.06,218.78,58.78,3024.58,520,87818240
1,1,1785579138050,0.6931982616,0.039317,0,413,0,0,0,0,0,16,1.000000,6591.986,0.000,1.126,0.023,6579.549,6557.445,22.102,10.923,0.195,0.073,0.096,45.558,0.000,0.000,4130.813,0.739,0.000,2378.958,1,431,700,5,413,13746,156.61,218.78,68.97,3650.19,539,89292800
