iter,penalty,cg_iters,used_mg,geneo_dim,geneo_action,solve_s,compliance
1,3.0,707,0,0,0,0.8310,1.636714518
2,3.0,750,0,0,0,0.9999,0.9998180179
3,3.0,778,0,0,0,1.1640,0.6890077768
4,3.0,849,0,0,0,1.0607,0.5134350909
5,3.0,879,0,0,0,1.3010,0.430169361
6,3.0,866,0,0,0,1.2460,0.388563642
7,3.0,881,0,0,0,1.2268,0.3652796535
8,3.0,897,0,0,0,1.0866,0.3530893668
9,3.0,906,0,0,0,1.1313,0.3457299274
10,3.0,915,0,0,0,1.1112,0.3407520877
11,3.0,929,0,0,0,1.2690,0.3372284182
12,3.0,930,0,0,0,1.1685,0.3347544939
13,3.0,931,0,0,0,1.1406,0.3329327944
14,3.0,931,0,0,0,1.1292,0.3315303714
15,3.0,933,0,0,0,1.1102,0.3304793608
16,3.0,934,0,0,0,1.2646,0.3297257674
