iter,penalty,cg_iters,used_mg,geneo_dim,geneo_action,solve_s,compliance
1,3.0,578,0,290,3,7.0851,1.636714518
2,3.0,193,0,290,2,1.4601,0.9998180178
3,3.0,210,0,290,2,1.5535,0.6890077768
4,3.0,213,0,290,2,1.5723,0.5134350909
5,3.0,227,0,290,2,1.5962,0.4301693611
6,3.0,241,0,290,2,1.7567,0.3885636421
7,3.0,230,0,290,2,1.7946,0.3652796536
8,3.0,235,0,290,2,1.6619,0.3530893668
9,3.0,245,0,290,2,1.6534,0.3457299274
10,3.0,243,0,290,2,1.6082,0.3407520877
11,3.0,243,0,290,2,1.7554,0.3372284183
12,3.0,244,0,290,2,1.6868,0.334754494
13,3.0,244,0,290,2,1.6799,0.3329327945
14,3.0,229,0,290,2,1.6302,0.3315303715
15,3.0,238,0,290,2,1.6268,0.3304793608
16,3.0,238,0,290,2,1.5662,0.3297257675
