iter,penalty,cg_iters,used_mg,geneo_dim,geneo_action,solve_s,compliance
1,3.0,188,0,290,3,6.2805,1.636714518
2,3.0,193,0,290,2,1.2210,0.9998180177
3,3.0,209,0,290,2,1.3108,0.6890077769
4,3.0,213,0,290,2,1.3776,0.5134350909
5,3.0,227,0,290,2,1.5011,0.4301693611
6,3.0,240,0,290,2,1.4818,0.3885636421
7,3.0,230,0,290,2,1.3632,0.3652796536
8,3.0,235,0,290,2,1.5064,0.3530893668
9,3.0,245,0,290,2,1.4148,0.3457299274
10,3.0,243,0,290,2,1.4267,0.3407520877
11,3.0,243,0,290,2,1.3958,0.3372284183
12,3.0,244,0,290,2,1.5330,0.3347544939
13,3.0,243,0,290,2,1.4138,0.3329327945
14,3.0,229,0,290,2,1.4112,0.3315303715
15,3.0,238,0,290,2,1.4489,0.3304793608
16,3.0,238,0,290,2,1.3337,0.3297257675
