rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785564091491,7.963405432e-05,0.646702,0,60,1,0,1,60,0,0,1.000000,333.273,0.000,0.620,0.021,327.366,325.281,2.084,4.931,0.166,0.015,0.154,2.656,106.270,215.910,0.000,0.000,0.000,0.000,1,240,0,0,72.56,92.08,0.00,4768.52,517,0
0,2,1785564091795,4.072662516e-05,0.675093,0,55,1,0,1,55,0,0,1.000000,304.799,0.002,0.534,0.024,299.823,297.938,1.884,4.200,0.171,0.009,0.037,2.094,103.472,192.033,0.000,0.000,0.000,0.000,1,220,0,0,85.91,105.42,0.00,4810.11,517,0
0,3,1785564092076,2.966410641e-05,0.692913,0,49,1,0,1,49,0,0,1.000000,281.069,0.003,0.490,0.020,276.125,274.266,1.858,4.228,0.156,0.014,0.036,2.151,101.182,170.557,0.000,0.000,0.000,0.000,1,196,0,0,89.00,108.52,0.00,4802.55,517,0
0,4,1785564092352,2.903172353e-05,0.696375,0,48,1,0,1,48,0,0,1.000000,275.724,0.006,0.471,0.020,270.948,269.112,1.835,4.085,0.156,0.010,0.033,1.534,100.297,167.041,0.000,0.000,0.000,0.000,1,192,0,0,89.06,108.58,0.00,4790.17,517,0
0,5,1785564092641,2.888301556e-05,0.696825,0,52,1,0,1,52,0,0,1.000000,288.400,0.001,0.468,0.020,283.699,281.848,1.850,4.010,0.156,0.011,0.036,1.606,100.401,179.606,0.000,0.000,0.000,0.000,1,208,0,0,89.11,108.62,0.00,4808.81,517,0
0,6,1785564092945,2.881505345e-05,0.695440,0,51,1,0,1,51,0,0,1.000000,304.451,0.002,0.501,0.020,299.487,297.558,1.928,4.232,0.168,0.009,0.034,1.530,103.489,192.309,0.000,0.000,0.000,0.000,1,204,0,0,89.11,108.62,0.00,4733.83,517,0
0,7,1785564093241,2.879031432e-05,0.696183,0,52,1,0,1,52,0,0,1.000000,295.325,0.002,0.500,0.020,290.481,288.663,1.817,4.111,0.160,0.018,0.034,1.885,102.816,183.729,0.000,0.000,0.000,0.000,1,208,0,0,92.56,112.08,0.00,4722.92,517,0
0,8,1785564093541,2.872930323e-05,0.697107,0,52,1,0,1,52,0,0,1.000000,300.561,0.004,0.477,0.020,295.935,294.096,1.838,3.933,0.156,0.009,0.032,1.524,102.028,190.297,0.000,0.000,0.000,0.000,1,208,0,0,92.58,112.09,0.00,4788.09,517,0
0,9,1785564093833,2.86629447e-05,0.698221,0,51,1,0,1,51,0,0,1.000000,291.701,0.002,0.478,0.021,287.004,285.173,1.830,3.993,0.156,0.013,0.036,1.601,104.382,178.961,0.000,0.000,0.000,0.000,1,204,0,0,92.58,112.09,0.00,4839.08,517,0
0,10,1785564094120,2.859620039e-05,0.699119,0,51,1,0,1,51,0,0,1.000000,287.238,0.003,0.471,0.020,282.390,280.575,1.814,4.156,0.157,0.011,0.033,1.658,101.434,177.256,0.000,0.000,0.000,0.000,1,204,0,0,92.59,112.11,0.00,4813.53,517,0
0,11,1785564094418,2.855554061e-05,0.699194,0,53,1,0,1,53,0,0,1.000000,297.858,0.002,0.513,0.020,293.107,291.234,1.873,4.009,0.163,0.009,0.036,1.618,105.384,184.010,0.000,0.000,0.000,0.000,1,212,0,0,92.59,112.11,0.00,4813.28,517,0
0,12,1785564094711,2.854612692e-05,0.698937,0,52,1,0,1,52,0,0,1.000000,292.738,0.001,0.487,0.020,287.970,286.099,1.869,4.064,0.156,0.008,0.034,1.542,100.326,183.988,0.000,0.000,0.000,0.000,1,208,0,0,92.59,112.11,0.00,4803.47,517,0
0,13,1785564095019,2.85298326e-05,0.698276,0,53,1,0,1,53,0,0,1.000000,308.016,0.002,0.468,0.020,303.247,301.453,1.794,4.076,0.161,0.011,0.034,1.749,102.685,196.792,0.000,0.000,0.000,0.000,1,212,0,0,94.98,114.50,0.00,4759.61,517,0
0,14,1785564095324,2.85225016e-05,0.698831,0,54,1,0,1,54,0,0,1.000000,305.195,0.001,0.468,0.020,300.512,298.606,1.905,3.989,0.165,0.008,0.033,1.562,100.728,196.067,0.000,0.000,0.000,0.000,1,216,0,0,95.00,114.52,0.00,4793.11,517,0
0,15,1785564095631,2.849652604e-05,0.699288,0,54,1,0,1,54,0,0,1.000000,306.172,0.002,0.474,0.020,301.251,299.421,1.830,4.213,0.162,0.016,0.036,1.623,101.385,196.180,0.000,0.000,0.000,0.000,1,216,0,0,95.69,115.20,0.00,4794.31,517,0
0,16,1785564096002,2.847707517e-05,0.699537,0,54,1,0,1,54,0,0,1.000000,371.352,0.003,0.492,0.028,366.542,364.699,1.842,4.088,0.159,0.009,0.034,1.641,102.681,260.154,0.000,0.000,0.000,0.000,1,216,0,0,95.69,115.20,0.00,4794.31,517,0
0,17,1785564096306,2.84623016e-05,0.699660,0,54,1,0,1,54,0,0,1.000000,304.161,0.001,0.487,0.020,299.328,297.503,1.825,4.117,0.166,0.010,0.033,1.589,101.856,193.825,0.000,0.000,0.000,0.000,1,216,0,0,95.69,115.20,0.00,4801.70,517,0
0,18,1785564096614,2.845019118e-05,0.699710,0,55,1,0,1,55,0,0,1.000000,307.932,0.005,0.500,0.020,303.157,301.306,1.850,4.047,0.161,0.010,0.036,1.576,102.258,197.231,0.000,0.000,0.000,0.000,1,220,0,0,95.69,115.20,0.00,4801.38,517,0
0,19,1785564096930,2.843638414e-05,0.699681,0,55,1,0,1,55,0,0,1.000000,315.991,0.002,0.501,0.021,311.297,309.466,1.830,3.962,0.156,0.011,0.042,1.542,103.007,204.695,0.000,0.000,0.000,0.000,1,220,0,0,96.17,115.69,0.00,4833.05,517,0
0,20,1785564097232,2.842016198e-05,0.699660,0,53,1,0,1,53,0,0,1.000000,302.083,0.002,0.469,0.020,297.450,295.546,1.902,3.946,0.156,0.008,0.034,1.568,101.612,192.125,0.000,0.000,0.000,0.000,1,212,0,0,96.17,115.69,0.00,4902.61,517,0
0,21,1785564097559,2.840320474e-05,0.699640,0,56,1,0,1,56,0,0,1.000000,326.538,0.002,0.484,0.020,321.652,319.825,1.825,4.171,0.163,0.010,0.037,1.709,105.206,212.686,0.000,0.000,0.000,0.000,1,224,0,0,96.22,115.73,0.00,4932.11,517,0
0,22,1785564097875,2.838581136e-05,0.699649,0,55,1,0,1,55,0,0,1.000000,316.341,0.006,0.480,0.020,311.599,309.772,1.827,4.037,0.160,0.010,0.035,1.597,103.528,204.424,0.000,0.000,0.000,0.000,1,220,0,0,96.22,115.73,0.00,4849.86,517,0
0,23,1785564098193,2.836925231e-05,0.699642,0,55,1,0,1,55,0,0,1.000000,317.289,0.002,0.500,0.020,312.503,310.624,1.878,4.060,0.163,0.010,0.034,1.632,100.934,207.837,0.000,0.000,0.000,0.000,1,220,0,0,96.22,115.73,0.00,4843.80,517,0
0,24,1785564098512,2.835399825e-05,0.699532,0,57,1,0,1,57,0,0,1.000000,319.385,0.003,0.486,0.021,314.624,312.820,1.803,4.049,0.159,0.013,0.033,1.684,105.624,205.278,0.000,0.000,0.000,0.000,1,228,0,0,96.22,115.73,0.00,4808.38,517,0
0,25,1785564098833,2.834258351e-05,0.699167,0,58,1,0,1,58,0,0,1.000000,320.198,0.002,0.478,0.020,315.491,313.625,1.865,4.006,0.160,0.010,0.033,1.545,101.333,210.525,0.000,0.000,0.000,0.000,1,232,0,0,96.22,115.73,0.00,4808.81,517,0
0,26,1785564099155,2.833658774e-05,0.698789,0,59,1,0,1,59,0,0,1.000000,322.170,0.002,0.470,0.020,317.441,315.602,1.838,4.025,0.170,0.012,0.032,1.504,101.891,211.983,0.000,0.000,0.000,0.000,1,236,0,0,96.22,115.73,0.00,4839.62,517,0
0,27,1785564099473,2.83366374e-05,0.698444,0,59,1,0,1,59,0,0,1.000000,318.533,0.002,0.473,0.020,313.827,311.879,1.947,4.006,0.156,0.013,0.038,1.558,101.103,209.002,0.000,0.000,0.000,0.000,1,236,0,0,96.22,115.73,0.00,4839.62,517,0
0,28,1785564099813,2.831796642e-05,0.698713,0,63,1,0,1,63,0,0,1.000000,339.196,0.002,0.539,0.020,334.116,332.260,1.855,4.309,0.160,0.015,0.036,1.520,102.211,228.299,0.000,0.000,0.000,0.000,1,252,0,0,96.22,115.73,0.00,4839.62,517,0
0,29,1785564100149,2.830588759e-05,0.699259,0,62,1,0,1,62,0,0,1.000000,336.429,0.001,0.512,0.020,331.709,329.847,1.861,3.980,0.159,0.012,0.036,1.569,101.872,226.176,0.000,0.000,0.000,0.000,1,248,0,0,96.22,115.73,0.00,4765.55,517,0
0,30,1785564100490,2.828570062e-05,0.699692,0,64,1,0,1,64,0,0,1.000000,340.653,0.004,0.467,0.021,335.947,334.082,1.864,4.012,0.163,0.010,0.034,1.548,103.085,229.226,0.000,0.000,0.000,0.000,1,256,0,0,96.22,115.73,0.00,4779.67,517,0
0,31,1785564101258,2.853482717e-05,0.698042,0,54,1,1,1,54,0,0,1.000000,301.840,0.000,0.809,0.121,297.069,295.252,1.817,3.640,0.159,0.010,0.031,1.601,102.026,191.372,0.000,0.000,0.000,0.000,1,216,0,0,96.30,115.81,0.00,4854.56,517,0
0,32,1785564101586,2.845147847e-05,0.699501,0,62,1,1,1,62,0,0,1.000000,328.322,0.001,0.836,0.123,323.343,321.512,1.831,3.805,0.169,0.012,0.033,1.648,102.505,217.093,0.000,0.000,0.000,0.000,1,248,0,0,100.05,119.56,0.00,4869.02,517,0
0,33,1785564101932,2.839974673e-05,0.699943,0,64,1,1,1,64,0,0,1.000000,345.141,0.002,0.806,0.122,340.241,338.361,1.879,3.773,0.156,0.009,0.034,1.556,101.452,235.096,0.000,0.000,0.000,0.000,1,256,0,0,100.09,119.61,0.00,4820.77,517,0
0,34,1785564102281,2.836305528e-05,0.700453,0,69,1,1,1,69,0,0,1.000000,349.551,0.002,0.814,0.121,344.615,342.717,1.898,3.785,0.156,0.013,0.048,1.599,100.880,239.978,0.000,0.000,0.000,0.000,1,276,0,0,100.77,120.28,0.00,4856.17,517,0
0,35,1785564102658,2.833679734e-05,0.700726,0,72,1,1,1,72,0,0,1.000000,377.010,0.002,0.805,0.120,372.120,370.313,1.806,3.768,0.156,0.009,0.033,1.576,101.832,266.666,0.000,0.000,0.000,0.000,1,288,0,0,100.92,120.44,0.00,4863.19,517,0
0,36,1785564103047,2.831893752e-05,0.700858,0,74,1,1,1,74,0,0,1.000000,388.543,0.002,0.797,0.127,383.566,381.704,1.862,3.852,0.157,0.010,0.033,1.597,102.074,277.782,0.000,0.000,0.000,0.000,1,296,0,0,100.92,120.44,0.00,4863.19,517,0
0,37,1785564103424,2.830493275e-05,0.700987,0,73,1,1,1,73,0,0,1.000000,376.756,0.002,0.805,0.121,371.931,369.997,1.932,3.684,0.170,0.013,0.032,1.671,100.879,267.153,0.000,0.000,0.000,0.000,1,292,0,0,100.92,120.44,0.00,4815.80,517,0
0,38,1785564103808,2.82935284e-05,0.701058,0,75,1,1,1,75,0,0,1.000000,384.748,0.002,0.930,0.123,379.747,377.891,1.855,3.733,0.161,0.015,0.041,1.560,102.406,273.703,0.000,0.000,0.000,0.000,1,300,0,0,101.00,120.52,0.00,4754.72,517,0
0,39,1785564104177,2.828404542e-05,0.701136,0,73,1,1,1,73,0,0,1.000000,368.243,0.002,0.824,0.137,363.381,361.509,1.871,3.700,0.159,0.010,0.032,1.863,101.358,258.047,0.000,0.000,0.000,0.000,1,292,0,0,101.03,120.55,0.00,4774.03,517,0
0,40,1785564104562,2.82757821e-05,0.701197,0,77,1,1,1,77,0,0,1.000000,385.150,0.002,0.812,0.121,380.371,378.485,1.884,3.644,0.156,0.013,0.034,1.547,100.455,276.237,0.000,0.000,0.000,0.000,1,308,0,0,90.86,120.55,0.00,4762.59,517,0
0,41,1785564104947,2.826919144e-05,0.701227,0,76,1,1,1,76,0,0,1.000000,384.532,0.002,0.851,0.123,379.584,377.790,1.793,3.773,0.156,0.013,0.033,1.785,101.913,273.869,0.000,0.000,0.000,0.000,1,304,0,0,95.78,120.55,0.00,4803.77,517,0
0,42,1785564105350,2.826379055e-05,0.701238,0,80,1,1,1,80,0,0,1.000000,403.283,0.002,0.789,0.121,398.445,396.656,1.788,3.709,0.175,0.008,0.035,1.545,102.254,292.605,0.000,0.000,0.000,0.000,1,320,0,0,95.78,120.55,0.00,4803.28,517,0
0,43,1785564105740,2.825931917e-05,0.701240,0,80,1,1,1,80,0,0,1.000000,390.429,0.002,0.851,0.122,385.461,383.652,1.808,3.793,0.156,0.012,0.034,1.544,101.533,280.350,0.000,0.000,0.000,0.000,1,320,0,0,95.78,120.55,0.00,4833.28,517,0
0,44,1785564106187,2.825510708e-05,0.701233,0,78,1,1,1,78,0,0,1.000000,446.836,0.002,0.790,0.121,441.930,440.101,1.827,3.794,0.156,0.010,0.034,1.566,101.746,336.542,0.000,0.000,0.000,0.000,1,312,0,0,95.78,120.55,0.00,4853.34,517,0
0,45,1785564106616,2.825147454e-05,0.701227,0,90,1,1,1,90,0,0,1.000000,428.524,0.003,0.805,0.121,423.669,421.837,1.829,3.726,0.159,0.009,0.034,1.615,101.424,318.552,0.000,0.000,0.000,0.000,1,360,0,0,95.78,120.55,0.00,4866.92,517,0
