design_iter,hier_built,levels,mg_cycles,carried,build_ms,cycle_ms,fallback_ms,total_ms,fallback_iters,latched
0,1,4,26,1,1750.478,2295.291,0.000,4055.101,26,0
1,1,4,28,1,5252.932,1427.360,0.000,6687.449,28,0
2,1,4,30,1,1835.223,1214.790,0.000,3059.265,30,0
3,1,4,31,1,1568.004,1181.764,0.000,2759.506,31,0
4,1,4,32,1,1565.252,1384.656,0.000,2957.181,32,0
5,1,4,34,1,1903.039,1399.390,0.000,3310.723,34,0
6,1,4,38,1,2173.957,1606.889,0.000,3790.418,38,0
7,1,4,37,1,1576.264,1602.097,0.000,3187.986,37,0
8,1,4,34,1,2600.336,1401.338,0.000,4009.654,34,0
9,1,4,34,1,3563.455,1926.035,0.000,5500.136,34,0
10,1,4,33,1,5150.586,1944.937,0.000,7110.746,33,0
11,1,4,33,1,2160.735,1590.887,0.000,3764.604,33,0
12,1,4,33,1,3378.635,2113.894,0.000,5506.164,33,0
13,1,4,34,1,1933.760,1835.776,0.000,3780.994,34,0
14,1,4,34,1,3267.295,1771.166,0.000,5049.768,34,0
15,1,4,35,1,1689.576,1499.335,0.000,3202.314,35,0
16,1,4,35,1,1735.126,1679.043,0.000,3424.847,35,0
17,1,4,35,1,1978.648,1716.037,0.000,3707.246,35,0
18,1,4,35,1,1842.351,1372.474,0.000,3225.384,35,0
19,1,4,35,1,1855.280,1516.217,0.000,3380.134,35,0
20,1,4,35,1,1674.619,1671.143,0.000,3356.283,35,0
21,1,4,35,1,2200.376,1594.555,0.000,3809.096,35,0
22,1,4,35,1,2435.227,2196.583,0.000,4643.341,35,0
23,1,4,35,1,1537.919,1953.233,0.000,3502.169,35,0
24,1,4,35,1,3567.423,1665.922,0.000,5244.008,35,0
25,1,4,26,1,1829.022,1240.037,0.000,3090.898,26,0
26,1,4,30,1,2095.671,1497.083,0.000,3601.739,30,0
27,1,4,34,1,1810.374,1477.306,0.000,3301.572,34,0
28,1,4,34,1,1699.121,1461.611,0.000,3167.982,34,0
29,1,4,38,1,1670.302,1897.508,0.000,3578.576,38,0
30,1,4,39,1,2237.093,2014.605,0.000,4265.642,39,0
31,1,4,40,1,1846.873,1838.017,0.000,3694.261,40,0
32,1,4,41,1,1483.646,1861.589,0.000,3357.153,41,0
33,1,4,44,1,1906.556,1863.199,0.000,3793.079,44,0
34,1,4,47,1,1564.880,1934.074,0.000,3513.597,47,0
35,1,4,48,1,1542.481,2163.203,0.000,3723.244,48,0
36,1,4,55,1,1422.428,2393.576,0.000,3826.228,55,0
37,1,4,65,1,1703.904,2793.525,0.000,4508.988,65,0
38,1,4,53,1,1513.055,2391.988,0.000,3916.761,53,0
39,1,4,53,1,1704.870,2266.170,0.000,3980.598,53,0
40,1,4,49,1,1665.016,2269.535,0.000,3947.701,49,0
41,1,4,49,1,1809.525,2039.141,0.000,3875.470,49,0
42,1,4,49,1,1754.541,2080.084,0.000,3915.224,49,0
43,1,4,49,1,3727.449,3980.920,0.000,7723.689,49,0
44,1,4,47,1,4483.945,3042.617,0.000,7540.868,47,0
45,1,4,49,1,2500.279,2296.047,0.000,4818.374,49,0
46,1,4,49,1,2033.268,2661.285,0.000,4710.552,49,0
47,1,4,49,1,2119.037,2289.487,0.000,4425.949,49,0
48,1,4,49,1,2026.967,2240.611,0.000,4291.998,49,0
49,1,4,50,1,1867.738,3767.446,0.000,5652.042,50,0
50,1,4,28,1,4713.140,2648.056,0.000,7409.646,28,0
51,1,4,33,1,2507.834,1678.632,0.000,4195.427,33,0
52,1,4,35,1,1848.908,1501.389,0.000,3363.355,35,0
53,1,4,40,1,1521.750,1519.644,0.000,3049.403,40,0
54,1,4,42,1,1745.721,1721.803,0.000,3478.459,42,0
55,1,4,48,1,1867.911,1911.586,0.000,3787.894,48,0
56,1,4,53,1,4303.815,3061.821,0.000,7377.709,53,0
57,1,4,64,1,4398.198,3222.860,0.000,7631.137,64,0
58,1,4,67,1,1827.468,2995.193,0.000,4833.825,67,0
59,1,4,102,1,2240.156,4926.762,0.000,7180.823,102,0
60,1,4,73,1,1511.563,3544.057,0.000,5067.045,73,0
61,1,4,75,1,4614.690,3630.669,0.000,8259.761,75,0
62,1,4,115,1,1737.272,5763.271,0.000,7510.490,115,0
63,1,4,88,1,4374.147,4676.863,0.000,9063.947,88,0
64,1,4,132,1,1909.469,5847.144,0.000,7775.884,132,0
65,1,4,79,1,1597.244,3538.505,0.000,5156.225,79,0
66,1,4,81,1,1729.868,3480.033,0.000,5226.911,81,0
67,1,4,84,1,1639.789,4599.524,0.000,6248.871,84,0
68,1,4,81,1,4269.184,3979.979,0.000,8264.148,81,0
69,1,4,82,1,1781.419,4047.487,0.000,5839.902,82,0
70,1,4,84,1,2118.289,3521.305,0.000,5654.736,84,0
71,1,4,85,1,1762.670,3843.103,0.000,5623.388,85,0
72,1,4,85,1,1857.926,3644.500,0.000,5514.762,85,0
73,1,4,90,1,1802.249,6215.716,0.000,8029.358,90,0
74,1,4,98,1,1719.112,6861.134,0.000,8591.137,98,0
75,1,4,32,1,2435.289,2501.784,0.000,4956.400,32,0
76,1,4,36,1,5954.842,3433.904,0.000,9405.218,36,0
77,1,4,40,1,1618.809,2892.173,0.000,4525.034,40,0
78,1,4,53,1,1887.698,4787.352,0.000,6687.127,53,0
79,1,4,63,1,1800.131,5474.513,0.000,7287.889,63,0
80,1,4,93,1,5830.441,7373.286,0.000,13224.397,93,0
81,1,4,107,1,9308.630,11960.294,0.000,21284.522,107,0
82,1,4,121,1,1667.632,6038.732,0.000,7718.797,121,0
83,1,4,222,1,1424.864,10750.263,0.000,12191.232,222,0
84,1,4,231,1,1837.141,12056.144,0.000,13907.466,231,0
85,1,4,108,1,4324.012,6125.055,0.000,10474.615,108,0
86,1,4,118,1,4421.766,13861.147,0.000,18300.166,118,0
87,1,4,120,1,5968.368,9848.006,0.000,15830.987,120,0
88,1,4,120,1,8440.648,12219.405,0.000,20738.115,120,0
89,1,4,101,1,1712.412,5480.377,0.000,7210.383,101,0
90,1,4,94,1,1541.980,4727.274,0.000,6278.445,94,0
