fixture,config,built,carried,levels,cycles,fallback_iters,matvecs,build_ms,cycle_ms,total_ms_min,total_ms_max,samples,residual,rel_du
healthy,SHIPPED (4-ish lvl, V, 1+1, scalar w0.6),1,1,4,18,0,72,2552.040,1123.071,3683.742,4842.175,3,3.988322e-09,6.745602e-10
healthy,A: levels=2,0,0,0,0,651,653,1411.691,0.000,9750.333,11819.498,3,9.239491e-09,0.000000e+00
healthy,A: levels=3,1,1,3,17,0,68,2410.845,666.327,3086.326,7820.386,3,9.506525e-09,6.893786e-10
healthy,A: levels=4,1,1,4,18,0,72,1502.215,899.176,2409.584,6000.064,3,3.988322e-09,6.745602e-10
healthy,A: levels=5,1,1,5,18,0,72,2996.423,991.532,3995.795,5373.888,3,5.862118e-09,7.093924e-10
healthy,A: levels=MAX (coarsen until an axis blocks),1,1,5,18,0,72,1923.393,828.948,2762.289,4876.573,3,5.862118e-09,7.093924e-10
healthy,B: sweeps=2+2 uniform,1,1,4,13,0,78,1984.582,1072.615,3067.826,3456.350,3,3.989424e-09,6.870139e-10
healthy,B: sweeps=3+3 uniform,1,1,4,11,0,88,1997.899,1118.096,3126.475,6085.739,3,3.305091e-09,6.967684e-10
healthy,B: sweeps=1+1 fine, +1 COARSE-ONLY,1,1,4,18,0,72,1605.779,967.121,2581.845,6031.832,3,2.839840e-09,6.982051e-10
healthy,B: sweeps=1+1 fine, +2 COARSE-ONLY,1,1,4,17,0,68,1637.599,946.881,2592.532,4416.290,3,7.455540e-09,6.635111e-10
healthy,C: W-cycle (gamma=2),1,1,4,17,0,85,1773.939,1335.484,3116.480,6159.544,3,6.436268e-09,6.989807e-10
healthy,D: POINT-BLOCK Jacobi w0.5 (Peetz & Elbanna),1,1,4,16,0,64,1780.996,647.772,2436.217,7156.648,3,8.149175e-09,6.435347e-10
healthy,D: point-block w0.6 (weight held at shipped),1,1,4,15,0,60,2001.574,719.272,2729.052,4567.674,3,7.638313e-09,6.998242e-10
healthy,E: winner @ omega=0.60,1,1,4,18,0,72,1597.497,637.961,2243.940,3036.023,3,3.988322e-09,6.745602e-10
healthy,E: winner @ omega=0.50,1,1,4,17,0,68,1555.846,683.508,2247.354,2598.766,3,6.756917e-09,7.210491e-10
