fixture,config,built,carried,levels,cycles,fallback_iters,matvecs,build_ms,cycle_ms,total_ms_min,total_ms_max,samples,residual,rel_du
stagnating,SHIPPED (4-ish lvl, V, 1+1, scalar w0.6),1,0,0,300,3636,4841,544.614,6568.022,27449.315,28912.100,2,9.136969e-09,0.000000e+00
stagnating,A: levels=2,1,0,0,300,3636,4841,10128.169,15012.527,42704.942,52916.424,2,9.136969e-09,0.000000e+00
stagnating,A: levels=3,1,0,0,300,3636,4841,604.962,5788.260,25991.429,27651.832,2,9.136969e-09,0.000000e+00
stagnating,A: levels=4,1,0,0,300,3636,4841,463.029,6080.844,23055.862,30069.326,2,9.136969e-09,0.000000e+00
stagnating,A: levels=5,1,0,0,300,3636,4841,488.593,5469.994,27004.256,28223.430,2,9.136969e-09,0.000000e+00
stagnating,A: levels=MAX (coarsen until an axis blocks),1,0,0,300,3636,4841,500.626,5885.449,23267.337,23909.346,2,9.136969e-09,0.000000e+00
stagnating,B: sweeps=2+2 uniform,1,0,0,300,3636,5443,523.811,8310.686,30049.935,32977.362,2,9.136969e-09,0.000000e+00
stagnating,B: sweeps=3+3 uniform,1,0,0,300,3636,6045,741.192,12486.815,31637.684,38760.180,2,9.136969e-09,0.000000e+00
stagnating,B: sweeps=1+1 fine, +1 COARSE-ONLY,1,0,0,300,3636,4841,503.060,5491.278,21139.515,25435.912,2,9.136969e-09,0.000000e+00
stagnating,B: sweeps=1+1 fine, +2 COARSE-ONLY,1,0,0,300,3636,4841,536.453,7989.190,27259.421,32358.960,2,9.136969e-09,0.000000e+00
stagnating,C: W-cycle (gamma=2),1,0,0,300,3636,5142,504.166,8362.954,30627.889,37244.986,2,9.136969e-09,0.000000e+00
stagnating,D: POINT-BLOCK Jacobi w0.5 (Peetz & Elbanna),1,0,0,300,3636,4841,662.068,5914.679,21681.968,29743.321,2,9.136969e-09,0.000000e+00
stagnating,D: point-block w0.6 (weight held at shipped),1,0,0,300,3636,4841,744.684,4970.277,21514.597,24048.673,2,9.136969e-09,0.000000e+00
