posture,rung,iter,penalty,beta,cg,carried_mg,hier_built,cycles,compliance,change,achieved_vf
S0 OFF (shipped p=3),0,1,3.0000,0.0000,63,1,1,63,3354.09392611,0.1998,0.0410412837
S0 OFF (shipped p=3),0,2,3.0000,0.0000,58,1,1,58,18476505.6848,0.1998,0.0368750441
S0 OFF (shipped p=3),0,3,3.0000,0.0000,858,0,1,300,17506335.1392,0.1998,0.0314758451
S0 OFF (shipped p=3),0,4,3.0000,0.0000,2091,0,1,300,491284870.682,0.1998,0.0283572028
S0 OFF (shipped p=3),0,5,3.0000,0.0000,141,1,1,141,39601391.41,0.1998,0.0286236391
S0 OFF (shipped p=3),0,6,3.0000,0.0000,1212,0,1,300,526070476.522,0.1998,0.0160539328
S0 OFF (shipped p=3),0,7,3.0000,0.0000,56,1,1,56,42447908.9129,0.1998,0.0324424839
S0 OFF (shipped p=3),0,8,3.0000,0.0000,206,1,1,206,729282.123684,0.1998,0.0169167925
S0 OFF (shipped p=3),0,9,3.0000,0.0000,170,1,1,170,23220223.1096,0.1998,0.0312782501
S0 OFF (shipped p=3),0,10,3.0000,0.0000,195,1,1,195,1831573.97378,0.1998,0.0173704009
S0 OFF (shipped p=3),0,11,3.0000,0.0000,97,1,1,97,521258.039485,0.1998,0.0306104613
S0 OFF (shipped p=3),0,12,3.0000,0.0000,193,1,1,193,68578.6590779,0.1998,0.0214368525
S0 OFF (shipped p=3),0,13,3.0000,0.0000,51,1,1,51,6755.92709285,0.161207396496,0.0338011207
S0 OFF (shipped p=3),0,14,3.0000,0.0000,46,1,1,46,2237.72646617,0.114022066212,0.0441220658
S0 OFF (shipped p=3),0,15,3.0000,0.0000,49,1,1,49,965.997089893,0.0820090779307,0.0511138384
S0 OFF (shipped p=3),0,16,3.0000,0.0000,56,1,1,56,514.310486233,0.0891328871064,0.0547617788
S0 OFF (shipped p=3),0,17,3.0000,0.0000,50,1,1,50,327.11277398,0.0784733570803,0.0562025288
S0 OFF (shipped p=3),0,18,3.0000,0.0000,53,1,1,53,234.835253686,0.15131236947,0.0566541641
S0 OFF (shipped p=3),0,19,3.0000,0.0000,42,1,1,42,178.635849804,0.0876066078739,0.0568282136
S0 OFF (shipped p=3),0,20,3.0000,0.0000,47,1,1,47,138.874016872,0.103752002443,0.0569030744
S0 OFF (shipped p=3),0,21,3.0000,1.0000,31,1,1,31,159.37457699,0.1998,0.0576296592
S0 OFF (shipped p=3),0,22,3.0000,1.0000,29,1,1,29,55.5410075974,0.183704274981,0.0588774611
S0 OFF (shipped p=3),0,23,3.0000,1.0000,30,1,1,30,30.8798458781,0.199088489525,0.0591428342
S0 OFF (shipped p=3),0,24,3.0000,1.0000,27,1,1,27,21.1890644001,0.19583401648,0.0591011418
S0 OFF (shipped p=3),0,25,3.0000,1.0000,27,1,1,27,15.8790857851,0.175172473084,0.0590107484
S0 OFF (shipped p=3),0,26,3.0000,1.0000,29,1,1,29,12.6346611502,0.166563043661,0.0589939561
S0 OFF (shipped p=3),0,27,3.0000,1.0000,30,1,1,30,10.5829506514,0.163448017876,0.0591884668
S0 OFF (shipped p=3),0,28,3.0000,1.0000,32,1,1,32,9.44398814893,0.158982684642,0.0593563255
S0 OFF (shipped p=3),0,29,3.0000,1.0000,33,1,1,33,8.85851121166,0.160235530509,0.0594230555
S0 OFF (shipped p=3),0,30,3.0000,1.0000,32,1,1,32,8.53689317549,0.176814610351,0.0594672272
S0 OFF (shipped p=3),0,31,3.0000,1.0000,29,1,1,29,8.34743803778,0.160518266506,0.0594959288
S0 OFF (shipped p=3),0,32,3.0000,1.0000,32,1,1,32,8.24236675232,0.157010624787,0.0595060892
S0 OFF (shipped p=3),0,33,3.0000,1.0000,34,1,1,34,8.17910322177,0.19663219868,0.0595167413
S0 OFF (shipped p=3),0,34,3.0000,1.0000,26,1,1,26,8.14158601846,0.150053695135,0.0595176771
S0 OFF (shipped p=3),0,35,3.0000,1.0000,33,1,1,33,8.11549364095,0.14704661069,0.0595188879
S0 OFF (shipped p=3),0,36,3.0000,1.0000,33,1,1,33,8.09497414225,0.18270425823,0.0595177889
S0 OFF (shipped p=3),0,37,3.0000,1.0000,27,1,1,27,8.07736155942,0.10344140962,0.0595217258
S0 OFF (shipped p=3),0,38,3.0000,1.0000,42,1,1,42,8.06398220903,0.106305468962,0.0595240191
S0 OFF (shipped p=3),0,39,3.0000,1.0000,42,1,1,42,8.05445619239,0.125641258978,0.0595257448
S0 OFF (shipped p=3),0,40,3.0000,1.0000,36,1,1,36,8.04700318792,0.127855429692,0.059525785
S0 OFF (shipped p=3),1,1,3.0000,0.0000,64,1,1,64,8045.9271134,0.1998,0.0302163675
S0 OFF (shipped p=3),1,2,3.0000,0.0000,51,1,1,51,28781781.654,0.1998,0.0281570468
S0 OFF (shipped p=3),1,3,3.0000,0.0000,2117,0,1,300,16016036.3501,0.1998,0.0240219204
S0 OFF (shipped p=3),1,4,3.0000,0.0000,1341,0,1,300,436718110.115,0.1998,0.021357691
S0 OFF (shipped p=3),1,5,3.0000,0.0000,138,1,1,138,47271591.406,0.1998,0.0227509109
S0 OFF (shipped p=3),1,6,3.0000,0.0000,1535,0,1,300,492566094.02,0.1998,0.012991122
S0 OFF (shipped p=3),1,7,3.0000,0.0000,58,1,1,58,60631434.9391,0.1998,0.0262294384
S0 OFF (shipped p=3),1,8,3.0000,0.0000,157,1,1,157,844228.065472,0.1998,0.0128931159
S0 OFF (shipped p=3),1,9,3.0000,0.0000,66,1,1,66,41981194.4471,0.1998,0.0264780349
S0 OFF (shipped p=3),1,10,3.0000,0.0000,296,1,1,296,1305094.05749,0.1998,0.013244925
S0 OFF (shipped p=3),1,11,3.0000,0.0000,59,1,1,59,23523514.1214,0.1998,0.0269497641
S0 OFF (shipped p=3),1,12,3.0000,0.0000,161,1,1,161,426753.3106,0.178605380101,0.0135761344
S0 OFF (shipped p=3),1,13,3.0000,0.0000,81,1,1,81,117850.893345,0.1998,0.0275272484
S0 OFF (shipped p=3),1,14,3.0000,0.0000,102,1,1,102,18331.2370626,0.1998,0.0232296999
S0 OFF (shipped p=3),1,15,3.0000,0.0000,36,1,1,36,5129.03117701,0.123649578838,0.0313702199
S0 OFF (shipped p=3),1,16,3.0000,0.0000,44,1,1,44,2057.86924547,0.106688316195,0.0374493169
S0 OFF (shipped p=3),1,17,3.0000,0.0000,46,1,1,46,1072.04526651,0.0985635644749,0.0408030869
S0 OFF (shipped p=3),1,18,3.0000,0.0000,44,1,1,44,683.75491182,0.0846974097534,0.042155595
S0 OFF (shipped p=3),1,19,3.0000,0.0000,45,1,1,45,502.844803554,0.0743120395471,0.0425700327
S0 OFF (shipped p=3),1,20,3.0000,0.0000,47,1,1,47,396.417123237,0.070921144335,0.0426571157
S0 OFF (shipped p=3),1,21,3.0000,1.0000,28,1,1,28,501.830571384,0.1998,0.0439023554
S0 OFF (shipped p=3),1,22,3.0000,1.0000,26,1,1,26,136.965784236,0.188745090837,0.0446726518
S0 OFF (shipped p=3),1,23,3.0000,1.0000,26,1,1,26,70.5261356286,0.196577366804,0.0446305451
S0 OFF (shipped p=3),1,24,3.0000,1.0000,25,1,1,25,46.4224305409,0.1998,0.0446027347
S0 OFF (shipped p=3),1,25,3.0000,1.0000,25,1,1,25,33.3957778549,0.192217504436,0.0446570962
S0 OFF (shipped p=3),1,26,3.0000,1.0000,26,1,1,26,26.0757724115,0.194894170235,0.0447669585
S0 OFF (shipped p=3),1,27,3.0000,1.0000,25,1,1,25,21.6846279516,0.166390317035,0.0448428818
S0 OFF (shipped p=3),1,28,3.0000,1.0000,33,1,1,33,19.146884128,0.183978753626,0.0448754951
S0 OFF (shipped p=3),1,29,3.0000,1.0000,26,1,1,26,17.5869849107,0.156728805667,0.0448836843
S0 OFF (shipped p=3),1,30,3.0000,1.0000,34,1,1,34,16.6323869272,0.179307378614,0.0448802974
S0 OFF (shipped p=3),1,31,3.0000,1.0000,30,1,1,30,15.9805113111,0.1998,0.0448810103
S0 OFF (shipped p=3),1,32,3.0000,1.0000,25,1,1,25,15.5524680188,0.182683894642,0.044896765
S0 OFF (shipped p=3),1,33,3.0000,1.0000,30,1,1,30,15.2980393779,0.143001313928,0.0449012287
S0 OFF (shipped p=3),1,34,3.0000,1.0000,34,1,1,34,15.1319858321,0.116404378466,0.0448973909
S0 OFF (shipped p=3),1,35,3.0000,1.0000,40,1,1,40,15.0112858715,0.169449218729,0.0448915033
S0 OFF (shipped p=3),1,36,3.0000,1.0000,31,1,1,31,14.9135333302,0.123799506403,0.044882632
S0 OFF (shipped p=3),1,37,3.0000,1.0000,38,1,1,38,14.8251785828,0.131080804973,0.0448763994
S0 OFF (shipped p=3),1,38,3.0000,1.0000,38,1,1,38,14.7467323378,0.141881866414,0.0448665577
S0 OFF (shipped p=3),1,39,3.0000,1.0000,37,1,1,37,14.6766936437,0.17359451209,0.0448588634
S0 OFF (shipped p=3),1,40,3.0000,1.0000,29,1,1,29,14.6115330942,0.1998,0.0448518894
S1 Peetz literal 20it-per-val,0,1,1.0000,0.0000,45,1,1,45,12.1397664609,0.1998,0.0410043414
S1 Peetz literal 20it-per-val,0,2,1.0000,0.0000,40,1,1,40,27.0045827437,0.1998,0.0372895988
S1 Peetz literal 20it-per-val,0,3,1.0000,0.0000,71,1,1,71,41.6996048091,0.1998,0.0313915223
S1 Peetz literal 20it-per-val,0,4,1.0000,0.0000,76,1,1,76,272.750480164,0.1998,0.0293135061
S1 Peetz literal 20it-per-val,0,5,1.0000,0.0000,46,1,1,46,45.621109751,0.1998,0.0281604526
S1 Peetz literal 20it-per-val,0,6,1.0000,0.0000,73,1,1,73,271.994207935,0.1998,0.0182740156
S1 Peetz literal 20it-per-val,0,7,1.0000,0.0000,51,1,1,51,40.4699650486,0.1998,0.0333921458
S1 Peetz literal 20it-per-val,0,8,1.0000,0.0000,44,1,1,44,17.6124053214,0.1998,0.0338215099
S1 Peetz literal 20it-per-val,0,9,1.0000,0.0000,57,1,1,57,12.3717302082,0.1998,0.0386218619
S1 Peetz literal 20it-per-val,0,10,1.0000,0.0000,50,1,1,50,9.03845787951,0.1998,0.0407393985
S1 Peetz literal 20it-per-val,0,11,1.0000,0.0000,38,1,1,38,7.93110623863,0.1998,0.0432465042
S1 Peetz literal 20it-per-val,0,12,1.0000,0.0000,45,1,1,45,6.0813656165,0.1998,0.0488263247
S1 Peetz literal 20it-per-val,0,13,1.0000,0.0000,36,1,1,36,5.03046027966,0.158745916195,0.0531306621
S1 Peetz literal 20it-per-val,0,14,1.0000,0.0000,34,1,1,34,4.2209607727,0.119412315616,0.0565662099
S1 Peetz literal 20it-per-val,0,15,1.0000,0.0000,34,1,1,34,3.78324317507,0.0858536919342,0.0576370957
S1 Peetz literal 20it-per-val,0,16,1.0000,0.0000,37,1,1,37,3.59449545454,0.0833668650741,0.0578466811
S1 Peetz literal 20it-per-val,0,17,1.0000,0.0000,41,1,1,41,3.49206984423,0.0908030026952,0.0580158699
S1 Peetz literal 20it-per-val,0,18,1.0000,0.0000,42,1,1,42,3.40567409126,0.09383284061,0.0581779894
S1 Peetz literal 20it-per-val,0,19,1.0000,0.0000,39,1,1,39,3.33694508576,0.100649415229,0.0583175755
S1 Peetz literal 20it-per-val,0,20,1.0000,0.0000,36,1,1,36,3.28118079014,0.089579026162,0.0584199766
S1 Peetz literal 20it-per-val,0,21,1.0000,1.0000,25,1,1,25,3.65498032084,0.133776595702,0.0625678351
S1 Peetz literal 20it-per-val,0,22,1.0000,1.0000,29,1,1,29,3.35029802369,0.130857809507,0.0617054747
S1 Peetz literal 20it-per-val,0,23,1.0000,1.0000,47,1,1,47,3.57195822608,0.1998,0.050917469
S1 Peetz literal 20it-per-val,0,24,1.0000,1.0000,38,1,1,38,8.95565702998,0.1998,0.0428724168
S1 Peetz literal 20it-per-val,0,25,1.0000,1.0000,68,1,1,68,9.72358993603,0.1998,0.0450880277
S1 Peetz literal 20it-per-val,0,26,1.0000,1.0000,45,1,1,45,17.8029154628,0.1998,0.0340246912
S1 Peetz literal 20it-per-val,0,27,1.0000,1.0000,55,1,1,55,29.9280177816,0.1998,0.0339324796
S1 Peetz literal 20it-per-val,0,28,1.0000,1.0000,51,1,1,51,66.9623108174,0.1998,0.0343908797
S1 Peetz literal 20it-per-val,0,29,1.0000,1.0000,42,1,1,42,24.2270181267,0.1998,0.0315831974
S1 Peetz literal 20it-per-val,0,30,1.0000,1.0000,52,1,1,52,33.5822664235,0.1998,0.0333840251
S1 Peetz literal 20it-per-val,0,31,1.0000,1.0000,32,1,1,32,9.38072884337,0.191634371234,0.0477125923
S1 Peetz literal 20it-per-val,0,32,1.0000,1.0000,45,1,1,45,5.97440368014,0.1998,0.0554756656
S1 Peetz literal 20it-per-val,0,33,1.0000,2.0000,33,1,1,33,5.47706157547,0.1998,0.0781110232
S1 Peetz literal 20it-per-val,0,34,1.0000,2.0000,24,1,1,24,3.80542586421,0.1998,0.0746540044
S1 Peetz literal 20it-per-val,0,35,1.0000,2.0000,47,1,1,47,4.55863191344,0.1998,0.069195922
S1 Peetz literal 20it-per-val,0,36,1.0000,2.0000,34,1,1,34,5.19590380563,0.1998,0.0653994577
S1 Peetz literal 20it-per-val,0,37,1.0000,2.0000,45,1,1,45,5.57570263747,0.1998,0.0687367631
S1 Peetz literal 20it-per-val,0,38,1.0000,2.0000,31,1,1,31,4.37456596889,0.1998,0.0729013906
S1 Peetz literal 20it-per-val,0,39,1.0000,2.0000,34,1,1,34,3.78997268062,0.1998,0.0747380973
