posture,rung,vf_requested,verdict,margin,margin_effective,compliance,achieved_vf,iterations,stagnating,latched,cg,min_feature_violations,mesh_components,wall_s_run,reason
S0 OFF (shipped p=3),0,0.6800,ACCEPT,3.59568093317,3.59568093317,8.04077359745,0.593915344,40,3,0,6368,60,1,531.864,
S0 OFF (shipped p=3),1,0.5200,ACCEPT,2.16164834213,2.16164834213,14.5512002626,0.387566138,40,3,0,7094,80,1,531.864,
S0 OFF (shipped p=3),2,0.3800,REJECT,1.11389157969,1.11389157969,31.6694794509,0.252645503,40,3,0,6238,80,1,531.864,margin below required
S1 Peetz literal 20it-per-val,0,0.6800,REJECT,1.98260864054,1.98260864054,188.414193975,0.240740741,40,0,0,1745,46,1,186.017,load path not connected
S1 Peetz literal 20it-per-val,1,0.5200,REJECT,1.26008131517,1.26008131517,1257.12476751,0.0886243386,40,0,0,1963,56,1,186.017,load path not connected
S2 Peetz values 1it-per-val,0,0.6800,ACCEPT,3.24069381433,3.24069381433,8.13292388544,0.583333333,40,2,0,3861,52,1,197.473,
S2 Peetz values 1it-per-val,1,0.5200,REJECT,0.875991632067,0.875991632067,51.3430947863,0.108465608,40,1,0,3730,64,1,197.473,load path not connected
S3 Amir-Sigmund 1to3 1it-per-val,0,0.6800,ACCEPT,3.73718148656,3.73718148656,8.27325836981,0.582010582,40,1,0,3068,50,1,261.216,
S3 Amir-Sigmund 1to3 1it-per-val,1,0.5200,REJECT,1.27694279643,1.27694279643,55.5314070137,0.130952381,40,1,0,3350,58,1,261.216,load path not connected
S4 stagnation-window 1to3,0,0.6800,ACCEPT,4.11088625588,4.11088625588,7.56856707774,0.595238095,40,0,0,2559,72,1,202.662,
S4 stagnation-window 1to3,1,0.5200,REJECT,1.42819265342,1.42819265342,35.9708651672,0.181216931,40,0,0,3476,74,1,202.662,load path not connected
