design_iter,hier_built,levels,mg_cycles,carried,build_ms,cycle_ms,fallback_ms,total_ms,fallback_iters,latched
0,1,3,83,1,356.746,1046.566,0.000,1410.122,83,0
1,1,0,300,0,349.395,3548.625,22793.530,26696.399,6756,0
2,1,0,300,0,356.110,4424.750,12483.159,17274.841,3636,0
3,1,0,300,0,464.158,4676.588,13981.812,19127.865,2847,1
4,0,0,0,0,0.000,0.000,236301.046,236326.418,61781,1
5,0,0,0,0,0.000,0.000,10083.669,10089.801,3488,1
6,0,0,0,0,0.000,0.000,10338.315,10344.455,4962,1
7,0,0,0,0,0.000,0.000,7574.420,7578.083,3381,1
8,0,0,0,0,0.000,0.000,4828.739,4831.714,2173,1
9,0,0,0,0,0.000,0.000,142900.923,142910.327,44412,1
10,0,0,0,0,0.000,0.000,27185.354,27194.931,8247,1
11,0,0,0,0,0.000,0.000,35669.967,35679.197,11216,1
12,0,0,0,0,0.000,0.000,25285.677,25298.707,7956,1
13,0,0,0,0,0.000,0.000,11053.392,11057.791,4948,1
14,0,0,0,0,0.000,0.000,3229.704,3233.401,1529,1
15,0,0,0,0,0.000,0.000,2428.558,2431.397,1170,1
16,0,0,0,0,0.000,0.000,7021.923,7025.009,3116,1
17,0,0,0,0,0.000,0.000,72347.881,72354.298,27806,1
18,0,0,0,0,0.000,0.000,51897.514,51908.298,23244,1
19,0,0,0,0,0.000,0.000,12041.124,12062.419,5710,1
20,0,0,0,0,0.000,0.000,79580.026,79588.617,20196,1
21,0,0,0,0,0.000,0.000,14293.665,14299.145,3804,1
22,0,0,0,0,0.000,0.000,21022.051,21028.165,8957,1
23,0,0,0,0,0.000,0.000,9678.590,9683.761,4378,1
24,0,0,0,0,0.000,0.000,20336.740,20342.601,7798,1
25,0,0,0,0,0.000,0.000,8516.302,8522.442,3374,1
26,0,0,0,0,0.000,0.000,23410.897,23418.204,9081,1
27,0,0,0,0,0.000,0.000,5412.466,5419.122,1768,1
28,0,0,0,0,0.000,0.000,2965.805,2971.578,1159,1
29,0,0,0,0,0.000,0.000,2834.407,2838.790,1117,1
30,0,0,0,0,0.000,0.000,4380.686,4385.798,870,1
31,0,0,0,0,0.000,0.000,3402.568,3407.666,829,1
32,0,0,0,0,0.000,0.000,1696.167,1704.426,639,1
33,0,0,0,0,0.000,0.000,15600.627,15604.936,4889,1
34,0,0,0,0,0.000,0.000,6275.632,6285.715,2421,1
35,0,0,0,0,0.000,0.000,17671.996,17677.335,4759,1
36,0,0,0,0,0.000,0.000,2589.713,2594.828,1043,1
37,0,0,0,0,0.000,0.000,19856.439,19861.842,6711,1
38,0,0,0,0,0.000,0.000,2132.080,2134.893,834,1
39,0,0,0,0,0.000,0.000,13766.334,13770.833,4264,1
40,0,0,0,0,0.000,0.000,6024.680,6032.700,2495,1
41,0,0,0,0,0.000,0.000,15900.711,15906.477,5155,1
42,0,0,0,0,0.000,0.000,71406.391,71414.694,29323,1
43,0,0,0,0,0.000,0.000,31448.536,31458.658,14437,1
44,0,0,0,0,0.000,0.000,18525.510,18530.548,7112,1
45,0,0,0,0,0.000,0.000,6218.530,6228.435,2667,1
46,0,0,0,0,0.000,0.000,5900.032,5906.035,2614,1
47,0,0,0,0,0.000,0.000,7496.114,7501.711,3354,1
48,0,0,0,0,0.000,0.000,24337.976,24348.329,10312,1
49,0,0,0,0,0.000,0.000,59965.488,59974.022,26048,1
50,0,0,0,0,0.000,0.000,37090.019,37097.005,15616,1
51,0,0,0,0,0.000,0.000,59737.321,59745.830,20318,1
52,0,0,0,0,0.000,0.000,29465.886,29471.940,10095,1
53,0,0,0,0,0.000,0.000,33169.641,33175.799,9989,1
54,0,0,0,0,0.000,0.000,16066.853,16072.343,5230,1
55,0,0,0,0,0.000,0.000,16557.621,16561.676,4929,1
56,0,0,0,0,0.000,0.000,17995.969,18000.041,5260,1
57,0,0,0,0,0.000,0.000,12647.812,12652.093,4298,1
58,0,0,0,0,0.000,0.000,30053.311,30058.503,7821,1
59,0,0,0,0,0.000,0.000,11556.622,11560.210,3900,1
60,0,0,0,0,0.000,0.000,10252.083,10255.722,2390,1
61,0,0,0,0,0.000,0.000,6236.993,6241.318,2067,1
62,0,0,0,0,0.000,0.000,3574.357,3577.801,1129,1
63,0,0,0,0,0.000,0.000,7302.832,7306.530,1720,1
64,0,0,0,0,0.000,0.000,2095.824,2099.205,661,1
65,0,0,0,0,0.000,0.000,20419.147,20423.922,6018,1
66,0,0,0,0,0.000,0.000,4884.673,4888.182,1682,1
67,0,0,0,0,0.000,0.000,17586.629,17590.915,4961,1
68,0,0,0,0,0.000,0.000,2230.273,2234.414,759,1
69,0,0,0,0,0.000,0.000,19482.599,19486.935,5610,1
70,0,0,0,0,0.000,0.000,2873.512,2876.780,932,1
71,0,0,0,0,0.000,0.000,13693.064,13697.431,3311,1
72,0,0,0,0,0.000,0.000,31688.945,31693.967,8846,1
73,0,0,0,0,0.000,0.000,11014.534,11019.114,4201,1
74,0,0,0,0,0.000,0.000,64382.652,64390.160,19675,1
75,0,0,0,0,0.000,0.000,24564.381,24573.465,5567,1
76,0,0,0,0,0.000,0.000,83991.289,84004.153,22878,1
77,0,0,0,0,0.000,0.000,39435.443,39443.583,9513,1
78,0,0,0,0,0.000,0.000,42753.970,42772.944,11483,1
79,0,0,0,0,0.000,0.000,26092.474,26099.330,7986,1
