class,posture,block,iter,cg_iters,used_mg,solve_s,cg_ms,recycle_ms,setup_matvecs
(a) LATCHED,on,1,1,578,0,6.51591,912.133,64.483,0
(a) LATCHED,on,1,2,520,0,1.24548,754.063,485.896,16
(a) LATCHED,on,1,3,522,0,1.33790,835.476,497.109,16
(a) LATCHED,on,1,4,520,0,1.21521,749.253,460.020,16
(a) LATCHED,on,1,5,499,0,1.15576,702.746,448.036,16
(a) LATCHED,on,1,6,471,0,1.11666,674.755,436.965,16
(a) LATCHED,on,1,7,465,0,1.12904,680.778,442.603,16
(a) LATCHED,on,1,8,470,0,1.11623,657.817,452.925,16
(a) LATCHED,off,1,1,578,0,6.20348,828.086,0.060,0
(a) LATCHED,off,1,2,729,0,1.01729,1011.689,0.066,0
(a) LATCHED,off,1,3,787,0,1.09266,1087.445,0.065,0
(a) LATCHED,off,1,4,835,0,1.16640,1161.188,0.071,0
(a) LATCHED,off,1,5,891,0,1.22591,1220.814,0.073,0
(a) LATCHED,off,1,6,886,0,1.48739,1482.095,0.089,0
(a) LATCHED,off,1,7,893,0,1.41051,1404.787,0.077,0
(a) LATCHED,off,1,8,912,0,1.32410,1318.684,0.096,0
(a) LATCHED,off,2,1,578,0,5.99944,812.630,0.048,0
(a) LATCHED,off,2,2,729,0,1.12694,1121.562,0.076,0
(a) LATCHED,off,2,3,787,0,1.21975,1213.191,0.099,0
(a) LATCHED,off,2,4,835,0,1.27159,1264.629,0.072,0
(a) LATCHED,off,2,5,891,0,1.23247,1227.045,0.080,0
(a) LATCHED,off,2,6,886,0,1.20958,1204.415,0.084,0
(a) LATCHED,off,2,7,893,0,1.21623,1211.017,0.076,0
(a) LATCHED,off,2,8,912,0,1.24344,1238.107,0.074,0
(a) LATCHED,on,2,1,578,0,6.10626,800.119,48.602,0
(a) LATCHED,on,2,2,520,0,1.18290,729.384,448.239,16
(a) LATCHED,on,2,3,522,0,1.17580,721.212,449.543,16
(a) LATCHED,on,2,4,520,0,1.23919,767.808,466.309,16
(a) LATCHED,on,2,5,499,0,1.20171,740.919,455.630,16
(a) LATCHED,on,2,6,471,0,1.46953,874.924,586.344,16
(a) LATCHED,on,2,7,465,0,1.22201,721.337,493.393,16
(a) LATCHED,on,2,8,470,0,1.23102,750.567,474.081,16
(a) LATCHED,on,3,1,578,0,6.44015,870.719,47.543,0
(a) LATCHED,on,3,2,520,0,1.50647,951.233,549.916,16
(a) LATCHED,on,3,3,522,0,1.33709,857.423,474.666,16
(a) LATCHED,on,3,4,520,0,1.45359,922.314,526.058,16
(a) LATCHED,on,3,5,499,0,1.25619,792.845,458.505,16
(a) LATCHED,on,3,6,471,0,1.19161,751.715,435.027,16
(a) LATCHED,on,3,7,465,0,1.20394,742.522,456.349,16
(a) LATCHED,on,3,8,470,0,1.24395,775.324,463.532,16
(a) LATCHED,off,3,1,578,0,6.55163,929.417,0.077,0
(a) LATCHED,off,3,2,729,0,1.16021,1155.016,0.081,0
(a) LATCHED,off,3,3,787,0,1.25051,1245.326,0.089,0
(a) LATCHED,off,3,4,835,0,1.32343,1318.338,0.086,0
(a) LATCHED,off,3,5,891,0,1.49634,1491.089,0.110,0
(a) LATCHED,off,3,6,886,0,1.56058,1555.269,0.112,0
(a) LATCHED,off,3,7,893,0,1.51622,1511.049,0.120,0
(a) LATCHED,off,3,8,912,0,1.47899,1474.022,0.102,0
(b) HEALTHY-MG,on,1,1,27,1,0.42938,0.000,0.000,0
(b) HEALTHY-MG,on,1,2,28,1,0.42773,0.000,0.000,0
(b) HEALTHY-MG,on,1,3,30,1,0.44370,0.000,0.000,0
(b) HEALTHY-MG,on,1,4,33,1,0.47083,0.000,0.000,0
(b) HEALTHY-MG,on,1,5,34,1,0.48103,0.000,0.000,0
(b) HEALTHY-MG,on,1,6,33,1,0.47007,0.000,0.000,0
(b) HEALTHY-MG,on,1,7,32,1,0.46824,0.000,0.000,0
(b) HEALTHY-MG,on,1,8,30,1,0.45353,0.000,0.000,0
(b) HEALTHY-MG,off,1,1,27,1,0.42755,0.000,0.000,0
(b) HEALTHY-MG,off,1,2,28,1,0.43234,0.000,0.000,0
(b) HEALTHY-MG,off,1,3,30,1,0.45855,0.000,0.000,0
(b) HEALTHY-MG,off,1,4,33,1,0.47182,0.000,0.000,0
(b) HEALTHY-MG,off,1,5,34,1,0.56586,0.000,0.000,0
(b) HEALTHY-MG,off,1,6,33,1,0.46717,0.000,0.000,0
(b) HEALTHY-MG,off,1,7,32,1,0.46441,0.000,0.000,0
(b) HEALTHY-MG,off,1,8,30,1,0.44588,0.000,0.000,0
(b) HEALTHY-MG,off,2,1,27,1,0.45231,0.000,0.000,0
(b) HEALTHY-MG,off,2,2,28,1,0.45309,0.000,0.000,0
(b) HEALTHY-MG,off,2,3,30,1,0.48305,0.000,0.000,0
(b) HEALTHY-MG,off,2,4,33,1,0.46737,0.000,0.000,0
(b) HEALTHY-MG,off,2,5,34,1,0.47635,0.000,0.000,0
(b) HEALTHY-MG,off,2,6,33,1,0.47677,0.000,0.000,0
(b) HEALTHY-MG,off,2,7,32,1,0.46177,0.000,0.000,0
(b) HEALTHY-MG,off,2,8,30,1,0.44746,0.000,0.000,0
(b) HEALTHY-MG,on,2,1,27,1,0.42261,0.000,0.000,0
(b) HEALTHY-MG,on,2,2,28,1,0.44530,0.000,0.000,0
(b) HEALTHY-MG,on,2,3,30,1,0.46178,0.000,0.000,0
(b) HEALTHY-MG,on,2,4,33,1,0.48341,0.000,0.000,0
(b) HEALTHY-MG,on,2,5,34,1,0.48844,0.000,0.000,0
(b) HEALTHY-MG,on,2,6,33,1,0.50498,0.000,0.000,0
(b) HEALTHY-MG,on,2,7,32,1,0.49283,0.000,0.000,0
(b) HEALTHY-MG,on,2,8,30,1,0.46729,0.000,0.000,0
(b) HEALTHY-MG,on,3,1,27,1,0.44465,0.000,0.000,0
(b) HEALTHY-MG,on,3,2,28,1,0.55128,0.000,0.000,0
(b) HEALTHY-MG,on,3,3,30,1,0.46375,0.000,0.000,0
(b) HEALTHY-MG,on,3,4,33,1,0.48662,0.000,0.000,0
(b) HEALTHY-MG,on,3,5,34,1,0.49172,0.000,0.000,0
(b) HEALTHY-MG,on,3,6,33,1,0.55122,0.000,0.000,0
(b) HEALTHY-MG,on,3,7,32,1,0.47872,0.000,0.000,0
(b) HEALTHY-MG,on,3,8,30,1,0.46990,0.000,0.000,0
(b) HEALTHY-MG,off,3,1,27,1,0.42977,0.000,0.000,0
(b) HEALTHY-MG,off,3,2,28,1,0.44665,0.000,0.000,0
(b) HEALTHY-MG,off,3,3,30,1,0.46423,0.000,0.000,0
(b) HEALTHY-MG,off,3,4,33,1,0.48317,0.000,0.000,0
(b) HEALTHY-MG,off,3,5,34,1,0.48893,0.000,0.000,0
