class,shape,posture,block,cg_iters,used_mg,setup_matvecs,solve_s,cg_ms,recycle_ms
(a) LATCHED,cold,on,1,624,0,0,13.65319,1277.733,50.526
(a) LATCHED,cold,off,1,624,0,0,13.80995,1113.046,0.117
(a) LATCHED,cold,off,2,624,0,0,14.12271,1179.497,0.113
(a) LATCHED,cold,on,2,624,0,0,13.67104,1179.413,49.502
(a) LATCHED,cold,on,3,624,0,0,13.91758,1108.993,48.846
(a) LATCHED,cold,off,3,624,0,0,14.64278,1468.772,0.099
(a) LATCHED,warm,on,1,465,0,16,1.39715,873.259,518.615
(a) LATCHED,warm,off,1,893,0,0,1.64942,1644.217,0.126
(a) LATCHED,warm,off,2,893,0,0,1.86484,1850.164,0.143
(a) LATCHED,warm,on,2,465,0,16,1.18291,720.441,457.201
(a) LATCHED,warm,on,3,465,0,16,1.32910,831.235,492.650
(a) LATCHED,warm,off,3,893,0,0,1.62026,1614.985,0.161
(b) HEALTHY-MG,cold,on,1,32,1,0,0.45156,0.000,0.000
(b) HEALTHY-MG,cold,off,1,32,1,0,0.45163,0.000,0.000
(b) HEALTHY-MG,cold,off,2,32,1,0,0.45449,0.000,0.000
(b) HEALTHY-MG,cold,on,2,32,1,0,0.47912,0.000,0.000
(b) HEALTHY-MG,cold,on,3,32,1,0,0.45154,0.000,0.000
(b) HEALTHY-MG,cold,off,3,32,1,0,0.44541,0.000,0.000
(b) HEALTHY-MG,warm,on,1,32,1,0,0.44878,0.000,0.000
(b) HEALTHY-MG,warm,off,1,32,1,0,0.45893,0.000,0.000
(b) HEALTHY-MG,warm,off,2,32,1,0,0.45350,0.000,0.000
(b) HEALTHY-MG,warm,on,2,32,1,0,0.44321,0.000,0.000
(b) HEALTHY-MG,warm,on,3,32,1,0,0.43348,0.000,0.000
(b) HEALTHY-MG,warm,off,3,32,1,0,0.46207,0.000,0.000
