class,iter,cg_iters,recycle_ms,begin_ms,setup_matvec_ms,setup_other_ms,augment_ms,observe_ms,commit_ms,sum_ms,augment_calls,observe_stores,setup_matvecs
(a) LATCHED,1,578,49.929,0.000,0.000,0.000,0.000,5.127,44.646,49.773,0,83,0
(a) LATCHED,2,520,482.925,0.000,19.621,20.387,275.452,3.628,163.683,482.771,521,81,16
(a) LATCHED,3,522,555.993,0.000,19.581,20.689,348.150,2.810,164.566,555.796,523,81,16
(a) LATCHED,4,520,487.828,0.000,20.712,20.463,279.305,2.702,164.442,487.624,521,81,16
(a) LATCHED,5,499,477.912,0.000,23.841,20.842,265.775,2.686,164.599,477.744,500,80,16
(a) LATCHED,6,471,466.903,0.000,20.843,20.357,257.224,2.583,165.760,466.768,472,79,16
(a) LATCHED,7,465,456.039,0.000,19.585,20.554,247.491,3.108,165.143,455.882,466,79,16
(a) LATCHED,8,470,468.967,0.000,20.305,20.262,263.408,2.841,161.989,468.805,471,79,16
(b) HEALTHY-MG,1,27,0.000,0.000,0.000,0.000,0.000,1.044,43.158,44.201,0,22,0
(b) HEALTHY-MG,2,30,0.000,0.000,36.340,28.853,20.867,2.652,158.714,247.428,30,23,15
(b) HEALTHY-MG,3,33,0.000,0.000,19.198,20.467,20.271,1.005,158.923,219.863,33,25,16
(b) HEALTHY-MG,4,32,0.000,0.000,17.687,19.826,16.305,0.831,162.166,216.815,32,24,16
(b) HEALTHY-MG,5,33,0.000,0.000,18.917,20.116,24.697,1.031,159.905,224.666,33,25,16
(b) HEALTHY-MG,6,35,0.000,0.000,19.524,19.759,20.435,0.983,160.199,220.900,35,26,16
(b) HEALTHY-MG,7,34,0.000,0.000,18.977,19.827,19.517,0.927,159.650,218.898,34,25,16
(b) HEALTHY-MG,8,33,0.000,0.000,17.629,19.328,19.544,0.830,160.174,217.504,33,25,16
