class,iter,cg_iters,used_mg,hier_built,rec_dim,setup_matvecs,solve_s,cg_ms,recycle_ms
(a) LATCHED   recycling=off,1,578,0,0,0,0,12.92259,2448.703,0.199
(a) LATCHED   recycling=off,2,729,0,0,0,0,1.28095,1275.300,0.107
(a) LATCHED   recycling=off,3,787,0,0,0,0,1.29942,1291.729,0.101
(a) LATCHED   recycling=off,4,835,0,0,0,0,1.17728,1172.181,0.130
(a) LATCHED   recycling=on,1,578,0,0,0,0,5.83836,813.355,47.709
(a) LATCHED   recycling=on,2,520,0,0,16,16,1.36381,899.025,459.832
(a) LATCHED   recycling=on,3,522,0,0,16,16,1.10884,683.941,419.838
(a) LATCHED   recycling=on,4,520,0,0,16,16,1.31867,845.885,467.726
(b) HEALTHY MG recycling=off,1,27,1,1,0,0,0.40387,0.000,0.000
(b) HEALTHY MG recycling=off,2,28,1,1,0,0,0.40375,0.000,0.000
(b) HEALTHY MG recycling=off,3,30,1,1,0,0,0.44068,0.000,0.000
(b) HEALTHY MG recycling=off,4,33,1,1,0,0,0.44045,0.000,0.000
(b) HEALTHY MG recycling=on,1,27,1,1,0,0,0.43837,0.000,0.000
(b) HEALTHY MG recycling=on,2,28,1,1,0,0,0.42756,0.000,0.000
(b) HEALTHY MG recycling=on,3,30,1,1,0,0,0.41471,0.000,0.000
(b) HEALTHY MG recycling=on,4,33,1,1,0,0,0.43099,0.000,0.000
