rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785740892695,0.0001166524199,0.547878,0,184,1,0,1,184,0,0,1.000000,18368.842,0.000,2.285,0.201,18339.326,18314.462,24.718,26.135,0.504,0.310,0.081,15.720,458.009,17837.578,0.000,0.000,0.000,0.000,1,736,0,0,0,0,30.38,62.09,8.97,6936.42,99,0
0,2,1785740921262,5.523305127e-05,0.566316,0,157,1,0,1,157,0,0,1.000000,28565.231,0.971,2.652,0.201,28537.856,28513.126,24.590,23.961,0.456,0.053,0.052,14.276,452.859,28042.896,0.000,0.000,0.000,0.000,1,628,0,0,0,0,41.55,62.09,5.70,5879.64,99,0
0,3,1785740943241,3.167910338e-05,0.590479,0,122,1,0,1,122,0,0,1.000000,21978.591,0.968,3.442,0.200,21933.494,21901.691,31.666,40.491,0.471,0.239,0.256,14.266,511.148,21373.441,0.000,0.000,0.000,0.000,1,488,0,0,0,0,32.95,64.06,7.08,5017.62,99,0
0,4,1785740960484,3.049191929e-05,0.594986,0,124,1,0,1,124,0,0,1.000000,17242.178,0.969,4.137,0.423,17211.467,17185.819,25.510,24.685,0.603,0.809,0.053,15.976,632.143,16533.025,0.000,0.000,0.000,0.000,1,496,0,0,0,0,50.63,65.86,7.91,4767.80,99,0
0,5,1785740973982,3.071920508e-05,0.595717,0,128,1,0,1,128,0,0,1.000000,13496.477,0.968,2.272,0.199,13468.738,13443.378,25.221,24.454,0.467,0.216,0.132,14.259,440.983,12985.352,0.000,0.000,0.000,0.000,1,512,0,0,0,0,53.09,69.91,9.69,4300.31,99,0
0,6,1785740986169,2.980725242e-05,0.594249,0,133,1,0,1,133,0,0,1.000000,12185.706,0.970,2.288,0.200,12156.298,12129.049,27.072,25.963,0.466,0.390,0.101,13.585,446.317,11666.238,0.000,0.000,0.000,0.000,1,532,0,0,0,0,53.13,69.91,19.47,4143.17,99,0
0,7,1785740999107,2.913853547e-05,0.595390,0,137,1,0,1,137,0,0,1.000000,12936.912,0.974,2.273,0.201,12905.985,12880.725,25.120,26.205,0.484,1.468,0.296,14.968,449.076,12413.793,0.000,0.000,0.000,0.000,1,548,0,0,0,0,53.13,69.91,14.23,3862.12,99,0
0,8,1785741013223,2.896787205e-05,0.597487,0,137,1,0,1,137,0,0,1.000000,14115.307,0.977,2.537,0.541,14084.996,14058.316,26.546,26.161,0.562,0.299,0.211,15.136,451.143,13589.112,0.000,0.000,0.000,0.000,1,548,0,0,0,0,53.14,69.91,29.50,4443.45,99,0
0,9,1785741025378,2.876240698e-05,0.597890,0,138,1,0,1,138,0,0,1.000000,12154.114,1.036,2.280,0.200,12126.245,12101.527,24.577,24.789,0.480,0.056,0.063,14.540,447.821,11636.269,0.000,0.000,0.000,0.000,1,552,0,0,0,0,53.16,69.91,14.98,4914.53,99,0
0,10,1785741037989,2.863925748e-05,0.598585,0,144,1,0,1,144,0,0,1.000000,12609.726,0.992,2.228,0.194,12581.165,12554.954,26.077,24.792,0.469,0.818,0.060,14.007,519.601,12018.372,0.000,0.000,0.000,0.000,1,576,0,0,0,0,46.39,69.91,10.33,4920.62,99,0
0,11,1785741050704,2.851530169e-05,0.598886,0,147,1,0,1,147,0,0,1.000000,12713.196,1.379,2.385,0.199,12685.545,12661.577,23.830,23.737,0.468,0.806,0.055,14.608,439.814,12204.378,0.000,0.000,0.000,0.000,1,588,0,0,0,0,50.78,69.91,7.05,4935.67,99,0
0,12,1785741064029,2.843367031e-05,0.598120,0,152,1,0,1,152,0,0,1.000000,13324.051,0.992,2.190,0.194,13293.367,13268.972,24.258,27.420,0.461,0.290,0.128,13.274,450.448,12802.261,0.000,0.000,0.000,0.000,1,608,0,0,0,0,50.91,69.91,8.25,4723.64,99,0
0,13,1785741077067,2.838611203e-05,0.598502,0,151,1,0,1,151,0,0,1.000000,13036.863,0.985,2.261,0.200,13007.070,12982.079,24.852,26.009,0.461,0.813,0.048,13.807,444.722,12520.670,0.000,0.000,0.000,0.000,1,604,0,0,0,0,48.63,69.91,7.20,4650.58,99,0
0,14,1785741090724,2.827101523e-05,0.598728,0,158,1,0,1,158,0,0,1.000000,13656.232,0.999,2.293,0.222,13628.162,13602.780,25.241,24.828,0.455,0.224,0.048,13.852,441.669,13144.369,0.000,0.000,0.000,0.000,1,632,0,0,0,0,51.06,69.91,7.27,6321.88,99,0
0,15,1785741104948,2.832314191e-05,0.598985,0,159,1,0,1,159,0,0,1.000000,14222.270,0.966,2.249,0.200,14192.847,14168.053,24.652,25.633,0.465,0.827,0.049,15.016,450.071,13700.074,0.000,0.000,0.000,0.000,1,636,0,0,0,0,53.59,69.91,11.77,5212.47,99,0
0,16,1785741143335,2.871134845e-05,0.598951,0,144,1,1,1,144,0,0,1.000000,18646.265,0.000,11.700,12.064,18598.324,18569.129,29.056,22.950,0.945,0.047,0.236,43.294,997.195,17522.302,0.000,0.000,0.000,0.000,1,576,0,0,0,0,47.70,76.95,4.64,5181.31,99,0
0,17,1785741164463,2.841665787e-05,0.600510,0,160,1,1,1,160,0,0,1.000000,21126.712,0.967,6.587,0.534,21084.790,21052.407,32.245,31.354,2.441,0.826,0.180,14.521,526.249,20507.648,0.000,0.000,0.000,0.000,1,640,0,0,0,0,44.78,77.95,4.62,4992.56,99,0
0,18,1785741184560,2.829079821e-05,0.600711,0,155,1,1,1,155,0,0,1.000000,20096.475,0.967,3.718,0.534,20066.679,20041.121,25.420,23.735,0.713,0.788,0.308,27.434,718.076,19292.790,0.000,0.000,0.000,0.000,1,620,0,0,0,0,46.72,78.73,4.89,4832.14,99,0
0,19,1785741199727,2.819945281e-05,0.601259,0,170,1,1,1,170,0,0,1.000000,15165.405,0.968,3.602,0.515,15134.022,15106.144,27.705,26.323,0.700,0.047,0.198,14.304,457.518,14631.433,0.000,0.000,0.000,0.000,1,680,0,0,0,0,41.28,78.73,4.89,5873.45,99,0
0,20,1785741215078,2.812727658e-05,0.601394,0,177,1,1,1,177,0,0,1.000000,15350.129,1.051,3.618,0.578,15316.804,15288.558,28.095,28.431,0.460,0.037,0.199,13.959,440.791,14830.819,0.000,0.000,0.000,0.000,1,708,0,0,0,0,36.61,78.73,4.62,5865.41,99,0
0,21,1785741229582,2.807421401e-05,0.601601,0,167,1,1,1,167,0,0,1.000000,14503.158,0.978,3.452,0.544,14472.422,14446.766,25.516,25.312,0.450,0.797,0.181,14.460,439.962,13989.601,0.000,0.000,0.000,0.000,1,668,0,0,0,0,45.28,78.73,5.62,5362.20,99,0
0,22,1785741244939,2.801989095e-05,0.601686,0,174,1,1,1,174,0,0,1.000000,15355.782,0.976,3.517,0.539,15325.482,15300.973,24.373,24.779,0.470,0.810,0.183,14.072,440.576,14843.471,0.000,0.000,0.000,0.000,1,696,0,0,0,0,52.00,78.73,13.47,5176.88,99,0
0,23,1785741259877,2.797534561e-05,0.601755,0,172,1,1,1,172,0,0,1.000000,14936.918,0.972,3.811,0.581,14906.764,14882.021,24.604,24.179,0.497,0.803,0.283,13.702,442.449,14423.040,0.000,0.000,0.000,0.000,1,688,0,0,0,0,52.00,78.73,8.27,4995.03,99,0
