rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785740763153,0.0001166524199,0.547878,0,184,1,0,1,184,0,0,1.000000,800.708,0.000,0.272,0.016,797.232,796.016,1.216,2.915,0.106,0.068,0.098,1.793,59.365,734.541,0.000,0.000,0.000,0.000,1,736,0,0,0,0,43.73,63.44,0.00,4199.78,117,0
0,2,1785740763830,5.523305127e-05,0.566316,0,157,1,0,1,157,0,0,1.000000,677.048,0.002,0.255,0.015,674.070,672.807,1.263,2.519,0.101,0.035,0.052,1.245,55.987,615.310,0.000,0.000,0.000,0.000,1,628,0,0,0,0,47.75,67.45,0.00,4161.17,117,0
0,3,1785740764363,3.167910338e-05,0.590479,0,122,1,0,1,122,0,0,1.000000,533.435,0.002,0.258,0.014,530.445,529.255,1.189,2.514,0.101,0.053,0.050,1.065,54.833,473.166,0.000,0.000,0.000,0.000,1,488,0,0,0,0,47.77,67.47,0.00,4161.17,117,0
0,4,1785740764790,3.049191929e-05,0.594986,0,124,1,0,1,124,0,0,1.000000,426.602,0.002,0.261,0.014,423.669,422.512,1.157,2.480,0.097,0.044,0.036,1.087,54.486,366.732,0.000,0.000,0.000,0.000,1,496,0,0,0,0,50.17,69.88,0.00,4196.39,117,0
0,5,1785740765204,3.071920508e-05,0.595717,0,128,1,0,1,128,0,0,1.000000,413.663,0.002,0.243,0.013,410.985,409.839,1.145,2.250,0.100,0.037,0.035,0.977,51.115,357.589,0.000,0.000,0.000,0.000,1,512,0,0,0,0,51.67,71.38,0.00,4149.89,117,0
0,6,1785740765663,2.980725242e-05,0.594249,0,133,1,0,1,133,0,0,1.000000,458.768,0.005,0.208,0.013,456.044,454.898,1.145,2.326,0.097,0.043,0.036,1.057,52.992,400.687,0.000,0.000,0.000,0.000,1,532,0,0,0,0,51.70,71.41,0.00,4156.42,117,0
0,7,1785740766185,2.913853547e-05,0.595390,0,137,1,0,1,137,0,0,1.000000,522.203,0.004,0.306,0.014,519.149,517.930,1.217,2.518,0.103,0.065,0.049,0.999,51.233,465.531,0.000,0.000,0.000,0.000,1,548,0,0,0,0,51.72,71.42,0.00,4156.42,117,0
0,8,1785740767167,2.896787205e-05,0.597487,0,137,1,0,1,137,0,0,1.000000,981.826,0.003,0.263,0.013,978.681,977.512,1.169,2.677,0.105,0.047,0.039,0.974,53.896,922.487,0.000,0.000,0.000,0.000,1,548,0,0,0,0,51.72,71.42,0.00,4490.09,117,0
0,9,1785740767749,2.876240698e-05,0.597890,0,138,1,0,1,138,0,0,1.000000,582.195,0.002,0.228,0.013,578.832,577.636,1.195,2.934,0.103,0.049,0.036,1.026,54.079,522.312,0.000,0.000,0.000,0.000,1,552,0,0,0,0,54.73,74.44,0.00,4543.47,117,0
0,10,1785740768357,2.863925748e-05,0.598585,0,144,1,0,1,144,0,0,1.000000,607.916,0.004,0.276,0.013,604.557,603.361,1.194,2.878,0.098,0.058,0.037,1.028,53.812,548.366,0.000,0.000,0.000,0.000,1,576,0,0,0,0,54.73,74.44,0.00,4543.47,117,0
0,11,1785740768978,2.851530169e-05,0.598886,0,147,1,0,1,147,0,0,1.000000,621.000,0.004,0.268,0.013,618.162,617.004,1.157,2.362,0.109,0.049,0.037,1.076,55.331,560.384,0.000,0.000,0.000,0.000,1,588,0,0,0,0,55.08,74.78,0.00,4568.67,117,0
0,12,1785740769640,2.843367031e-05,0.598120,0,152,1,0,1,152,0,0,1.000000,662.082,0.003,0.325,0.014,657.962,655.919,2.042,3.563,0.105,0.044,0.069,1.233,54.849,599.666,0.000,0.000,0.000,0.000,1,608,0,0,0,0,56.94,76.64,0.00,4522.28,117,0
0,13,1785740770283,2.838611203e-05,0.598502,0,151,1,0,1,151,0,0,1.000000,643.344,0.002,0.212,0.014,640.281,639.088,1.191,2.649,0.104,0.044,0.040,1.058,54.445,583.412,0.000,0.000,0.000,0.000,1,604,0,0,0,0,56.94,76.64,0.00,4522.28,117,0
0,14,1785740770997,2.827101523e-05,0.598728,0,158,1,0,1,158,0,0,1.000000,713.917,0.003,0.310,0.014,710.993,709.878,1.114,2.413,0.101,0.051,0.035,1.336,54.893,653.387,0.000,0.000,0.000,0.000,1,632,0,0,0,0,58.77,78.47,0.00,4578.06,117,0
0,15,1785740771747,2.832314191e-05,0.598985,0,159,1,0,1,159,0,0,1.000000,749.899,0.002,0.209,0.014,747.065,745.920,1.144,2.432,0.104,0.034,0.040,1.032,55.856,688.872,0.000,0.000,0.000,0.000,1,636,0,0,0,0,59.80,79.50,0.00,4520.75,117,0
0,16,1785740773345,2.871134845e-05,0.598951,0,144,1,1,1,144,0,0,1.000000,724.709,0.000,0.460,0.079,720.508,719.306,1.201,3.343,0.165,0.110,0.045,1.342,54.742,662.985,0.000,0.000,0.000,0.000,1,576,0,0,0,0,63.03,82.75,0.00,4526.83,117,0
0,17,1785740774272,2.841665787e-05,0.600510,0,160,1,1,1,160,0,0,1.000000,927.166,0.002,0.468,0.081,923.712,922.533,1.178,2.404,0.436,0.026,0.040,1.057,58.158,863.079,0.000,0.000,0.000,0.000,1,640,0,0,0,0,63.03,82.75,4.05,4238.23,117,0
0,18,1785740775515,2.829079821e-05,0.600711,0,155,1,1,1,155,0,0,1.000000,1242.358,0.002,0.934,0.310,1238.565,1236.506,2.057,2.393,0.099,0.023,0.034,1.186,68.228,1166.661,0.000,0.000,0.000,0.000,1,620,0,0,0,0,63.03,82.75,7.14,4408.64,117,0
0,19,1785740776673,2.819945281e-05,0.601259,0,170,1,1,1,170,0,0,1.000000,1158.039,0.002,0.425,0.078,1154.064,1152.890,1.173,3.282,0.101,0.047,0.042,1.003,58.858,1092.847,0.000,0.000,0.000,0.000,1,680,0,0,0,0,63.03,82.75,7.14,4460.97,117,0
0,20,1785740777553,2.812727658e-05,0.601394,0,177,1,1,1,177,0,0,1.000000,879.798,0.002,0.442,0.085,876.699,875.483,1.214,2.371,0.100,0.047,0.055,1.098,54.676,819.525,0.000,0.000,0.000,0.000,1,708,0,0,0,0,64.58,82.75,7.06,4343.11,117,0
0,21,1785740778281,2.807421401e-05,0.601601,0,167,1,1,1,167,0,0,1.000000,728.817,0.002,0.423,0.078,725.726,724.557,1.168,2.380,0.099,0.056,0.053,1.052,56.159,667.148,0.000,0.000,0.000,0.000,1,668,0,0,0,0,64.64,82.75,7.06,4344.22,117,0
0,22,1785740779031,2.801989095e-05,0.601686,0,174,1,1,1,174,0,0,1.000000,749.834,0.002,0.407,0.079,746.772,745.582,1.190,2.386,0.097,0.051,0.041,1.044,57.790,686.540,0.000,0.000,0.000,0.000,1,696,0,0,0,0,64.64,82.75,7.06,4314.75,117,0
0,23,1785740779654,2.797534561e-05,0.601755,0,172,1,1,1,172,0,0,1.000000,622.372,0.002,0.372,0.077,619.424,618.265,1.158,2.330,0.096,0.041,0.033,1.007,54.455,562.646,0.000,0.000,0.000,0.000,1,688,0,0,0,0,64.64,82.75,7.06,4314.75,117,0
0,24,1785740780253,2.793423954e-05,0.601597,0,183,1,1,1,183,0,0,1.000000,599.743,0.002,0.386,0.077,596.772,595.623,1.148,2.337,0.107,0.031,0.034,1.078,51.402,542.988,0.000,0.000,0.000,0.000,1,732,0,0,0,0,65.56,82.75,7.05,4280.44,117,0
0,25,1785740781413,2.790087498e-05,0.601594,0,179,1,1,1,179,0,0,1.000000,1160.050,0.002,0.374,0.077,1157.046,1155.861,1.183,2.383,0.101,0.037,0.033,1.136,54.014,1100.485,0.000,0.000,0.000,0.000,1,716,0,0,0,0,67.89,82.75,5.59,4412.92,117,0
0,26,1785740782409,2.784198002e-05,0.601724,0,186,1,1,1,186,0,0,1.000000,995.426,0.002,0.422,0.079,992.042,990.205,1.836,2.707,0.099,0.043,0.034,0.994,69.617,919.420,0.000,0.000,0.000,0.000,1,744,0,0,0,0,67.89,82.75,5.59,4432.86,117,0
0,27,1785740783244,2.77828778e-05,0.601818,0,189,1,1,1,189,0,0,1.000000,835.363,0.001,0.393,0.081,832.318,831.121,1.196,2.381,0.101,0.053,0.036,1.056,64.842,765.065,0.000,0.000,0.000,0.000,1,756,0,0,0,0,67.89,82.75,5.59,4440.03,117,0
0,28,1785740784064,2.772866018e-05,0.601941,0,197,1,1,1,197,0,0,1.000000,819.332,0.002,0.451,0.079,816.099,814.907,1.190,2.489,0.109,0.068,0.038,1.047,53.227,760.472,0.000,0.000,0.000,0.000,1,788,0,0,0,0,67.89,82.75,5.59,4397.03,117,0
0,29,1785740784981,2.768292273e-05,0.602009,0,209,1,1,1,209,0,0,1.000000,917.090,0.002,0.471,0.079,914.010,912.839,1.170,2.355,0.099,0.047,0.030,1.127,54.013,857.537,0.000,0.000,0.000,0.000,1,836,0,0,0,0,67.89,82.75,5.59,4434.64,117,0
0,30,1785740785886,2.764811835e-05,0.602071,0,214,1,1,1,214,0,0,1.000000,904.997,0.002,0.418,0.084,901.816,900.556,1.259,2.459,0.104,0.066,0.050,1.037,54.807,844.547,0.000,0.000,0.000,0.000,1,856,0,0,0,0,67.89,82.75,5.59,4386.14,117,0
1,1,1785740821525,0.0002765094398,0.397878,0,184,1,0,1,184,0,0,1.000000,878.753,0.000,0.220,0.013,875.786,874.601,1.184,2.543,0.096,0.052,0.044,1.144,56.458,816.822,0.000,0.000,0.000,0.000,1,736,0,0,0,0,124.78,159.02,22.81,3751.86,117,0
1,2,1785740822200,0.0001110562632,0.421299,0,141,1,0,1,141,0,0,1.000000,675.592,0.002,0.220,0.013,672.163,671.007,1.155,2.994,0.099,0.052,0.052,1.034,56.403,612.505,0.000,0.000,0.000,0.000,1,564,0,0,0,0,124.78,159.02,22.81,3846.62,117,0
1,3,1785740822767,6.524628761e-05,0.429502,0,116,1,0,1,116,0,0,1.000000,566.360,0.001,0.281,0.014,563.023,561.562,1.460,2.850,0.102,0.046,0.044,1.198,55.688,504.508,0.000,0.000,0.000,0.000,1,464,0,0,0,0,124.78,159.02,22.27,3916.08,117,0
