rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785802339334,0.0001166524199,0.547878,0,184,1,0,1,184,0,0,1.000000,771.971,0.000,0.227,0.014,768.794,767.598,1.196,2.662,0.099,0.058,0.117,1.843,55.935,709.445,0.000,0.000,0.000,0.000,1,736,0,0,0,0,42.16,61.98,0.00,4191.61,110,0
0,2,1785802339984,5.523305127e-05,0.566316,0,157,1,0,1,157,0,0,1.000000,650.705,0.003,0.268,0.014,647.631,646.462,1.168,2.579,0.099,0.059,0.054,1.340,55.149,589.809,0.000,0.000,0.000,0.000,1,628,0,0,0,0,48.44,68.25,0.00,4198.88,110,0
0,3,1785802340490,3.167910338e-05,0.590479,0,122,1,0,1,122,0,0,1.000000,505.705,0.003,0.271,0.017,502.780,501.436,1.342,2.449,0.095,0.047,0.046,1.112,54.391,445.731,0.000,0.000,0.000,0.000,1,488,0,0,0,0,51.19,71.00,0.00,4208.09,110,0
0,4,1785802341005,3.049191929e-05,0.594986,0,124,1,0,1,124,0,0,1.000000,514.495,0.004,0.265,0.014,511.223,510.031,1.190,2.791,0.106,0.057,0.041,1.067,52.534,456.240,0.000,0.000,0.000,0.000,1,496,0,0,0,0,51.22,71.03,0.00,4191.42,110,0
0,5,1785802341536,3.071920508e-05,0.595717,0,128,1,0,1,128,0,0,1.000000,530.960,0.003,0.289,0.014,528.030,526.857,1.172,2.403,0.108,0.070,0.046,1.114,53.339,472.213,0.000,0.000,0.000,0.000,1,512,0,0,0,0,51.23,71.05,0.00,4187.19,110,0
0,6,1785802342067,2.980725242e-05,0.594249,0,133,1,0,1,133,0,0,1.000000,531.217,0.003,0.266,0.015,528.279,527.048,1.230,2.464,0.096,0.050,0.048,1.123,54.370,471.387,0.000,0.000,0.000,0.000,1,532,0,0,0,0,51.52,71.33,0.00,4186.20,110,0
0,7,1785802342493,2.913853547e-05,0.595390,0,137,1,0,1,137,0,0,1.000000,425.804,0.008,0.214,0.014,423.046,421.918,1.127,2.343,0.107,0.044,0.035,1.060,51.169,369.525,0.000,0.000,0.000,0.000,1,548,0,0,0,0,51.52,71.33,0.00,4235.36,110,0
0,8,1785802342945,2.896787205e-05,0.597487,0,137,1,0,1,137,0,0,1.000000,452.447,0.002,0.220,0.013,449.566,448.428,1.136,2.472,0.100,0.042,0.035,1.184,51.776,395.305,0.000,0.000,0.000,0.000,1,548,0,0,0,0,58.05,77.86,0.00,4216.48,110,0
0,9,1785802343373,2.876240698e-05,0.597890,0,138,1,0,1,138,0,0,1.000000,428.114,0.002,0.206,0.014,425.419,424.242,1.176,2.325,0.095,0.018,0.038,1.024,50.901,372.142,0.000,0.000,0.000,0.000,1,552,0,0,0,0,59.58,79.39,0.00,4159.86,110,0
0,10,1785802343968,2.863925748e-05,0.598585,0,144,1,0,1,144,0,0,1.000000,594.328,0.002,0.213,0.013,591.411,590.197,1.212,2.488,0.100,0.062,0.042,0.968,50.926,538.142,0.000,0.000,0.000,0.000,1,576,0,0,0,0,59.58,79.39,0.00,4169.28,110,0
0,11,1785802344571,2.851530169e-05,0.598886,0,147,1,0,1,147,0,0,1.000000,603.549,0.004,0.312,0.035,600.116,598.896,1.217,2.857,0.099,0.050,0.078,1.114,52.418,545.181,0.000,0.000,0.000,0.000,1,588,0,0,0,0,59.59,79.41,0.00,4198.27,110,0
0,12,1785802345211,2.843367031e-05,0.598120,0,152,1,0,1,152,0,0,1.000000,639.943,0.003,0.258,0.015,636.964,635.823,1.140,2.504,0.110,0.050,0.042,1.014,52.285,582.369,0.000,0.000,0.000,0.000,1,608,0,0,0,0,59.63,79.44,0.00,4160.06,110,0
0,13,1785802345848,2.838611203e-05,0.598502,0,151,1,0,1,151,0,0,1.000000,636.941,0.004,0.230,0.014,633.981,632.825,1.155,2.518,0.111,0.046,0.041,1.058,52.835,578.772,0.000,0.000,0.000,0.000,1,604,0,0,0,0,59.63,79.44,0.00,4160.36,110,0
0,14,1785802346503,2.827101523e-05,0.598728,0,158,1,0,1,158,0,0,1.000000,655.243,0.006,0.221,0.013,652.129,650.912,1.216,2.696,0.100,0.046,0.038,1.013,51.918,597.817,0.000,0.000,0.000,0.000,1,632,0,0,0,0,59.63,79.44,0.00,4170.62,110,0
0,15,1785802347194,2.832314191e-05,0.598985,0,159,1,0,1,159,0,0,1.000000,690.835,0.002,0.244,0.014,687.978,686.796,1.181,2.406,0.096,0.051,0.046,1.037,51.905,633.664,0.000,0.000,0.000,0.000,1,636,0,0,0,0,59.63,79.44,0.00,4159.22,110,0
0,16,1785802348646,2.871134845e-05,0.598951,0,144,1,1,1,144,0,0,1.000000,616.216,0.000,0.404,0.079,613.159,611.977,1.181,2.390,0.099,0.047,0.039,1.255,56.329,554.223,0.000,0.000,0.000,0.000,1,576,0,0,0,0,65.25,85.06,0.00,4147.64,110,0
0,17,1785802349309,2.841665787e-05,0.600510,0,160,1,1,1,160,0,0,1.000000,663.598,0.003,0.396,0.079,660.626,659.476,1.149,2.313,0.095,0.039,0.050,1.049,52.009,606.262,0.000,0.000,0.000,0.000,1,640,0,0,0,0,65.25,85.06,0.00,4077.25,110,0
0,18,1785802349998,2.829079821e-05,0.600711,0,155,1,1,1,155,0,0,1.000000,688.444,0.002,0.377,0.084,685.490,684.332,1.157,2.293,0.095,0.062,0.042,1.051,51.879,631.218,0.000,0.000,0.000,0.000,1,620,0,0,0,0,65.25,85.06,0.00,4089.91,110,0
0,19,1785802350691,2.819945281e-05,0.601259,0,170,1,1,1,170,0,0,1.000000,693.270,0.002,0.440,0.077,690.129,688.944,1.183,2.417,0.103,0.050,0.055,1.019,51.150,636.601,0.000,0.000,0.000,0.000,1,680,0,0,0,0,65.25,85.06,0.00,4124.67,110,0
0,20,1785802351415,2.812727658e-05,0.601394,0,177,1,1,1,177,0,0,1.000000,723.938,0.002,0.436,0.081,720.850,719.683,1.166,2.382,0.099,0.049,0.041,0.992,51.891,666.640,0.000,0.000,0.000,0.000,1,708,0,0,0,0,65.25,85.06,0.00,4067.89,110,0
0,21,1785802352101,2.807421401e-05,0.601601,0,167,1,1,1,167,0,0,1.000000,685.428,0.002,0.502,0.080,682.077,680.866,1.209,2.569,0.106,0.051,0.045,1.075,52.549,627.086,0.000,0.000,0.000,0.000,1,668,0,0,0,0,65.33,85.14,0.00,4065.75,110,0
0,22,1785802352833,2.801989095e-05,0.601686,0,174,1,1,1,174,0,0,1.000000,731.894,0.003,0.427,0.077,728.781,727.612,1.168,2.428,0.098,0.044,0.039,1.109,51.644,674.681,0.000,0.000,0.000,0.000,1,696,0,0,0,0,65.33,85.14,0.00,4095.80,110,0
