rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785802422363,0.0001166524199,0.547878,0,184,1,0,1,184,0,0,1.000000,550.279,0.000,0.242,0.014,547.210,546.039,1.171,2.623,0.096,0.060,0.034,1.600,54.444,489.809,0.000,0.000,0.000,0.000,1,736,0,0,0,0,42.63,62.47,0.00,3929.38,110,0
0,2,1785802422908,5.523305127e-05,0.566316,0,157,1,0,1,157,0,0,1.000000,544.963,0.002,0.208,0.013,542.113,540.784,1.326,2.439,0.097,0.044,0.049,1.462,51.469,487.421,0.000,0.000,0.000,0.000,1,628,0,0,0,0,52.48,72.31,0.00,3915.05,110,0
0,3,1785802423418,3.167910338e-05,0.590479,0,122,1,0,1,122,0,0,1.000000,510.562,0.003,0.210,0.017,507.565,506.362,1.201,2.570,0.095,0.055,0.051,0.986,53.605,451.564,0.000,0.000,0.000,0.000,1,488,0,0,0,0,55.41,75.23,0.00,3913.41,110,0
0,4,1785802423936,3.049191929e-05,0.594986,0,124,1,0,1,124,0,0,1.000000,517.466,0.003,0.207,0.015,514.613,513.446,1.167,2.448,0.095,0.046,0.042,0.993,53.888,458.399,0.000,0.000,0.000,0.000,1,496,0,0,0,0,55.45,75.28,0.00,3912.98,110,0
0,5,1785802424484,3.071920508e-05,0.595717,0,128,1,0,1,128,0,0,1.000000,548.133,0.003,0.207,0.013,545.303,544.126,1.176,2.421,0.095,0.048,0.045,1.812,53.699,488.442,0.000,0.000,0.000,0.000,1,512,0,0,0,0,55.47,75.30,0.00,3912.12,110,0
0,6,1785802425060,2.980725242e-05,0.594249,0,133,1,0,1,133,0,0,1.000000,576.202,0.005,0.252,0.013,573.205,572.014,1.190,2.533,0.104,0.046,0.050,1.068,55.706,515.050,0.000,0.000,0.000,0.000,1,532,0,0,0,0,55.47,75.30,0.00,3911.31,110,0
0,7,1785802425653,2.913853547e-05,0.595390,0,137,1,0,1,137,0,0,1.000000,593.151,0.003,0.371,0.014,590.072,588.869,1.201,2.463,0.136,0.054,0.042,1.114,52.940,534.638,0.000,0.000,0.000,0.000,1,548,0,0,0,0,55.47,75.30,0.00,3908.69,110,0
0,8,1785802426224,2.896787205e-05,0.597487,0,137,1,0,1,137,0,0,1.000000,570.303,0.004,0.270,0.014,567.411,566.147,1.262,2.414,0.101,0.045,0.048,1.187,52.341,512.446,0.000,0.000,0.000,0.000,1,548,0,0,0,0,55.50,75.33,0.00,3908.52,110,0
0,9,1785802426822,2.876240698e-05,0.597890,0,138,1,0,1,138,0,0,1.000000,597.823,0.003,0.411,0.014,590.806,589.636,1.168,6.385,0.102,0.046,0.058,1.073,53.947,534.442,0.000,0.000,0.000,0.000,1,552,0,0,0,0,56.69,76.52,0.00,3915.77,110,0
0,10,1785802427444,2.863925748e-05,0.598585,0,144,1,0,1,144,0,0,1.000000,622.781,0.003,0.263,0.014,619.897,618.736,1.160,2.407,0.099,0.052,0.050,1.057,54.233,563.257,0.000,0.000,0.000,0.000,1,576,0,0,0,0,56.70,76.53,0.00,3911.77,110,0
