rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785740542624,0.0001166524199,0.547878,0,184,1,0,1,184,0,0,1.000000,1031.677,0.000,0.288,0.017,1027.373,1026.158,1.214,3.764,0.105,0.067,0.063,1.773,58.119,965.969,0.000,0.000,0.000,0.000,1,736,0,0,0,0,44.88,64.62,0.00,4499.67,410,0
0,2,1785740543187,5.523305127e-05,0.566316,0,157,1,0,1,157,0,0,1.000000,563.043,0.028,0.254,0.014,560.280,559.139,1.141,2.323,0.097,0.040,0.036,1.448,55.543,501.967,0.000,0.000,0.000,0.000,1,628,0,0,0,0,48.80,68.56,0.00,4475.94,410,0
0,3,1785740543588,3.167910338e-05,0.590479,0,122,1,0,1,122,0,0,1.000000,400.726,0.002,0.248,0.014,397.641,396.495,1.145,2.633,0.103,0.052,0.036,1.235,52.477,342.534,0.000,0.000,0.000,0.000,1,488,0,0,0,0,48.92,68.69,0.00,4481.66,410,0
0,4,1785740544028,3.049191929e-05,0.594986,0,124,1,0,1,124,0,0,1.000000,439.917,0.002,0.260,0.017,436.936,435.768,1.168,2.520,0.102,0.042,0.040,1.007,53.576,380.994,0.000,0.000,0.000,0.000,1,496,0,0,0,0,49.00,68.77,0.00,4463.89,410,0
0,5,1785740544599,3.071920508e-05,0.595717,0,128,1,0,1,128,0,0,1.000000,571.200,0.003,0.261,0.014,568.089,566.613,1.474,2.613,0.130,0.046,0.048,1.427,55.164,509.770,0.000,0.000,0.000,0.000,1,512,0,0,0,0,52.42,72.19,0.00,4478.52,410,0
0,6,1785740545191,2.980725242e-05,0.594249,0,133,1,0,1,133,0,0,1.000000,591.716,0.002,0.230,0.014,588.632,587.436,1.193,2.640,0.098,0.052,0.049,1.087,56.542,529.627,0.000,0.000,0.000,0.000,1,532,0,0,0,0,52.77,72.53,0.00,4391.62,410,0
0,7,1785740545848,2.913853547e-05,0.595390,0,137,1,0,1,137,0,0,1.000000,657.113,0.003,0.242,0.014,653.646,652.476,1.169,2.981,0.113,0.066,0.052,1.221,57.808,593.260,0.000,0.000,0.000,0.000,1,548,0,0,0,0,52.77,72.53,0.00,4445.67,410,0
0,8,1785740546458,2.896787205e-05,0.597487,0,137,1,0,1,137,0,0,1.000000,609.756,0.002,0.264,0.063,606.795,605.273,1.519,2.437,0.102,0.048,0.049,1.345,59.724,544.039,0.000,0.000,0.000,0.000,1,548,0,0,0,0,58.27,78.03,0.00,4448.02,410,0
0,9,1785740547055,2.876240698e-05,0.597890,0,138,1,0,1,138,0,0,1.000000,596.727,0.002,0.247,0.013,593.610,592.504,1.106,2.687,0.096,0.043,0.032,0.993,55.691,535.659,0.000,0.000,0.000,0.000,1,552,0,0,0,0,58.27,78.03,0.00,4458.31,410,0
0,10,1785740547696,2.863925748e-05,0.598585,0,144,1,0,1,144,0,0,1.000000,641.581,0.001,0.207,0.013,637.974,636.810,1.164,3.189,0.098,0.063,0.037,1.390,56.532,578.727,0.000,0.000,0.000,0.000,1,576,0,0,0,0,58.27,78.03,0.00,4425.11,410,0
