rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785739666951,0.004191250104,0.634857,0,880,0,0,1,300,0,0,1.000000,81091.262,0.000,397.849,0.192,80377.937,80363.219,14.702,313.290,1.357,0.075,0.563,38.877,665.454,7082.838,4993.756,64690.188,2689.922,196.335,1,3759,1674,3,500,0,1323.49,1885.86,109.06,3851.75,993,0
0,2,1785739687770,0.003384297837,0.643460,0,1545,0,0,1,300,0,16,1.000000,20737.253,80.764,107.968,0.150,20371.424,20356.781,14.631,254.844,1.005,0.064,1.798,29.184,618.652,7149.127,8788.948,1.755,0.000,3766.876,1,2766,1674,5,1545,4608,1419.35,1885.86,284.83,3312.67,994,0
0,3,1785739704237,0.002755602405,0.655394,0,973,0,0,1,300,0,16,1.000000,16386.826,80.524,108.699,0.212,16147.564,16131.333,16.217,129.007,1.030,0.040,0.274,23.909,609.265,7247.116,5555.512,1.803,0.000,2691.280,1,2194,1674,5,973,4608,1422.94,1885.86,311.92,3515.69,994,0
0,4,1785739713679,0.002553072449,0.667623,0,1069,0,0,0,0,0,16,1.000000,9360.973,80.969,107.389,0.168,9016.500,9001.882,14.611,233.708,0.995,0.049,2.163,13.746,0.000,0.000,6090.962,1.858,0.000,2893.334,1,1087,1674,5,1069,4608,1422.94,1885.86,304.83,3278.09,994,0
0,5,1785739722362,0.002482157434,0.676512,0,982,0,0,0,0,0,16,1.000000,8596.088,86.330,116.473,0.154,8332.707,8318.714,13.986,145.150,1.299,0.043,0.263,21.510,0.000,0.000,5581.760,1.708,0.000,2710.923,1,1000,1674,5,982,4608,1422.94,1885.86,306.78,3327.00,994,0
0,6,1785739728972,0.002456037525,0.678838,0,706,0,0,0,0,0,16,1.000000,6527.699,82.455,110.259,0.163,6284.918,6269.346,15.570,131.013,1.048,0.041,0.257,12.934,0.000,0.000,4056.896,1.849,0.000,2195.773,1,724,1674,5,706,4608,1422.94,1885.86,361.67,3142.55,994,0
0,7,1785739735965,0.002447406905,0.679304,0,742,0,0,0,0,0,16,1.000000,6910.074,82.986,109.137,0.152,6568.057,6553.902,14.150,229.894,1.023,0.040,1.771,13.004,0.000,0.000,4301.309,1.744,0.000,2236.105,1,760,1674,5,742,4608,1422.94,1885.86,340.08,3170.56,994,0
0,8,1785739744007,0.002443640673,0.679361,0,884,0,0,0,0,0,16,1.000000,7961.673,80.576,111.081,0.156,7701.219,7687.004,14.204,147.440,1.469,0.053,0.254,11.739,0.000,0.000,5140.268,1.725,0.000,2530.562,1,902,1674,5,884,4608,1165.13,1885.86,137.81,3102.89,994,0
0,9,1785739753741,0.002440779836,0.679472,0,1129,0,0,0,0,0,16,1.000000,9647.949,85.202,112.112,0.156,9405.920,9391.878,14.037,128.466,1.008,0.038,0.249,13.058,0.000,0.000,6404.653,1.717,0.000,2970.477,1,1147,1674,5,1129,4608,1172.60,1885.86,136.45,3328.50,994,0
0,10,1785739763641,0.002438334614,0.679565,0,1124,0,0,0,0,0,16,1.000000,9818.581,81.796,110.144,0.156,9438.434,9423.893,14.536,266.850,1.021,0.040,1.935,12.273,0.000,0.000,6440.847,1.681,0.000,2966.264,1,1142,1674,5,1124,4608,1196.10,1885.86,159.66,3305.78,994,0
0,11,1785739774011,0.002436350309,0.679657,0,1108,0,0,0,0,0,16,1.000000,10289.213,80.715,109.958,0.154,9745.486,9728.588,16.878,427.275,1.310,0.058,4.972,15.978,0.000,0.000,6650.584,1.766,0.000,3057.900,1,1126,1674,5,1108,4608,1151.50,1885.86,175.47,2908.38,994,0
0,12,1785739783754,0.002434780585,0.679738,0,1115,0,0,0,0,0,16,1.000000,9661.772,81.220,110.762,0.156,9360.397,9345.947,14.441,187.460,1.039,0.044,1.914,34.297,0.000,0.000,6358.425,2.067,0.000,2949.197,1,1133,1674,5,1115,4608,1174.86,1885.86,151.25,2887.94,994,0
0,13,1785739792625,0.002433596117,0.679816,0,979,0,0,0,0,0,16,1.000000,8790.337,80.763,124.029,0.165,8423.953,8407.508,16.437,239.925,1.348,0.054,0.862,14.849,0.000,0.000,5670.212,1.737,0.000,2715.886,1,997,1674,5,979,4608,1175.56,1885.86,154.17,2725.59,994,0
0,14,1785739801705,0.002432744804,0.679876,0,964,0,0,0,0,0,16,1.000000,8995.402,83.611,112.464,0.159,8508.515,8490.316,18.184,370.905,1.312,0.269,1.778,18.486,0.000,0.000,5717.403,1.741,0.000,2744.048,1,982,1674,5,964,4608,1182.77,1885.86,172.98,2764.06,994,0
0,15,1785739809162,0.002432169751,0.679907,0,816,0,0,0,0,0,16,1.000000,7373.228,83.717,109.389,0.150,7134.978,7121.184,13.789,126.592,1.050,0.821,0.248,20.161,0.000,0.000,4713.244,1.801,0.000,2384.295,1,834,1674,5,816,4608,1182.77,1885.86,134.75,2882.28,994,0
