rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785745762531,0.004191250104,0.634857,0,880,0,0,1,300,0,0,1.000000,200566.316,0.000,719.886,0.251,197656.399,197637.144,19.220,2185.372,2.331,0.478,1.600,43.355,919.598,31172.855,16783.862,144544.396,3621.023,539.659,1,3759,1674,3,500,0,1207.63,1842.95,139.64,4971.22,117,888799232
0,2,1785745834714,0.003384297837,0.643460,0,1545,0,0,1,300,0,16,1.000000,71893.737,288.377,201.376,0.171,71336.373,71318.736,17.612,352.118,1.408,0.233,2.058,80.601,1675.004,24278.883,36007.114,1.822,0.000,9270.815,1,2766,1674,5,1545,4608,1337.89,1842.95,326.39,4032.19,118,946995200
0,3,1785745884295,0.002755602405,0.655394,0,973,0,0,1,300,0,16,1.000000,49471.180,110.123,364.457,0.173,48960.637,48941.495,19.138,144.414,1.084,0.037,0.378,44.468,975.944,25387.260,17366.364,2.197,0.000,5162.283,1,2194,1674,5,973,4608,1339.72,1842.95,168.92,5536.91,118,965230592
0,4,1785745918153,0.002553072449,0.667623,0,1069,0,0,0,0,0,16,1.000000,33735.363,120.808,121.319,0.163,32885.271,32866.657,18.595,721.708,1.348,0.071,5.482,28.695,0.000,0.000,24907.099,1.793,0.000,7921.849,1,1087,1674,5,1069,4608,1339.72,1842.95,328.47,4755.64,118,968818688
0,5,1785745939984,0.002482157434,0.676512,0,982,0,0,0,0,0,16,1.000000,21745.373,86.225,127.034,0.163,21386.283,21368.512,17.759,229.871,1.089,0.047,0.885,29.698,0.000,0.000,16207.127,2.003,0.000,5127.640,1,1000,1674,5,982,4608,1339.72,1842.95,266.44,5129.73,118,969998336
0,6,1785745954883,0.002456037525,0.678838,0,706,0,0,0,0,0,16,1.000000,14793.494,103.793,134.740,0.163,14486.577,14470.042,16.531,170.284,1.273,0.060,0.397,21.048,0.000,0.000,10552.668,1.797,0.000,3892.221,1,724,1674,5,706,4608,1339.72,1842.95,257.77,5435.27,118,972259328
0,7,1785745971089,0.002447406905,0.679304,0,742,0,0,0,0,0,16,1.000000,16106.601,99.821,149.047,0.196,15809.953,15793.895,16.053,145.901,1.146,0.048,0.310,23.095,0.000,0.000,11924.186,1.799,0.000,3842.717,1,760,1674,5,742,4608,1339.72,1842.95,256.91,5377.83,118,973045760
0,8,1785745981976,0.002443640673,0.679361,0,884,0,0,0,0,0,16,1.000000,10794.265,92.347,120.803,0.219,10524.448,10509.774,14.670,147.155,1.158,0.062,0.420,13.539,0.000,0.000,7616.790,2.736,0.000,2874.470,1,902,1674,5,884,4608,1340.08,1842.95,255.06,5125.97,118,973127680
0,9,1785745995832,0.002440779836,0.679472,0,1129,0,0,0,0,0,16,1.000000,13764.387,90.515,117.885,0.159,13502.429,13488.111,14.316,142.374,1.175,0.049,0.315,22.116,0.000,0.000,9965.507,1.795,0.000,3496.890,1,1147,1674,5,1129,4608,1340.08,1842.95,252.92,5251.72,118,977059840
0,10,1785746007844,0.002438334614,0.679565,0,1124,0,0,0,0,0,16,1.000000,11924.094,88.104,117.756,0.173,11665.731,11651.063,14.666,139.025,1.075,0.046,0.288,15.698,0.000,0.000,8369.536,1.899,0.000,3261.932,1,1142,1674,5,1124,4608,1340.08,1842.95,251.09,5260.75,118,978223104
0,11,1785746019740,0.002436350309,0.679657,0,1108,0,0,0,0,0,16,1.000000,11802.131,92.128,120.241,0.171,11538.003,11522.924,15.076,142.141,1.192,0.044,0.340,12.903,0.000,0.000,8387.798,1.831,0.000,3118.348,1,1126,1674,5,1108,4608,1340.85,1842.95,251.02,5272.11,118,978223104
0,12,1785746031742,0.002434780585,0.679738,0,1115,0,0,0,0,0,16,1.000000,11910.118,91.847,123.162,0.171,11633.661,11618.289,15.369,151.600,1.155,0.045,0.323,14.836,0.000,0.000,8481.309,1.880,0.000,3118.177,1,1133,1674,5,1115,4608,1340.85,1842.95,250.03,5258.48,118,978337792
0,13,1785746042589,0.002433596117,0.679816,0,979,0,0,0,0,0,16,1.000000,10753.590,93.726,122.555,0.164,10474.875,10459.029,15.841,154.296,1.199,0.048,0.453,13.729,0.000,0.000,7567.659,1.919,0.000,2873.548,1,997,1674,5,979,4608,1340.86,1842.95,249.30,5215.50,118,978354176
