rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785715298631,0.0042011018,0.633478,0,881,0,0,1,300,0,0,1.000000,91439.333,0.000,2.289,0.163,91383.238,91358.847,24.381,50.200,1.411,1.037,0.996,17.537,625.647,6943.666,11219.057,68413.115,3874.832,261.357,1,3760,1674,3,500,0,572.78,450.31,229.30,4575.45,116,0
0,2,1785715331229,0.003363267927,0.642622,0,1095,0,0,1,300,0,16,1.000000,32597.721,0.033,3.084,0.166,32550.261,32536.662,13.594,41.953,1.496,0.377,0.385,50.626,839.194,20907.271,7123.985,1.761,0.000,3612.183,1,2316,1674,5,1095,4610,646.16,538.86,141.83,4775.50,116,0
0,3,1785715351353,0.00271717069,0.652093,0,939,0,0,1,300,0,16,1.000000,20124.262,0.018,2.606,0.169,20053.278,20037.438,15.831,64.471,1.428,0.083,2.227,12.932,628.239,9030.111,6850.196,1.865,0.000,3511.183,1,2160,1674,5,939,4610,681.42,575.36,401.61,4083.67,116,0
0,4,1785715361572,0.002522719838,0.663893,0,999,0,0,0,0,0,16,1.000000,10218.338,0.003,3.584,0.172,10131.266,10096.945,34.318,76.810,1.371,0.064,5.070,129.906,0.000,0.000,6632.382,2.250,0.000,3312.357,1,1017,1674,5,999,4610,681.42,575.36,370.44,4017.62,116,0
0,5,1785715369830,0.002454032329,0.675471,0,850,0,0,0,0,0,16,1.000000,8257.865,0.002,2.313,0.161,8230.520,8218.470,12.050,23.248,1.055,0.055,0.513,16.763,0.000,0.000,5345.928,1.741,0.000,2852.703,1,868,1674,5,850,4610,681.42,575.36,344.62,4024.53,116,0
0,6,1785715377167,0.002427871812,0.678148,0,745,0,0,0,0,0,16,1.000000,7337.674,0.002,2.015,0.166,7308.033,7295.498,12.533,26.013,1.087,0.048,0.312,11.626,0.000,0.000,4665.651,1.745,0.000,2615.048,1,763,1674,5,745,4610,681.42,575.36,343.11,4915.17,116,0
0,7,1785715385212,0.002418675285,0.678763,0,866,0,0,0,0,0,16,1.000000,8044.706,0.003,2.083,0.171,8012.062,7998.955,13.103,28.354,1.047,0.057,0.933,11.799,0.000,0.000,5122.944,1.993,0.000,2859.646,1,884,1674,5,866,4610,681.42,575.36,343.03,4261.39,116,0
0,8,1785715392450,0.002414043521,0.679086,0,807,0,0,0,0,0,16,1.000000,7237.782,0.002,2.009,0.159,7213.753,7201.992,11.761,20.513,1.060,0.053,0.235,13.243,0.000,0.000,4597.813,1.791,0.000,2587.892,1,825,1674,5,807,4610,681.42,575.36,342.88,4294.72,116,0
0,9,1785715399548,0.002410994922,0.679209,0,733,0,0,0,0,0,16,1.000000,7097.725,0.003,2.005,0.161,7067.873,7055.734,12.137,26.280,1.095,0.049,0.263,10.170,0.000,0.000,4506.379,1.742,0.000,2536.090,1,751,1674,5,733,4610,681.42,575.36,342.84,4371.19,116,0
0,10,1785715405848,0.002408679538,0.679343,0,667,0,0,0,0,0,16,1.000000,6299.843,0.002,2.050,0.157,6267.550,6254.716,12.832,28.720,1.059,0.051,0.256,12.777,0.000,0.000,3875.389,1.864,0.000,2363.287,1,685,1674,5,667,4610,681.42,575.36,329.84,4384.11,116,0
