rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785733543728,8.251459611e-05,0.547609,0,165,1,0,1,165,0,0,1.000000,902.761,0.000,0.310,0.014,899.638,896.655,2.981,2.586,0.107,0.048,0.056,2.093,78.059,816.121,0.000,0.000,0.000,0.000,1,660,0,0,0,0,45.33,65.12,0.00,5022.52,108,0
0,2,1785733544506,4.629495203e-05,0.559120,0,140,1,0,1,140,0,0,1.000000,774.770,3.203,0.210,0.013,772.021,769.134,2.886,2.346,0.099,0.044,0.036,1.868,74.389,692.427,0.000,0.000,0.000,0.000,1,560,0,0,0,0,57.84,77.66,0.00,5009.86,108,0
0,3,1785733545201,2.860066929e-05,0.586901,0,126,1,0,1,126,0,0,1.000000,691.439,3.257,0.257,0.014,687.887,684.990,2.895,3.079,0.106,0.053,0.043,1.282,72.830,610.655,0.000,0.000,0.000,0.000,1,504,0,0,0,0,58.17,77.98,0.00,4966.55,108,0
0,4,1785733545859,3.093227806e-05,0.595338,0,118,1,0,1,118,0,0,1.000000,654.671,3.458,0.219,0.013,651.850,649.031,2.818,2.413,0.097,0.036,0.043,1.362,72.693,574.691,0.000,0.000,0.000,0.000,1,472,0,0,0,0,58.28,78.09,0.00,4950.58,108,0
0,5,1785733546545,2.737100959e-05,0.594952,0,124,1,0,1,124,0,0,1.000000,682.474,3.236,0.212,0.013,679.775,676.825,2.947,2.300,0.101,0.037,0.035,1.307,72.074,603.237,0.000,0.000,0.000,0.000,1,496,0,0,0,0,59.31,79.12,0.00,5038.39,108,0
0,6,1785733547213,3.011467671e-05,0.590005,0,122,1,0,1,122,0,0,1.000000,664.254,3.470,0.211,0.013,661.532,658.513,3.017,2.317,0.099,0.047,0.034,1.232,72.889,584.190,0.000,0.000,0.000,0.000,1,488,0,0,0,0,59.31,79.12,0.00,5006.30,108,0
0,7,1785733547942,2.730098469e-05,0.596660,0,131,1,0,1,131,0,0,1.000000,725.807,3.254,0.212,0.013,722.912,719.988,2.920,2.483,0.101,0.043,0.043,1.261,73.058,645.442,0.000,0.000,0.000,0.000,1,524,0,0,0,0,59.33,79.14,0.00,5078.12,108,0
0,8,1785733548614,2.711445284e-05,0.597808,0,124,1,0,1,124,0,0,1.000000,669.134,3.264,0.227,0.013,666.331,663.495,2.834,2.393,0.094,0.040,0.036,1.251,72.706,589.338,0.000,0.000,0.000,0.000,1,496,0,0,0,0,59.34,79.16,0.00,5118.17,108,0
0,9,1785733549309,2.7052032e-05,0.597100,0,128,1,0,1,128,0,0,1.000000,691.233,3.534,0.274,0.013,688.289,685.439,2.849,2.486,0.099,0.036,0.037,1.267,72.152,611.824,0.000,0.000,0.000,0.000,1,512,0,0,0,0,61.86,81.67,0.00,5079.95,108,0
0,10,1785733550002,2.703838391e-05,0.598166,0,125,1,0,1,125,0,0,1.000000,689.864,3.391,0.241,0.015,687.017,684.135,2.881,2.423,0.097,0.036,0.035,1.303,72.488,610.127,0.000,0.000,0.000,0.000,1,500,0,0,0,0,61.88,81.69,0.00,5073.80,108,0
