rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785732816978,0.0001166524199,0.547878,0,184,1,0,1,184,0,0,1.000000,588.776,0.000,0.304,0.025,585.551,584.396,1.154,2.694,0.093,0.048,0.062,1.753,58.770,523.575,0.000,0.000,0.000,0.000,1,736,0,0,0,0,46.42,66.19,0.00,4093.53,405,0
0,2,1785732817448,5.523305127e-05,0.566316,0,157,1,0,1,157,0,0,1.000000,470.028,0.015,0.211,0.013,467.057,465.920,1.136,2.508,0.178,0.030,0.032,1.471,51.434,412.775,0.000,0.000,0.000,0.000,1,628,0,0,0,0,58.78,78.56,0.00,4031.92,405,0
0,3,1785732817839,3.167910338e-05,0.590479,0,122,1,0,1,122,0,0,1.000000,390.393,0.002,0.561,0.013,387.143,385.999,1.144,2.461,0.138,0.038,0.038,0.996,49.777,335.056,0.000,0.000,0.000,0.000,1,488,0,0,0,0,59.78,79.56,0.00,4039.42,405,0
0,4,1785732818235,3.049191929e-05,0.594986,0,124,1,0,1,124,0,0,1.000000,396.463,0.002,0.205,0.041,393.760,392.594,1.165,2.297,0.092,0.033,0.035,1.181,53.684,337.506,0.000,0.000,0.000,0.000,1,496,0,0,0,0,59.92,79.70,0.00,4052.78,405,0
0,5,1785732818625,3.071920508e-05,0.595717,0,128,1,0,1,128,0,0,1.000000,389.504,0.002,0.202,0.020,386.832,385.710,1.121,2.277,0.096,0.035,0.042,0.984,49.637,334.925,0.000,0.000,0.000,0.000,1,512,0,0,0,0,59.92,79.70,0.00,4059.72,405,0
0,6,1785732819032,2.980725242e-05,0.594249,0,133,1,0,1,133,0,0,1.000000,406.909,0.001,0.214,0.013,404.140,403.043,1.096,2.368,0.096,0.039,0.039,0.946,49.628,352.306,0.000,0.000,0.000,0.000,1,532,0,0,0,0,60.50,80.28,0.00,4065.58,405,0
0,7,1785732819448,2.913853547e-05,0.595390,0,137,1,0,1,137,0,0,1.000000,416.027,0.002,0.215,0.014,413.222,412.137,1.084,2.400,0.097,0.039,0.040,1.008,50.151,360.814,0.000,0.000,0.000,0.000,1,548,0,0,0,0,60.58,80.36,0.00,4050.17,405,0
0,8,1785732819859,2.896787205e-05,0.597487,0,137,1,0,1,137,0,0,1.000000,411.585,0.001,0.202,0.013,408.983,407.896,1.087,2.221,0.099,0.036,0.031,1.022,49.139,357.579,0.000,0.000,0.000,0.000,1,548,0,0,0,0,60.61,80.39,0.00,4047.77,405,0
0,9,1785732820277,2.876240698e-05,0.597890,0,138,1,0,1,138,0,0,1.000000,417.793,0.001,0.197,0.013,415.082,414.005,1.077,2.334,0.092,0.041,0.033,0.950,49.400,363.493,0.000,0.000,0.000,0.000,1,552,0,0,0,0,60.61,80.39,0.00,4057.59,405,0
0,10,1785732820713,2.863925748e-05,0.598585,0,144,1,0,1,144,0,0,1.000000,435.824,0.001,0.208,0.013,433.163,432.089,1.074,2.258,0.097,0.044,0.039,1.007,49.936,380.992,0.000,0.000,0.000,0.000,1,576,0,0,0,0,60.97,80.75,0.00,4085.42,405,0
0,11,1785732821180,2.851530169e-05,0.598886,0,147,1,0,1,147,0,0,1.000000,466.916,0.001,0.232,0.013,464.070,462.924,1.146,2.434,0.101,0.030,0.035,0.995,50.050,411.721,0.000,0.000,0.000,0.000,1,588,0,0,0,0,60.97,80.75,0.00,4006.64,405,0
0,12,1785732821639,2.843367031e-05,0.598120,0,152,1,0,1,152,0,0,1.000000,458.973,0.002,0.224,0.017,456.137,455.061,1.075,2.423,0.099,0.041,0.033,1.034,50.485,403.359,0.000,0.000,0.000,0.000,1,608,0,0,0,0,60.97,80.75,0.00,4010.86,405,0
0,13,1785732822090,2.838611203e-05,0.598502,0,151,1,0,1,151,0,0,1.000000,450.476,0.001,0.235,0.013,447.691,446.612,1.075,2.376,0.097,0.033,0.032,1.003,49.113,396.331,0.000,0.000,0.000,0.000,1,604,0,0,0,0,60.97,80.75,0.00,4004.52,405,0
0,14,1785732822576,2.827101523e-05,0.598728,0,158,1,0,1,158,0,0,1.000000,486.146,0.002,0.211,0.013,483.154,482.070,1.084,2.280,0.092,0.358,0.038,0.965,49.526,431.416,0.000,0.000,0.000,0.000,1,632,0,0,0,0,60.97,80.75,0.00,4044.09,405,0
0,15,1785732823048,2.832314191e-05,0.598985,0,159,1,0,1,159,0,0,1.000000,472.386,0.003,0.247,0.013,469.451,468.362,1.089,2.454,0.099,0.087,0.035,1.026,49.685,417.491,0.000,0.000,0.000,0.000,1,636,0,0,0,0,60.97,80.75,0.00,4034.36,405,0
0,16,1785732823540,2.814267412e-05,0.599230,0,163,1,0,1,163,0,0,1.000000,491.956,0.002,0.217,0.017,489.150,488.076,1.074,2.407,0.094,0.038,0.033,1.004,49.921,436.994,0.000,0.000,0.000,0.000,1,652,0,0,0,0,60.97,80.75,0.00,4002.84,405,0
0,17,1785732824013,2.820367371e-05,0.599197,0,160,1,0,1,160,0,0,1.000000,473.281,0.002,0.225,0.013,470.516,469.446,1.070,2.346,0.100,0.047,0.035,0.934,49.845,418.499,0.000,0.000,0.000,0.000,1,640,0,0,0,0,60.97,80.75,0.00,4019.86,405,0
0,18,1785732824517,2.806244705e-05,0.599241,0,166,1,0,1,166,0,0,1.000000,503.639,0.001,0.247,0.013,500.811,499.674,1.136,2.395,0.093,0.042,0.037,1.002,50.065,448.442,0.000,0.000,0.000,0.000,1,664,0,0,0,0,60.98,80.77,0.00,4039.55,405,0
0,19,1785732825015,2.820808271e-05,0.598909,0,167,1,0,1,167,0,0,1.000000,498.185,0.001,0.212,0.014,495.295,494.200,1.095,2.475,0.100,0.046,0.043,0.983,50.043,443.017,0.000,0.000,0.000,0.000,1,668,0,0,0,0,60.98,80.77,0.00,4039.20,405,0
0,20,1785732825518,2.801245684e-05,0.599213,0,160,1,0,1,160,0,0,1.000000,502.445,0.002,0.240,0.014,499.427,498.260,1.166,2.578,0.098,0.050,0.039,0.931,49.556,447.598,0.000,0.000,0.000,0.000,1,640,0,0,0,0,60.98,80.77,0.00,3984.05,405,0
0,21,1785732826029,2.805363968e-05,0.599107,0,173,1,0,1,173,0,0,1.000000,510.792,0.002,0.212,0.013,508.057,506.986,1.069,2.328,0.099,0.043,0.038,1.025,52.196,453.615,0.000,0.000,0.000,0.000,1,692,0,0,0,0,60.98,80.77,0.00,4002.66,405,0
0,22,1785732826583,2.792882148e-05,0.599261,0,174,1,0,1,174,0,0,1.000000,554.572,0.001,0.232,0.013,551.631,550.498,1.132,2.530,0.102,0.029,0.036,0.950,49.539,499.861,0.000,0.000,0.000,0.000,1,696,0,0,0,0,60.98,80.77,5.22,4041.72,405,0
0,23,1785732827103,2.787595758e-05,0.599301,0,175,1,0,1,175,0,0,1.000000,519.349,0.002,0.219,0.013,516.674,515.535,1.138,2.285,0.092,0.032,0.032,1.009,50.541,463.814,0.000,0.000,0.000,0.000,1,700,0,0,0,0,60.98,80.77,5.22,3985.95,405,0
0,24,1785732827622,2.782824993e-05,0.599461,0,177,1,0,1,177,0,0,1.000000,518.940,0.001,0.241,0.014,516.179,515.109,1.069,2.335,0.104,0.032,0.034,0.934,49.629,464.373,0.000,0.000,0.000,0.000,1,708,0,0,0,0,60.98,80.77,5.22,3975.09,405,0
0,25,1785732828278,2.778158344e-05,0.599578,0,211,1,0,1,211,0,0,1.000000,656.538,0.002,0.243,0.014,653.691,652.618,1.072,2.405,0.110,0.040,0.035,1.028,49.506,601.924,0.000,0.000,0.000,0.000,1,844,0,0,0,0,60.98,80.77,5.20,3970.25,405,0
0,26,1785732829175,2.774403776e-05,0.599641,0,215,1,0,1,215,0,0,1.000000,897.053,0.001,0.203,0.013,894.093,892.953,1.139,2.350,0.095,0.267,0.032,1.039,57.386,834.380,0.000,0.000,0.000,0.000,1,860,0,0,0,0,62.39,80.77,7.42,3995.83,405,0
0,27,1785732829837,2.771338093e-05,0.599665,0,215,1,0,1,215,0,0,1.000000,661.474,0.002,0.255,0.017,658.652,657.521,1.130,2.382,0.094,0.040,0.035,0.963,50.100,606.316,0.000,0.000,0.000,0.000,1,860,0,0,0,0,62.39,80.77,7.42,3991.22,405,0
0,28,1785732830469,2.768601047e-05,0.599700,0,215,1,0,1,215,0,0,1.000000,631.831,0.001,0.248,0.013,628.969,627.839,1.130,2.424,0.094,0.049,0.034,0.994,50.218,576.476,0.000,0.000,0.000,0.000,1,860,0,0,0,0,62.39,80.77,7.41,4032.36,405,0
0,29,1785732831150,2.766121291e-05,0.599742,0,227,1,0,1,227,0,0,1.000000,680.503,0.002,0.226,0.013,677.607,676.485,1.121,2.471,0.109,0.041,0.037,0.980,53.522,621.827,0.000,0.000,0.000,0.000,1,908,0,0,0,0,62.39,80.77,6.94,3912.31,405,0
0,30,1785732831860,2.763974139e-05,0.599785,0,234,1,0,1,234,0,0,1.000000,710.655,0.001,0.206,0.015,707.960,706.853,1.107,2.295,0.096,0.044,0.039,0.950,49.775,655.980,0.000,0.000,0.000,0.000,1,936,0,0,0,0,62.39,80.77,8.28,3914.36,405,0
0,31,1785732832671,2.762223459e-05,0.599802,0,236,1,0,1,236,0,0,1.000000,811.075,0.001,0.214,0.016,808.292,807.223,1.068,2.371,0.093,0.053,0.037,0.971,50.979,755.123,0.000,0.000,0.000,0.000,1,944,0,0,0,0,62.39,80.77,8.27,4068.09,405,0
0,32,1785732833348,2.76079264e-05,0.599821,0,229,1,0,1,229,0,0,1.000000,676.840,0.002,0.204,0.013,674.085,673.023,1.061,2.365,0.096,0.043,0.034,1.082,49.831,621.905,0.000,0.000,0.000,0.000,1,916,0,0,0,0,62.39,80.77,8.27,4034.50,405,0
0,33,1785732834025,2.759617603e-05,0.599828,0,229,1,0,1,229,0,0,1.000000,676.531,0.001,0.195,0.014,673.688,672.577,1.109,2.443,0.105,0.040,0.046,1.070,50.236,621.119,0.000,0.000,0.000,0.000,1,916,0,0,0,0,62.41,80.77,8.25,4047.95,405,0
0,34,1785732834701,2.758749323e-05,0.599825,0,232,1,0,1,232,0,0,1.000000,675.854,0.002,0.228,0.013,673.072,671.932,1.139,2.365,0.094,0.046,0.036,0.974,50.425,620.370,0.000,0.000,0.000,0.000,1,928,0,0,0,0,62.41,80.77,7.91,4093.19,405,0
0,35,1785732835381,2.757945848e-05,0.599820,0,233,1,0,1,233,0,0,1.000000,680.120,0.002,0.240,0.021,677.276,676.162,1.113,2.405,0.097,0.046,0.036,1.018,50.379,624.616,0.000,0.000,0.000,0.000,1,932,0,0,0,0,62.41,80.77,7.91,4064.31,405,0
0,36,1785732836085,2.75725381e-05,0.599855,0,234,1,0,1,234,0,0,1.000000,704.479,0.003,0.202,0.014,701.770,700.598,1.171,2.321,0.092,0.044,0.034,0.983,50.190,649.280,0.000,0.000,0.000,0.000,1,936,0,0,0,0,62.41,80.77,7.91,4070.20,405,0
