rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785738402549,8.251459611e-05,0.547609,0,165,1,0,1,165,0,0,1.000000,876.769,0.000,0.218,0.013,874.082,871.169,2.911,2.257,0.096,0.057,0.046,2.054,74.000,794.911,0.000,0.000,0.000,0.000,1,660,0,0,0,0,43.30,63.08,0.00,4592.69,109,0
0,2,1785738403316,4.629495203e-05,0.559120,0,140,1,0,1,140,0,0,1.000000,764.237,3.131,0.208,0.013,761.386,758.381,3.003,2.439,0.096,0.057,0.038,1.190,72.753,684.158,0.000,0.000,0.000,0.000,1,560,0,0,0,0,51.47,71.27,0.00,4521.09,109,0
0,3,1785738404013,2.860066929e-05,0.586901,0,126,1,0,1,126,0,0,1.000000,694.128,3.195,0.248,0.013,690.795,687.923,2.870,2.829,0.103,0.049,0.092,1.318,73.124,613.179,0.000,0.000,0.000,0.000,1,504,0,0,0,0,51.48,71.28,0.00,4565.00,109,0
0,4,1785738404659,3.093227806e-05,0.595338,0,118,1,0,1,118,0,0,1.000000,641.748,3.468,0.216,0.013,638.956,635.952,3.003,2.381,0.098,0.040,0.044,1.468,73.123,561.138,0.000,0.000,0.000,0.000,1,472,0,0,0,0,53.64,73.44,0.00,4620.20,109,0
0,5,1785738405334,2.737100959e-05,0.594952,0,124,1,0,1,124,0,0,1.000000,671.664,3.281,0.203,0.013,668.993,666.042,2.945,2.280,0.098,0.043,0.034,1.408,72.829,591.599,0.000,0.000,0.000,0.000,1,496,0,0,0,0,54.03,73.83,0.00,4574.58,109,0
0,6,1785738405998,3.011467671e-05,0.590005,0,122,1,0,1,122,0,0,1.000000,660.551,3.510,0.203,0.018,657.763,654.922,2.840,2.393,0.095,0.042,0.037,1.225,72.991,580.519,0.000,0.000,0.000,0.000,1,488,0,0,0,0,54.05,73.84,0.00,4569.84,109,0
0,7,1785738406709,2.730098469e-05,0.596660,0,131,1,0,1,131,0,0,1.000000,708.614,3.178,0.217,0.013,705.922,702.853,3.067,2.296,0.100,0.031,0.035,1.330,72.197,629.122,0.000,0.000,0.000,0.000,1,524,0,0,0,0,54.06,73.86,0.00,4605.19,109,0
0,8,1785738407405,2.711445284e-05,0.597808,0,124,1,0,1,124,0,0,1.000000,692.290,3.269,0.210,0.013,689.408,686.551,2.853,2.495,0.094,0.038,0.033,1.218,72.782,612.353,0.000,0.000,0.000,0.000,1,496,0,0,0,0,54.16,73.95,0.00,4558.77,109,0
0,9,1785738408101,2.7052032e-05,0.597100,0,128,1,0,1,128,0,0,1.000000,692.320,3.320,0.211,0.013,689.522,686.321,3.196,2.405,0.097,0.035,0.037,1.257,73.039,611.806,0.000,0.000,0.000,0.000,1,512,0,0,0,0,54.16,73.95,0.00,4527.06,109,0
0,10,1785738408784,2.703838391e-05,0.598166,0,125,1,0,1,125,0,0,1.000000,679.579,3.467,0.207,0.013,676.861,673.944,2.915,2.324,0.098,0.042,0.033,1.233,72.697,599.825,0.000,0.000,0.000,0.000,1,500,0,0,0,0,54.45,74.25,0.00,4557.23,109,0
