rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785738835608,8.251459611e-05,0.546611,0,165,1,0,1,165,0,0,1.000000,911.595,0.000,4.140,0.014,901.364,898.397,2.964,5.858,0.099,0.070,0.050,1.809,76.146,820.126,0.000,0.000,0.000,0.000,1,660,0,0,0,0,87.31,107.03,0.00,4708.55,108,0
0,2,1785738836369,4.699407855e-05,0.558308,0,139,1,0,1,139,0,0,1.000000,757.868,3.250,3.492,0.014,748.586,745.761,2.825,5.592,0.111,0.040,0.033,1.336,75.765,668.415,0.000,0.000,0.000,0.000,1,556,0,0,0,0,92.69,112.42,0.00,4698.83,108,0
0,3,1785738837044,2.930091843e-05,0.587484,0,121,1,0,1,121,0,0,1.000000,672.168,3.129,3.519,0.013,661.559,658.749,2.809,6.838,0.110,0.045,0.083,1.158,75.147,582.225,0.000,0.000,0.000,0.000,1,484,0,0,0,0,95.86,115.59,0.00,4832.78,108,0
0,4,1785738837686,2.798218378e-05,0.595317,0,114,1,0,1,114,0,0,1.000000,638.325,3.431,3.510,0.017,628.852,625.963,2.888,5.765,0.103,0.042,0.037,1.730,75.739,548.227,0.000,0.000,0.000,0.000,1,456,0,0,0,0,104.95,124.69,0.00,4777.19,108,0
0,5,1785738838388,2.771046314e-05,0.596792,0,125,1,0,1,125,0,0,1.000000,698.946,3.282,3.396,0.014,689.848,686.942,2.904,5.493,0.098,0.057,0.041,1.426,75.667,609.636,0.000,0.000,0.000,0.000,1,500,0,0,0,0,105.11,124.84,0.00,4763.56,108,0
0,6,1785738839071,2.753827997e-05,0.598091,0,120,1,0,1,120,0,0,1.000000,679.357,3.366,3.382,0.013,670.110,667.248,2.860,5.674,0.096,0.045,0.038,1.304,74.707,591.053,0.000,0.000,0.000,0.000,1,480,0,0,0,0,105.97,125.70,0.00,4803.66,108,0
0,7,1785738839750,2.746758635e-05,0.599073,0,123,1,0,1,123,0,0,1.000000,675.495,3.248,3.495,0.017,666.373,663.462,2.908,5.431,0.099,0.043,0.036,1.182,75.275,586.798,0.000,0.000,0.000,0.000,1,492,0,0,0,0,105.97,125.70,0.00,4781.88,108,0
0,8,1785738840471,2.739591937e-05,0.599466,0,131,1,0,1,131,0,0,1.000000,718.201,3.165,3.380,0.013,709.063,706.172,2.889,5.544,0.106,0.045,0.050,1.247,74.328,630.393,0.000,0.000,0.000,0.000,1,524,0,0,0,0,106.00,125.73,0.00,4228.09,108,0
0,9,1785738841207,2.73540073e-05,0.599464,0,135,1,0,1,135,0,0,1.000000,732.833,3.239,3.526,0.013,723.683,720.753,2.928,5.435,0.101,0.041,0.034,1.221,74.006,645.324,0.000,0.000,0.000,0.000,1,540,0,0,0,0,106.36,126.09,0.00,4248.59,108,0
0,10,1785738841955,2.731912993e-05,0.599390,0,136,1,0,1,136,0,0,1.000000,744.677,3.263,3.483,0.013,735.483,732.585,2.897,5.445,0.098,0.113,0.042,1.236,74.616,656.541,0.000,0.000,0.000,0.000,1,544,0,0,0,0,106.38,126.11,0.00,4483.09,108,0
0,11,1785738842704,2.728098918e-05,0.599351,0,136,1,0,1,136,0,0,1.000000,745.610,3.305,3.456,0.013,736.409,733.543,2.865,5.543,0.103,0.044,0.041,1.257,74.504,657.593,0.000,0.000,0.000,0.000,1,544,0,0,0,0,106.38,126.11,0.00,4550.52,108,0
0,12,1785738843445,2.724007877e-05,0.599435,0,135,1,0,1,135,0,0,1.000000,736.904,3.288,3.490,0.013,727.788,724.935,2.852,5.427,0.106,0.044,0.035,1.215,74.435,649.073,0.000,0.000,0.000,0.000,1,540,0,0,0,0,106.38,126.11,0.00,4507.47,108,0
0,13,1785738844172,2.720315659e-05,0.599556,0,131,1,0,1,131,0,0,1.000000,723.758,3.245,3.340,0.014,714.683,711.804,2.877,5.542,0.098,0.043,0.038,1.139,74.240,636.222,0.000,0.000,0.000,0.000,1,524,0,0,0,0,106.38,126.11,0.00,4495.83,108,0
0,14,1785738844898,2.71735587e-05,0.599652,0,132,1,0,1,132,0,0,1.000000,723.535,3.395,3.420,0.013,714.465,711.544,2.920,5.462,0.098,0.039,0.038,1.258,75.419,634.659,0.000,0.000,0.000,0.000,1,528,0,0,0,0,106.41,126.14,0.00,4569.83,108,0
