rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785737881963,0.0001166524199,0.547878,0,184,1,0,1,184,0,0,1.000000,557.193,0.000,0.218,0.013,554.149,552.964,1.185,2.596,0.094,0.067,0.055,1.783,57.274,493.586,0.000,0.000,0.000,0.000,1,736,0,0,0,0,42.77,62.53,0.00,4622.61,459,0
0,2,1785737882425,5.523305127e-05,0.566316,0,157,1,0,1,157,0,0,1.000000,462.410,0.003,0.244,0.013,459.697,458.534,1.162,2.287,0.097,0.037,0.035,1.204,52.661,404.501,0.000,0.000,0.000,0.000,1,628,0,0,0,0,46.20,65.98,0.00,4638.81,459,0
0,3,1785737883040,3.167910338e-05,0.590479,0,122,1,0,1,122,0,0,1.000000,614.316,0.002,0.217,0.013,611.418,610.258,1.158,2.489,0.101,0.030,0.047,1.096,209.914,398.998,0.000,0.000,0.000,0.000,1,488,0,0,0,0,53.70,73.47,0.00,4545.91,459,0
0,4,1785737883488,3.049191929e-05,0.594986,0,124,1,0,1,124,0,0,1.000000,448.436,0.001,0.202,0.013,445.667,444.533,1.133,2.394,0.094,0.033,0.032,1.064,54.511,388.783,0.000,0.000,0.000,0.000,1,496,0,0,0,0,53.83,73.59,0.00,4394.94,459,0
0,5,1785737883942,3.071920508e-05,0.595717,0,128,1,0,1,128,0,0,1.000000,454.143,0.001,0.234,0.013,451.308,450.094,1.214,2.411,0.095,0.048,0.034,0.941,52.415,396.568,0.000,0.000,0.000,0.000,1,512,0,0,0,0,53.84,73.61,0.00,4390.19,459,0
0,6,1785737884348,2.980725242e-05,0.594249,0,133,1,0,1,133,0,0,1.000000,406.038,0.002,0.232,0.016,403.234,402.099,1.135,2.379,0.101,0.037,0.038,1.002,52.499,348.438,0.000,0.000,0.000,0.000,1,532,0,0,0,0,53.86,73.62,0.00,4404.92,459,0
0,7,1785737884791,2.913853547e-05,0.595390,0,137,1,0,1,137,0,0,1.000000,442.180,0.001,0.205,0.016,439.461,438.291,1.169,2.335,0.098,0.026,0.038,1.036,51.458,385.629,0.000,0.000,0.000,0.000,1,548,0,0,0,0,54.17,73.94,0.00,4468.39,459,0
0,8,1785737885217,2.896787205e-05,0.597487,0,137,1,0,1,137,0,0,1.000000,426.231,0.001,0.206,0.013,423.528,422.349,1.178,2.322,0.095,0.036,0.031,0.968,51.164,370.055,0.000,0.000,0.000,0.000,1,548,0,0,0,0,55.66,75.42,0.00,4468.39,459,0
0,9,1785737885640,2.876240698e-05,0.597890,0,138,1,0,1,138,0,0,1.000000,423.368,0.003,0.229,0.013,420.547,419.422,1.124,2.401,0.115,0.026,0.038,0.965,51.538,366.748,0.000,0.000,0.000,0.000,1,552,0,0,0,0,55.67,75.44,0.00,4473.56,459,0
0,10,1785737886090,2.863925748e-05,0.598585,0,144,1,0,1,144,0,0,1.000000,449.278,0.002,0.217,0.014,446.465,445.357,1.108,2.417,0.095,0.037,0.033,1.065,51.397,392.719,0.000,0.000,0.000,0.000,1,576,0,0,0,0,55.67,75.44,0.00,4473.83,459,0
