run,iteration,compliance,cg_iterations,used_multigrid,geneo_action,geneo_dim,solve_ms,sensitivity_ms,total_ms,matvecs
twostep,1,190295.4575,14,1,0,0,460.7884,3.9860,489.6555,56
twostep,2,118595.4873,14,1,0,0,433.8927,4.0411,452.1875,56
twostep,3,82100.22548,14,1,0,0,423.2212,3.8769,441.7591,56
twostep,4,65089.44949,15,1,0,0,425.1955,3.6642,441.9909,60
twostep,5,56331.98285,17,1,0,0,427.4734,3.7507,445.3121,68
twostep,6,49555.92686,18,1,0,0,482.5123,3.7700,500.1933,72
twostep,7,43845.95764,18,1,0,0,450.3535,3.7189,468.8245,72
twostep,8,37602.57474,20,1,0,0,453.9493,3.7190,471.3292,80
twostep,9,31987.25958,21,1,0,0,466.2600,3.7059,483.1547,84
twostep,10,27489.5195,21,1,0,0,476.4197,3.9205,493.0536,84
twostep,11,24516.33397,21,1,0,0,456.6392,3.6418,474.0508,84
twostep,12,22747.71831,22,1,0,0,469.2505,3.8605,485.7495,88
twostep,13,21739.56642,22,1,0,0,475.4680,4.1530,493.7998,88
twostep,14,21182.62969,23,1,0,0,489.1408,3.7653,506.4727,92
twostep,15,20830.7232,23,1,0,0,478.0958,4.8468,496.1558,92
twostep,16,20601.38468,23,1,0,0,484.8832,3.6540,500.8576,92
twostep,17,20448.61669,23,1,0,0,479.2393,3.9269,496.4015,92
twostep,18,20339.27386,22,1,0,0,469.7170,3.6806,486.4842,88
twostep,19,20256.67712,22,1,0,0,577.9886,4.1873,595.1668,88
twostep,20,20191.28171,22,1,0,0,472.3561,3.5953,488.4303,88
twostep,21,20139.12673,22,1,0,0,463.5350,3.8050,480.2632,88
twostep,22,20097.90217,23,1,0,0,526.4655,3.7220,544.6213,92
twostep,23,20064.5993,22,1,0,0,467.6865,3.6503,484.5203,88
twostep,24,20034.90312,22,1,0,0,475.3617,3.6277,491.8027,88
twostep,25,20008.72168,22,1,0,0,474.6129,3.5757,491.0807,88
twostep,26,19985.33836,22,1,0,0,486.5089,7.5237,510.3607,88
twostep,27,19965.53696,22,1,0,0,473.8446,3.7191,490.4400,88
twostep,28,19949.53133,22,1,0,0,464.1684,3.7650,480.7842,88
twostep,29,19935.61333,22,1,0,0,479.8648,3.9185,496.6865,88
twostep,30,19922.57886,22,1,0,0,476.3692,4.0345,494.2727,88
twostep,31,19909.9018,22,1,0,0,478.9258,3.8233,495.5334,88
twostep,32,19898.4848,22,1,0,0,474.3532,3.7252,491.5922,88
twostep,33,19888.24849,22,1,0,0,481.9196,3.6875,498.5689,88
twostep,34,19879.60273,22,1,0,0,466.5069,3.5795,482.4952,88
twostep,35,19872.1363,22,1,0,0,435.1405,3.6170,451.4645,88
twostep,36,19865.28144,22,1,0,0,441.9178,3.6902,459.0022,88
twostep,37,19858.54566,22,1,0,0,480.4852,3.6405,497.2750,88
twostep,38,19852.11657,22,1,0,0,496.7840,3.6343,512.7112,88
twostep,39,19846.11512,21,1,0,0,498.4223,3.7216,514.8816,84
twostep,40,19839.70218,21,1,0,0,556.8928,3.9869,575.1437,84
