rung,iter,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold
0,1,8.251459611e-05,0.547609,0,165,1,0,1,165,0,0,1.000000,1,660,0,0,0,0
0,2,4.629495203e-05,0.559120,0,140,1,0,1,140,0,0,1.000000,1,560,0,0,0,0
0,3,2.860066929e-05,0.586901,0,126,1,0,1,126,0,0,1.000000,1,504,0,0,0,0
0,4,3.093227806e-05,0.595338,0,118,1,0,1,118,0,0,1.000000,1,472,0,0,0,0
0,5,2.737100959e-05,0.594952,0,124,1,0,1,124,0,0,1.000000,1,496,0,0,0,0
0,6,3.011467671e-05,0.590005,0,122,1,0,1,122,0,0,1.000000,1,488,0,0,0,0
0,7,2.730098469e-05,0.596660,0,131,1,0,1,131,0,0,1.000000,1,524,0,0,0,0
0,8,2.711445284e-05,0.597808,0,124,1,0,1,124,0,0,1.000000,1,496,0,0,0,0
0,9,2.7052032e-05,0.597100,0,128,1,0,1,128,0,0,1.000000,1,512,0,0,0,0
0,10,2.703838391e-05,0.598166,0,125,1,0,1,125,0,0,1.000000,1,500,0,0,0,0
0,11,2.696583039e-05,0.599049,0,127,1,0,1,127,0,0,1.000000,1,508,0,0,0,0
0,12,2.691769442e-05,0.598802,0,130,1,0,1,130,0,0,1.000000,1,520,0,0,0,0
0,13,2.691340742e-05,0.599098,0,129,1,0,1,129,0,0,1.000000,1,516,0,0,0,0
0,14,2.689404397e-05,0.598338,0,131,1,0,1,131,0,0,1.000000,1,524,0,0,0,0
0,15,2.689370057e-05,0.599038,0,131,1,0,1,131,0,0,1.000000,1,524,0,0,0,0
0,16,2.705758661e-05,0.598751,0,123,1,1,1,123,0,0,1.000000,1,492,0,0,0,0
0,17,2.697074045e-05,0.597086,0,130,1,1,1,130,0,0,1.000000,1,520,0,0,0,0
0,18,2.698425255e-05,0.598723,0,130,1,1,1,130,0,0,1.000000,1,520,0,0,0,0
0,19,2.687898388e-05,0.599880,0,130,1,1,1,130,0,0,1.000000,1,520,0,0,0,0
