rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785711136006,8.251459611e-05,0.547609,0,165,1,0,1,165,0,0,1.000000,2093.757,0.000,0.347,0.014,2089.998,2086.917,3.078,3.143,0.135,0.070,0.050,4.346,103.568,1978.321,0.000,0.000,0.000,0.000,1,660,0,0,0,0,42.72,62.41,12.41,3445.78,74,0
0,2,1785711137595,4.629495203e-05,0.559120,0,140,1,0,1,140,0,0,1.000000,1585.648,3.369,0.319,0.014,1582.150,1578.321,3.825,2.651,0.100,0.377,0.038,2.858,85.600,1489.377,0.000,0.000,0.000,0.000,1,560,0,0,0,0,55.22,69.16,6.44,3415.84,74,0
0,3,1785711139154,2.860066929e-05,0.586901,0,126,1,0,1,126,0,0,1.000000,1555.931,3.278,0.253,0.014,1552.801,1549.843,2.956,2.655,0.107,0.049,0.053,1.403,81.922,1466.286,0.000,0.000,0.000,0.000,1,504,0,0,0,0,56.53,69.97,6.98,3429.39,74,0
0,4,1785711140360,3.093227806e-05,0.595338,0,118,1,0,1,118,0,0,1.000000,1201.936,3.769,0.273,0.014,1198.123,1195.131,2.989,2.951,0.103,0.408,0.064,2.663,81.343,1110.909,0.000,0.000,0.000,0.000,1,472,0,0,0,0,60.13,75.38,4.48,3440.52,74,0
0,5,1785711142116,2.737100959e-05,0.594952,0,124,1,0,1,124,0,0,1.000000,1751.678,4.174,0.338,0.014,1745.256,1741.331,3.921,5.273,0.247,0.066,0.485,1.418,84.165,1655.305,0.000,0.000,0.000,0.000,1,496,0,0,0,0,60.23,75.52,25.14,3280.38,74,0
0,6,1785711143937,3.011467671e-05,0.590005,0,122,1,0,1,122,0,0,1.000000,1816.900,3.928,0.294,0.014,1813.799,1810.707,3.090,2.604,0.101,0.045,0.042,2.421,89.575,1718.458,0.000,0.000,0.000,0.000,1,488,0,0,0,0,60.27,75.52,14.08,3496.59,74,0
0,7,1785711145307,2.730098469e-05,0.596660,0,131,1,0,1,131,0,0,1.000000,1366.835,3.470,0.319,0.014,1363.699,1360.738,2.959,2.592,0.100,0.059,0.052,1.797,80.579,1278.142,0.000,0.000,0.000,0.000,1,524,0,0,0,0,61.38,75.52,7.81,3592.64,74,0
0,8,1785711146558,2.711445284e-05,0.597808,0,124,1,0,1,124,0,0,1.000000,1245.830,4.900,0.327,0.014,1242.645,1239.587,3.055,2.423,0.104,0.269,0.047,1.336,77.604,1160.421,0.000,0.000,0.000,0.000,1,496,0,0,0,0,61.50,75.52,7.38,3733.02,74,0
0,9,1785711147863,2.7052032e-05,0.597100,0,128,1,0,1,128,0,0,1.000000,1300.834,3.900,0.299,0.015,1297.177,1294.177,2.997,3.089,0.103,0.065,0.086,1.363,77.535,1215.045,0.000,0.000,0.000,0.000,1,512,0,0,0,0,61.52,75.52,7.39,3664.97,74,0
0,10,1785711149124,2.703838391e-05,0.598166,0,125,1,0,1,125,0,0,1.000000,1257.564,3.623,0.319,0.015,1254.369,1251.394,2.972,2.663,0.096,0.048,0.053,1.513,76.717,1172.931,0.000,0.000,0.000,0.000,1,500,0,0,0,0,61.52,75.52,7.36,3741.86,74,0
0,11,1785711150331,2.696583039e-05,0.599049,0,127,1,0,1,127,0,0,1.000000,1203.624,3.831,0.273,0.037,1200.639,1197.519,3.118,2.471,0.097,0.064,0.043,1.609,77.663,1117.905,0.000,0.000,0.000,0.000,1,508,0,0,0,0,62.58,75.52,7.00,3669.72,74,0
0,12,1785711151598,2.691769442e-05,0.598802,0,130,1,0,1,130,0,0,1.000000,1263.234,3.513,0.285,0.016,1259.331,1256.228,3.099,3.281,0.113,0.067,0.141,1.277,80.901,1173.796,0.000,0.000,0.000,0.000,1,520,0,0,0,0,62.58,76.72,5.59,3616.33,74,0
0,13,1785711152893,2.691340742e-05,0.599098,0,129,1,0,1,129,0,0,1.000000,1290.816,3.803,0.325,0.016,1287.049,1284.081,2.965,2.829,0.117,0.415,0.066,1.573,81.096,1201.106,0.000,0.000,0.000,0.000,1,516,0,0,0,0,62.61,76.75,7.77,3581.91,74,0
0,14,1785711154364,2.689404397e-05,0.598338,0,131,1,0,1,131,0,0,1.000000,1466.234,4.353,0.321,0.014,1463.208,1460.220,2.985,2.493,0.100,0.051,0.048,1.790,87.833,1370.349,0.000,0.000,0.000,0.000,1,524,0,0,0,0,62.66,76.75,8.34,3568.45,74,0
0,15,1785711155663,2.689370057e-05,0.599038,0,131,1,0,1,131,0,0,1.000000,1295.256,3.629,0.262,0.016,1291.222,1288.272,2.947,3.530,0.102,0.061,0.063,1.897,83.747,1202.381,0.000,0.000,0.000,0.000,1,524,0,0,0,0,62.66,77.20,5.44,3634.38,74,0
0,16,1785711159317,2.705758661e-05,0.598751,0,123,1,1,1,123,0,0,1.000000,1390.686,0.000,0.600,0.077,1386.825,1383.810,3.010,2.945,0.105,0.062,0.071,2.651,81.692,1299.244,0.000,0.000,0.000,0.000,1,492,0,0,0,0,63.13,78.64,5.81,3416.75,74,0
0,17,1785711160591,2.697074045e-05,0.597086,0,130,1,1,1,130,0,0,1.000000,1270.558,3.819,0.555,0.097,1266.948,1263.981,2.964,2.426,0.104,0.366,0.062,1.538,77.196,1184.785,0.000,0.000,0.000,0.000,1,520,0,0,0,0,65.05,80.48,4.67,3533.91,74,0
