rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785711255847,8.251459611e-05,0.547609,0,165,1,0,1,165,0,0,1.000000,1490.998,0.000,0.311,0.014,1485.217,1482.120,3.095,4.908,0.185,0.108,0.255,2.103,97.746,1381.804,0.000,0.000,0.000,0.000,1,660,0,0,0,0,41.61,63.05,8.91,3138.16,112,0
0,2,1785711257373,4.629495203e-05,0.559120,0,140,1,0,1,140,0,0,1.000000,1522.890,3.522,0.320,0.015,1519.700,1516.618,3.078,2.632,0.103,0.059,0.061,1.715,79.393,1435.261,0.000,0.000,0.000,0.000,1,560,0,0,0,0,43.48,63.05,4.06,3162.53,112,0
0,3,1785711258870,2.860066929e-05,0.586901,0,126,1,0,1,126,0,0,1.000000,1493.109,4.059,0.350,0.013,1489.099,1486.143,2.954,3.450,0.103,0.046,0.048,1.309,99.205,1385.402,0.000,0.000,0.000,0.000,1,504,0,0,0,0,48.14,65.27,5.98,3173.31,112,0
0,4,1785711260042,3.093227806e-05,0.595338,0,118,1,0,1,118,0,0,1.000000,1167.143,4.060,0.383,0.017,1163.558,1160.499,3.056,2.889,0.104,0.137,0.055,2.223,78.072,1079.873,0.000,0.000,0.000,0.000,1,472,0,0,0,0,56.20,73.81,3.94,3112.33,112,0
0,5,1785711261422,2.737100959e-05,0.594952,0,124,1,0,1,124,0,0,1.000000,1375.901,4.416,0.288,0.014,1372.286,1369.330,2.954,2.999,0.117,0.060,0.136,1.626,82.016,1285.457,0.000,0.000,0.000,0.000,1,496,0,0,0,0,51.48,74.06,3.77,3119.12,112,0
0,6,1785711262754,3.011467671e-05,0.590005,0,122,1,0,1,122,0,0,1.000000,1327.730,3.653,0.309,0.014,1324.659,1321.682,2.975,2.544,0.101,0.043,0.061,1.454,77.788,1242.210,0.000,0.000,0.000,0.000,1,488,0,0,0,0,49.61,74.08,8.17,3276.42,112,0
0,7,1785711264052,2.730098469e-05,0.596660,0,131,1,0,1,131,0,0,1.000000,1295.221,3.464,0.292,0.015,1291.902,1288.950,2.949,2.798,0.102,0.049,0.064,1.751,92.275,1194.664,0.000,0.000,0.000,0.000,1,524,0,0,0,0,53.34,74.08,7.77,3201.89,112,0
0,8,1785711265330,2.711445284e-05,0.597808,0,124,1,0,1,124,0,0,1.000000,1274.566,3.489,0.343,0.015,1271.008,1268.004,3.002,2.898,0.121,0.125,0.056,1.437,79.270,1187.087,0.000,0.000,0.000,0.000,1,496,0,0,0,0,47.00,74.08,4.30,3205.17,112,0
0,9,1785711266637,2.7052032e-05,0.597100,0,128,1,0,1,128,0,0,1.000000,1303.362,3.596,0.270,0.014,1300.407,1297.166,3.239,2.468,0.099,0.060,0.045,2.089,79.140,1215.694,0.000,0.000,0.000,0.000,1,512,0,0,0,0,41.88,74.08,4.27,3262.72,112,0
0,10,1785711268167,2.703838391e-05,0.598166,0,125,1,0,1,125,0,0,1.000000,1526.186,3.534,0.276,0.013,1522.745,1518.600,4.139,2.934,0.098,0.056,0.064,1.505,75.946,1440.935,0.000,0.000,0.000,0.000,1,500,0,0,0,0,46.83,74.38,6.11,3199.66,112,0
0,11,1785711269660,2.696583039e-05,0.599049,0,127,1,0,1,127,0,0,1.000000,1489.409,3.669,0.563,0.016,1482.622,1478.495,4.124,5.999,0.111,0.042,0.057,1.552,79.872,1396.761,0.000,0.000,0.000,0.000,1,508,0,0,0,0,46.56,74.38,5.98,3081.14,112,0
0,12,1785711271362,2.691769442e-05,0.598802,0,130,1,0,1,130,0,0,1.000000,1695.819,5.661,0.241,0.015,1691.162,1688.203,2.957,3.050,0.122,1.048,0.181,3.010,104.756,1579.937,0.000,0.000,0.000,0.000,1,520,0,0,0,0,49.19,74.38,12.33,3033.52,112,0
0,13,1785711272898,2.691340742e-05,0.599098,0,129,1,0,1,129,0,0,1.000000,1532.248,3.776,0.226,0.014,1529.039,1525.588,3.448,2.749,0.112,0.062,0.047,1.758,89.360,1434.261,0.000,0.000,0.000,0.000,1,516,0,0,0,0,47.36,74.38,9.62,2952.66,112,0
0,14,1785711274100,2.689404397e-05,0.598338,0,131,1,0,1,131,0,0,1.000000,1198.161,3.528,0.322,0.014,1192.247,1189.163,3.082,5.261,0.116,0.076,0.125,1.326,75.244,1112.251,0.000,0.000,0.000,0.000,1,524,0,0,0,0,49.59,74.38,14.17,2710.17,112,0
0,15,1785711275030,2.689370057e-05,0.599038,0,131,1,0,1,131,0,0,1.000000,926.573,3.687,0.293,0.014,923.329,920.211,3.116,2.738,0.102,0.044,0.052,1.524,89.109,829.332,0.000,0.000,0.000,0.000,1,524,0,0,0,0,51.42,74.38,9.64,2710.17,112,0
0,16,1785711278009,2.705758661e-05,0.598751,0,123,1,1,1,123,0,0,1.000000,1406.207,0.000,0.779,0.075,1401.711,1398.776,2.934,3.249,0.101,0.244,0.049,4.408,79.865,1314.246,0.000,0.000,0.000,0.000,1,492,0,0,0,0,50.66,74.38,14.52,2494.88,112,0
0,17,1785711279242,2.697074045e-05,0.597086,0,130,1,1,1,130,0,0,1.000000,1228.045,4.467,0.512,0.075,1224.934,1222.017,2.914,2.320,0.095,0.047,0.062,1.482,84.190,1136.135,0.000,0.000,0.000,0.000,1,520,0,0,0,0,54.27,74.38,12.38,2618.67,112,0
0,18,1785711280563,2.698425255e-05,0.598723,0,130,1,1,1,130,0,0,1.000000,1317.319,3.811,4.215,0.075,1304.141,1300.086,4.052,8.423,0.140,0.057,0.269,1.288,77.350,1220.271,0.000,0.000,0.000,0.000,1,520,0,0,0,0,52.13,74.38,21.03,2559.27,112,0
0,19,1785711282433,2.687898388e-05,0.599880,0,130,1,1,1,130,0,0,1.000000,1864.706,5.044,0.815,0.086,1860.507,1853.903,6.598,3.007,0.111,0.067,0.112,6.674,107.542,1738.903,0.000,0.000,0.000,0.000,1,520,0,0,0,0,50.45,74.38,11.70,2561.00,112,0
0,20,1785711284235,2.682869958e-05,0.600470,0,139,1,1,1,139,0,0,1.000000,1796.260,5.683,2.011,0.077,1791.541,1787.557,3.981,2.431,0.101,0.054,0.045,3.315,88.820,1694.952,0.000,0.000,0.000,0.000,1,556,0,0,0,0,45.70,74.38,6.34,2859.86,112,0
0,21,1785711286149,2.680147877e-05,0.600698,0,136,1,1,1,136,0,0,1.000000,1911.044,3.394,0.487,0.074,1906.866,1903.700,3.163,3.038,0.104,0.416,0.059,1.432,79.551,1822.468,0.000,0.000,0.000,0.000,1,544,0,0,0,0,41.56,74.38,6.25,2936.88,112,0
0,22,1785711288107,2.677815044e-05,0.600947,0,136,1,1,1,136,0,0,1.000000,1951.566,5.702,0.958,0.074,1947.107,1943.953,3.151,3.039,0.108,0.054,0.226,1.807,80.950,1860.855,0.000,0.000,0.000,0.000,1,544,0,0,0,0,50.09,75.17,10.44,3016.09,112,0
0,23,1785711289894,2.676497051e-05,0.601134,0,140,1,1,1,140,0,0,1.000000,1783.086,3.492,0.546,0.075,1779.846,1776.735,3.108,2.416,0.099,0.051,0.053,1.748,76.991,1697.685,0.000,0.000,0.000,0.000,1,560,0,0,0,0,54.97,75.17,8.67,2924.59,112,0
0,24,1785711291824,2.675081844e-05,0.601318,0,153,1,1,1,153,0,0,1.000000,1927.038,3.455,0.852,0.074,1923.015,1919.803,3.210,2.782,0.113,0.080,0.122,2.433,83.426,1833.715,0.000,0.000,0.000,0.000,1,612,0,0,0,0,53.61,76.95,7.22,2880.23,112,0
0,25,1785711293919,2.67410831e-05,0.601408,0,158,1,1,1,158,0,0,1.000000,2091.494,3.834,0.599,0.262,2087.594,2084.100,3.491,2.787,0.102,0.050,0.100,1.584,84.072,1997.815,0.000,0.000,0.000,0.000,1,632,0,0,0,0,35.84,76.95,6.41,2807.03,112,0
0,26,1785711295815,2.673261716e-05,0.601497,0,157,1,1,1,157,0,0,1.000000,1892.185,3.844,0.452,0.079,1889.054,1885.995,3.057,2.395,0.108,0.050,0.046,1.460,84.783,1799.420,0.000,0.000,0.000,0.000,1,628,0,0,0,0,46.89,76.95,6.56,2783.12,112,0
0,27,1785711298139,2.672465944e-05,0.601565,0,153,1,1,1,153,0,0,1.000000,2320.168,3.488,0.740,0.074,2315.871,2312.869,3.000,2.856,0.135,0.403,0.088,2.310,79.228,2230.965,0.000,0.000,0.000,0.000,1,612,0,0,0,0,54.02,76.95,13.52,2767.97,112,0
0,28,1785711300333,2.671597948e-05,0.601649,0,141,1,1,1,141,0,0,1.000000,2189.683,3.727,1.227,0.075,2178.625,2171.910,6.695,5.826,0.137,3.532,0.260,1.408,90.742,2077.310,0.000,0.000,0.000,0.000,1,564,0,0,0,0,53.52,76.95,23.16,2394.47,140,0
0,29,1785711302499,2.670527195e-05,0.601697,0,143,1,1,1,143,0,0,1.000000,2157.641,7.340,1.762,0.361,2152.113,2148.333,3.775,3.018,0.145,0.074,0.168,2.637,111.042,2034.221,0.000,0.000,0.000,0.000,1,572,0,0,0,0,54.55,76.95,20.50,2662.62,149,0
0,30,1785711304337,2.669353713e-05,0.601707,0,144,1,1,1,144,0,0,1.000000,1832.463,4.830,0.539,0.085,1829.121,1826.173,2.946,2.503,0.101,0.062,0.051,2.274,79.772,1743.663,0.000,0.000,0.000,0.000,1,576,0,0,0,0,54.05,76.95,10.22,2839.12,149,0
1,1,1785711315971,0.0001449146343,0.398039,0,158,1,0,1,158,0,0,1.000000,1855.273,0.000,0.500,0.014,1849.604,1846.233,3.367,3.066,0.220,0.613,1.258,2.147,81.201,1762.539,0.000,0.000,0.000,0.000,1,632,0,0,0,0,63.39,76.95,12.05,2991.64,176,0
1,2,1785711317523,7.611222763e-05,0.412958,0,137,1,0,1,137,0,0,1.000000,1534.675,16.769,0.449,0.014,1530.877,1527.859,3.014,2.944,0.103,0.081,0.208,1.658,92.013,1433.917,0.000,0.000,0.000,0.000,1,548,0,0,0,0,61.84,76.95,12.80,2950.80,176,0
1,3,1785711318939,4.460534946e-05,0.436187,0,112,1,0,1,112,0,0,1.000000,1412.644,3.401,0.420,0.014,1409.385,1406.362,3.019,2.619,0.110,0.045,0.051,2.246,79.165,1324.608,0.000,0.000,0.000,0.000,1,448,0,0,0,0,53.36,76.95,12.03,3107.20,176,0
1,4,1785711320241,3.310347012e-05,0.442970,0,112,1,0,1,112,0,0,1.000000,1297.639,3.658,0.307,0.014,1294.692,1291.716,2.974,2.417,0.110,0.041,0.057,1.710,78.802,1210.976,0.000,0.000,0.000,0.000,1,448,0,0,0,0,48.77,76.95,11.11,3112.25,176,0
1,5,1785711322017,3.195812132e-05,0.442895,0,123,1,0,1,123,0,0,1.000000,1773.798,2.756,0.364,0.014,1770.173,1766.093,4.076,2.930,0.111,0.121,0.085,2.013,78.653,1685.016,0.000,0.000,0.000,0.000,1,492,0,0,0,0,49.31,76.95,16.48,2955.12,176,0
1,6,1785711324201,3.231466759e-05,0.435207,0,119,1,0,1,119,0,0,1.000000,2180.565,3.272,0.441,0.014,2176.011,2172.618,3.389,3.687,0.134,0.063,0.214,1.667,85.508,2085.149,0.000,0.000,0.000,0.000,1,476,0,0,0,0,44.88,76.95,16.73,2876.25,176,0
1,7,1785711326846,3.210228398e-05,0.443372,0,125,1,0,1,125,0,0,1.000000,2640.187,4.350,0.462,0.014,2635.168,2632.126,3.041,4.035,0.148,0.112,0.247,1.541,85.209,2544.986,0.000,0.000,0.000,0.000,1,500,0,0,0,0,50.55,76.95,22.97,2848.97,176,0
1,8,1785711329477,3.112624583e-05,0.446864,0,123,1,0,1,123,0,0,1.000000,2627.962,3.562,0.354,0.016,2620.843,2617.505,3.335,5.672,0.104,0.843,0.129,1.733,120.379,2495.165,0.000,0.000,0.000,0.000,1,492,0,0,0,0,53.41,76.95,17.58,2656.73,176,0
1,9,1785711331368,3.084149874e-05,0.439863,0,120,1,0,1,120,0,0,1.000000,1883.336,4.929,0.354,0.014,1880.082,1876.236,3.842,2.676,0.099,0.066,0.045,3.172,95.839,1776.870,0.000,0.000,0.000,0.000,1,480,0,0,0,0,52.28,76.95,13.31,2856.59,176,0
1,10,1785711334280,3.098388848e-05,0.444766,0,127,1,0,1,127,0,0,1.000000,2909.409,3.074,0.240,0.014,2905.675,2902.514,3.158,3.229,0.103,0.037,0.112,1.954,119.270,2780.969,0.000,0.000,0.000,0.000,1,508,0,0,0,0,46.42,76.95,13.17,3019.33,176,0
1,11,1785711336435,3.081228537e-05,0.447137,0,124,1,0,1,124,0,0,1.000000,2151.004,4.051,0.329,0.014,2146.551,2142.762,3.784,3.150,0.117,0.782,0.059,1.424,190.020,1950.955,0.000,0.000,0.000,0.000,1,496,0,0,0,0,56.48,76.95,21.61,2615.02,176,0
1,12,1785711338358,3.047936025e-05,0.447730,0,125,1,0,1,125,0,0,1.000000,1916.164,5.354,0.385,0.014,1912.989,1910.012,2.974,2.568,0.100,0.057,0.050,1.683,82.506,1825.598,0.000,0.000,0.000,0.000,1,500,0,0,0,0,58.36,76.95,16.38,2784.19,176,0
1,13,1785711340258,3.043814019e-05,0.448080,0,125,1,0,1,125,0,0,1.000000,1897.362,2.831,0.304,0.014,1894.263,1889.691,4.568,2.519,0.109,0.080,0.072,3.838,82.931,1802.594,0.000,0.000,0.000,0.000,1,500,0,0,0,0,46.72,76.95,15.41,2906.14,176,0
1,14,1785711341778,3.033402668e-05,0.449032,0,129,1,0,1,129,0,0,1.000000,1516.471,2.877,0.315,0.014,1512.235,1507.505,4.726,3.612,0.103,0.060,0.132,1.425,75.756,1429.852,0.000,0.000,0.000,0.000,1,516,0,0,0,0,51.31,76.95,15.50,2836.03,176,0
1,15,1785711343867,3.022401384e-05,0.449119,0,128,1,0,1,128,0,0,1.000000,2085.135,3.684,0.401,0.015,2080.225,2077.029,3.192,3.201,0.105,1.039,0.148,1.473,87.419,1987.341,0.000,0.000,0.000,0.000,1,512,0,0,0,0,60.83,76.95,25.47,2793.17,176,0
1,16,1785711348089,3.091261281e-05,0.450247,0,118,1,1,1,118,0,0,1.000000,1859.569,0.000,0.565,0.081,1855.644,1852.313,3.328,3.024,0.104,0.046,0.105,2.166,81.641,1768.263,0.000,0.000,0.000,0.000,1,472,0,0,0,0,53.42,76.95,11.00,2655.30,176,0
1,17,1785711350298,3.085705645e-05,0.446888,0,124,1,1,1,124,0,0,1.000000,2205.761,3.043,1.026,0.080,2201.303,2198.312,2.988,2.695,0.138,0.425,0.094,1.584,93.473,2102.666,0.000,0.000,0.000,0.000,1,496,0,0,0,0,57.98,76.95,23.77,2685.73,176,0
1,18,1785711351919,3.100692694e-05,0.444816,0,118,1,1,1,118,0,0,1.000000,1615.169,5.777,0.469,0.077,1612.053,1609.074,2.977,2.378,0.112,0.044,0.036,3.077,88.776,1516.959,0.000,0.000,0.000,0.000,1,472,0,0,0,0,57.34,76.95,14.11,2667.45,176,0
1,19,1785711353992,3.072841887e-05,0.444624,0,130,1,1,1,130,0,0,1.000000,2069.741,3.550,0.984,0.077,2064.704,2061.332,3.369,3.552,0.116,0.067,0.241,1.587,80.767,1978.551,0.000,0.000,0.000,0.000,1,520,0,0,0,0,49.64,76.95,20.14,2583.38,176,0
1,20,1785711355789,3.053787627e-05,0.447303,0,120,1,1,1,120,0,0,1.000000,1793.802,3.132,0.720,0.078,1789.974,1786.983,2.989,2.711,0.102,0.174,0.043,2.353,82.422,1701.712,0.000,0.000,0.000,0.000,1,480,0,0,0,0,60.53,76.95,16.64,2624.23,176,0
1,21,1785711357731,3.023298158e-05,0.451658,0,136,1,1,1,136,0,0,1.000000,1938.017,3.638,0.501,0.076,1933.674,1930.689,2.982,3.564,0.100,0.059,0.043,1.574,78.743,1850.018,0.000,0.000,0.000,0.000,1,544,0,0,0,0,41.06,76.95,15.34,2810.31,176,0
1,22,1785711359822,2.991634426e-05,0.452178,0,132,1,1,1,132,0,0,1.000000,2087.263,3.665,0.452,0.077,2083.713,2080.581,3.128,2.828,0.100,0.045,0.048,1.246,79.992,1998.950,0.000,0.000,0.000,0.000,1,528,0,0,0,0,43.70,76.95,12.98,2924.12,176,0
1,23,1785711361819,2.98004225e-05,0.452764,0,138,1,1,1,138,0,0,1.000000,1993.060,3.456,1.020,0.077,1987.846,1984.513,3.329,2.907,0.148,0.811,0.252,1.581,85.858,1896.506,0.000,0.000,0.000,0.000,1,552,0,0,0,0,52.08,76.95,21.23,2679.84,176,0
1,24,1785711363520,2.977180818e-05,0.452601,0,135,1,1,1,135,0,0,1.000000,1696.501,3.284,0.483,0.082,1693.213,1690.171,3.039,2.516,0.108,0.054,0.045,2.587,86.266,1600.726,0.000,0.000,0.000,0.000,1,540,0,0,0,0,67.58,76.95,13.72,2665.44,176,0
1,25,1785711365504,2.971185366e-05,0.452730,0,141,1,1,1,141,0,0,1.000000,1979.717,3.824,0.508,0.076,1976.409,1973.399,3.008,2.522,0.100,0.051,0.051,1.412,80.998,1890.744,0.000,0.000,0.000,0.000,1,564,0,0,0,0,68.39,76.95,13.80,2822.73,176,0
1,26,1785711367367,2.965178573e-05,0.452690,0,140,1,1,1,140,0,0,1.000000,1860.442,3.140,0.579,0.126,1856.992,1853.919,3.069,2.535,0.110,0.051,0.049,1.355,79.602,1772.724,0.000,0.000,0.000,0.000,1,560,0,0,0,0,48.88,76.95,13.30,2861.77,176,0
1,27,1785711369469,2.963290926e-05,0.452805,0,142,1,1,1,142,0,0,1.000000,2095.728,3.861,0.451,0.076,2091.780,2088.618,3.160,2.465,0.099,0.805,0.053,1.634,76.907,2009.700,0.000,0.000,0.000,0.000,1,568,0,0,0,0,52.20,76.95,13.56,2913.00,176,0
