
=== 96^3 design-box run, rung 0 (146 iterations) ===
 iter       compliance    c[i]/c[0]  c[i]/c[i-1]        cg  cg/cg[0]     ms/ms[0]
    1          10.6361            1            1     11977         1           -1
    2         0.020697     0.001946     0.001946      5856     0.489           -1
    3       0.00536898    0.0005048       0.2594      5118     0.427           -1
    4       0.00338284    0.0003181       0.6301      5055     0.422           -1
    5       0.00279342    0.0002626       0.8258      4967     0.415           -1
    6       0.00250947    0.0002359       0.8984      4920     0.411           -1
    7       0.00237433    0.0002232       0.9461      4892     0.408           -1
    8       0.00230894    0.0002171       0.9725      4889     0.408           -1
    9       0.00227445    0.0002138       0.9851      4883     0.408           -1
   10       0.00225176    0.0002117         0.99      4877     0.407           -1
   11       0.00223185    0.0002098       0.9912      4874     0.407           -1
   12       0.00221394    0.0002082        0.992      4868     0.406           -1
   13       0.00219732    0.0002066       0.9925      4862     0.406           -1
   14       0.00218184    0.0002051        0.993      4852     0.405           -1
   15       0.00216774    0.0002038       0.9935      4855     0.405           -1
   16        0.0021543    0.0002025       0.9938      4852     0.405           -1
   17        0.0021408    0.0002013       0.9937      4852     0.405           -1
   18       0.00212619    0.0001999       0.9932      4848     0.405           -1
   19       0.00211191    0.0001986       0.9933      4842     0.404           -1
   20       0.00209874    0.0001973       0.9938      4836     0.404           -1
   21       0.00208658    0.0001962       0.9942      4829     0.403           -1
   22       0.00207584    0.0001952       0.9949      4831     0.403           -1
   23       0.00206569    0.0001942       0.9951      4832     0.403           -1
   24       0.00205606    0.0001933       0.9953      4836     0.404           -1
   25       0.00204657    0.0001924       0.9954      4838     0.404           -1
   26       0.00203781    0.0001916       0.9957      4842     0.404           -1
   27        0.0020303    0.0001909       0.9963      4841     0.404           -1
   28       0.00202308    0.0001902       0.9964      4832     0.403           -1
   29       0.00201548    0.0001895       0.9962      4767     0.398           -1
   30       0.00200807    0.0001888       0.9963      4756     0.397           -1
   31       0.00200151    0.0001882       0.9967      4754     0.397           -1
   32       0.00199554    0.0001876        0.997      4752     0.397           -1
   33       0.00199056    0.0001872       0.9975      4749     0.397           -1
   34        0.0019858    0.0001867       0.9976      4745     0.396           -1
   35       0.00198152    0.0001863       0.9978      4740     0.396           -1
   36       0.00197739    0.0001859       0.9979      4636     0.387           -1
   37       0.00197368    0.0001856       0.9981      4625     0.386           -1
   38       0.00197039    0.0001853       0.9983      4620     0.386           -1
   39       0.00196719     0.000185       0.9984      4616     0.385           -1
   40       0.00196409    0.0001847       0.9984      4617     0.385           -1
   41       0.00196086    0.0001844       0.9984      4617     0.385           -1
   42       0.00195766    0.0001841       0.9984      4622     0.386           -1
   43       0.00195412    0.0001837       0.9982      4629     0.386           -1
   44       0.00195083    0.0001834       0.9983      4623     0.386           -1
   45        0.0019475    0.0001831       0.9983      4620     0.386           -1
   46        0.0019439    0.0001828       0.9981      4621     0.386           -1
   47        0.0019401    0.0001824        0.998      4621     0.386           -1
   48       0.00193648    0.0001821       0.9981      4616     0.385           -1
   49       0.00193252    0.0001817        0.998      4669      0.39           -1
   50       0.00192814    0.0001813       0.9977      4672      0.39           -1
   51       0.00192323    0.0001808       0.9975      4673      0.39           -1
   52       0.00191807    0.0001803       0.9973      4673      0.39           -1
   53       0.00191291    0.0001799       0.9973      4671      0.39           -1
   54       0.00190792    0.0001794       0.9974      4669      0.39           -1
   55       0.00190325    0.0001789       0.9976      4666      0.39           -1
   56       0.00189908    0.0001786       0.9978      4664     0.389           -1
   57       0.00189548    0.0001782       0.9981      4664     0.389           -1
   58       0.00189171    0.0001779        0.998      4631     0.387           -1
   59       0.00188792    0.0001775        0.998      4616     0.385           -1
   60       0.00188426    0.0001772       0.9981      4620     0.386           -1
