rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785734679918,456.9024949,0.074077,0,113,1,0,1,113,0,0,1.000000,2491.424,0.000,1.890,0.033,2475.163,2466.256,8.906,13.877,0.247,0.091,0.123,6.486,605.174,1853.194,0.000,0.000,0.000,0.000,1,452,0,0,0,0,258.39,272.27,0.00,4650.72,593,0
0,2,1785734681926,528.9555581,0.068622,0,85,1,0,1,85,0,0,1.000000,2007.912,0.003,1.564,0.042,1994.079,1985.443,8.635,11.906,0.217,0.040,0.063,5.058,585.073,1394.444,0.000,0.000,0.000,0.000,1,340,0,0,0,0,276.80,290.67,0.00,4771.06,593,0
0,3,1785734684030,240.8393606,0.066394,0,96,1,0,1,96,0,0,1.000000,2104.086,0.002,1.532,0.041,2089.030,2079.118,9.910,13.125,0.226,0.050,0.082,4.053,544.774,1529.337,0.000,0.000,0.000,0.000,1,384,0,0,0,0,276.13,290.70,0.00,4755.11,593,0
0,4,1785734685668,152.3994622,0.074388,0,62,1,0,1,62,0,0,1.000000,1637.498,0.005,1.861,0.032,1622.378,1613.373,9.002,12.875,0.224,0.045,0.085,4.257,575.220,1033.008,0.000,0.000,0.000,0.000,1,248,0,0,0,0,280.00,293.86,0.00,4784.12,593,0
0,5,1785734687298,53.9341064,0.084634,0,62,1,0,1,62,0,0,1.000000,1629.842,0.004,1.708,0.034,1615.195,1605.156,10.038,12.548,0.231,0.051,0.075,5.298,583.369,1015.605,0.000,0.000,0.000,0.000,1,248,0,0,0,0,284.14,298.00,0.00,4743.61,593,0
0,6,1785734688838,31.16085628,0.087792,0,64,1,0,1,64,0,0,1.000000,1539.870,0.003,1.618,0.032,1525.675,1516.912,8.761,12.224,0.220,0.034,0.068,4.203,575.210,936.623,0.000,0.000,0.000,0.000,1,256,0,0,0,0,284.16,298.02,0.00,4792.50,593,0
0,7,1785734690514,23.81080527,0.088577,0,61,1,0,1,61,0,0,1.000000,1675.887,0.003,1.640,0.032,1660.435,1651.495,8.939,13.331,0.229,0.037,0.182,3.880,583.425,1063.287,0.000,0.000,0.000,0.000,1,244,0,0,0,0,237.22,298.06,0.00,4733.55,593,0
0,8,1785734692199,19.93403242,0.088808,0,54,1,0,1,54,0,0,1.000000,1685.820,0.006,1.643,0.036,1670.680,1661.490,9.187,12.979,0.365,0.032,0.085,4.194,597.217,1059.215,0.000,0.000,0.000,0.000,1,216,0,0,0,0,254.45,298.06,0.00,4343.84,593,0
0,9,1785734694026,17.12286582,0.088807,0,73,1,0,1,73,0,0,1.000000,1826.060,0.004,1.622,0.032,1811.536,1802.590,8.944,12.509,0.237,0.045,0.080,4.721,592.355,1204.650,0.000,0.000,0.000,0.000,1,292,0,0,0,0,278.45,298.06,13.09,4372.72,593,0
0,10,1785734695623,14.81639737,0.088791,0,67,1,0,1,67,0,0,1.000000,1597.136,0.017,1.827,0.038,1579.532,1568.470,11.059,15.306,0.302,0.046,0.086,3.952,564.419,999.212,0.000,0.000,0.000,0.000,1,268,0,0,0,0,280.09,298.06,13.06,4503.62,593,0
0,11,1785734697460,12.87074465,0.088830,0,64,1,0,1,64,0,0,1.000000,1837.497,0.004,1.549,0.032,1823.013,1814.111,8.900,12.566,0.225,0.044,0.068,4.189,763.166,1044.731,0.000,0.000,0.000,0.000,1,256,0,0,0,0,286.95,298.06,9.67,4715.91,593,0
0,12,1785734699068,11.2710799,0.088902,0,60,1,0,1,60,0,0,1.000000,1607.484,0.003,1.559,0.032,1592.624,1583.775,8.848,12.596,0.228,0.375,0.070,4.282,568.596,1010.040,0.000,0.000,0.000,0.000,1,240,0,0,0,0,286.95,298.06,9.67,4721.08,593,0
0,13,1785734700708,9.967969177,0.089027,0,62,1,0,1,62,0,0,1.000000,1640.311,0.004,1.844,0.031,1621.322,1610.843,10.474,16.751,0.247,0.052,0.064,4.170,579.346,1026.465,0.000,0.000,0.000,0.000,1,248,0,0,0,0,286.97,298.06,9.66,4253.75,593,0
0,14,1785734702631,8.926855542,0.089229,0,90,1,0,1,90,0,0,1.000000,1922.399,0.003,1.599,0.031,1905.908,1895.452,10.451,14.503,0.244,0.043,0.071,5.311,582.668,1306.615,0.000,0.000,0.000,0.000,1,360,0,0,0,0,286.97,298.06,9.66,4624.16,593,0
0,15,1785734704446,8.144732137,0.089489,0,74,1,0,1,74,0,0,1.000000,1814.595,0.002,2.517,0.031,1797.278,1786.750,10.525,14.414,0.233,0.047,0.075,4.248,571.588,1209.932,0.000,0.000,0.000,0.000,1,296,0,0,0,0,286.97,298.06,9.66,4568.11,593,0
0,16,1785734706357,7.593275157,0.089712,0,79,1,0,1,79,0,0,1.000000,1911.112,0.006,1.803,0.038,1895.922,1886.167,9.752,12.994,0.232,0.052,0.071,4.814,572.676,1307.800,0.000,0.000,0.000,0.000,1,316,0,0,0,0,286.99,298.06,9.66,4509.45,593,0
0,17,1785734708242,7.203372743,0.089891,0,81,1,0,1,81,0,0,1.000000,1884.580,0.008,1.601,0.033,1870.209,1861.546,8.661,12.399,0.231,0.043,0.064,4.298,576.921,1279.321,0.000,0.000,0.000,0.000,1,324,0,0,0,0,287.00,298.06,14.41,4389.69,593,0
0,18,1785734710369,6.927590416,0.090037,0,87,1,0,1,87,0,0,1.000000,2126.950,0.003,1.575,0.032,2111.727,2102.908,8.816,13.279,0.224,0.045,0.069,4.113,565.301,1532.653,0.000,0.000,0.000,0.000,1,348,0,0,0,0,287.00,298.06,14.44,4514.36,593,0
0,19,1785734712326,6.728504289,0.090139,0,83,1,0,1,83,0,0,1.000000,1957.442,0.003,1.654,0.032,1941.996,1932.932,9.062,13.404,0.235,0.053,0.069,4.463,572.727,1354.889,0.000,0.000,0.000,0.000,1,332,0,0,0,0,287.02,298.06,14.39,4658.69,593,0
0,20,1785734714288,6.590811234,0.090204,0,88,1,0,1,88,0,0,1.000000,1961.346,0.003,1.596,0.032,1947.484,1938.835,8.648,11.921,0.214,0.036,0.063,4.441,556.240,1377.282,0.000,0.000,0.000,0.000,1,352,0,0,0,0,287.02,298.06,14.34,4512.14,593,0
0,21,1785734716381,6.487237587,0.090250,0,77,1,0,1,77,0,0,1.000000,2093.860,0.011,1.576,0.031,2079.213,2069.600,9.611,12.681,0.243,0.045,0.072,4.007,594.425,1470.309,0.000,0.000,0.000,0.000,1,308,0,0,0,0,287.03,298.06,14.31,4462.97,593,0
0,22,1785734718260,6.400383672,0.090322,0,72,1,0,1,72,0,0,1.000000,1878.412,0.031,1.671,0.037,1863.716,1854.533,9.181,12.645,0.228,0.055,0.060,4.320,580.016,1269.341,0.000,0.000,0.000,0.000,1,288,0,0,0,0,287.03,298.06,14.31,4655.95,593,0
0,23,1785734720407,6.335995017,0.090357,0,86,1,0,1,86,0,0,1.000000,2146.670,0.006,1.748,0.033,2128.775,2119.302,9.413,15.544,0.269,0.046,0.255,3.938,589.514,1524.769,0.000,0.000,0.000,0.000,1,344,0,0,0,0,287.05,298.06,14.31,4619.75,593,0
0,24,1785734722214,6.292904623,0.090372,0,79,1,0,1,79,0,0,1.000000,1807.567,0.003,1.745,0.031,1792.456,1783.579,8.875,12.995,0.223,0.043,0.073,4.989,600.140,1177.596,0.000,0.000,0.000,0.000,1,316,0,0,0,0,287.05,298.06,14.31,4613.72,593,0
