rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785715274283,4633.601462,0.045617,0,104,1,0,1,104,0,0,1.000000,2634.832,0.000,2.329,0.033,2618.070,2608.864,9.203,13.906,0.222,0.053,0.219,7.328,606.052,1994.139,0.000,0.000,0.000,0.000,1,416,0,0,0,0,261.66,275.56,0.00,4723.38,158,0
0,2,1785715277071,3345717.806,0.036923,0,120,1,0,1,120,0,0,1.000000,2787.648,0.003,1.774,0.031,2767.709,2758.663,9.042,17.403,0.524,0.137,0.069,5.597,601.153,2151.006,0.000,0.000,0.000,0.000,1,480,0,0,0,0,270.24,284.12,0.00,4747.55,158,0
0,3,1785715342168,1945335.808,0.034244,0,833,0,0,1,300,0,0,1.000000,65096.743,0.013,2.236,0.033,65072.505,65061.617,10.880,20.678,0.314,0.259,0.718,4.690,609.161,5342.880,3523.949,52328.567,3092.637,158.405,1,3284,1246,3,500,0,480.92,427.64,265.64,4314.48,165,0
0,4,1785715346009,259945.8987,0.034549,0,142,1,0,1,142,0,0,1.000000,3840.726,0.011,1.692,0.033,3823.272,3813.430,9.837,15.335,0.233,0.071,0.089,8.160,688.147,3115.712,0.000,0.000,0.000,0.000,1,568,0,0,0,0,480.75,427.64,134.83,4281.58,165,0
0,5,1785715351613,22321.93306,0.030341,0,224,1,0,1,224,0,0,1.000000,5604.158,0.004,1.625,0.034,5582.831,5573.431,9.397,17.995,0.291,0.792,0.590,4.719,667.248,4900.225,0.000,0.000,0.000,0.000,1,896,0,0,0,0,484.77,427.64,323.23,3966.56,165,0
0,6,1785715355088,1963.238069,0.041673,0,124,1,0,1,124,0,0,1.000000,3473.794,0.009,1.710,0.033,3458.450,3449.016,9.430,13.247,0.231,0.049,0.075,6.926,739.926,2700.938,0.000,0.000,0.000,0.000,1,496,0,0,0,0,484.77,427.64,234.27,3981.69,165,0
0,7,1785715357655,459.61995,0.051671,0,94,1,0,1,94,0,0,1.000000,2567.048,0.004,2.092,0.033,2550.202,2541.154,9.046,14.325,0.250,0.051,0.096,4.327,632.641,1903.279,0.000,0.000,0.000,0.000,1,376,0,0,0,0,484.78,427.64,210.59,3934.66,165,0
0,8,1785715359390,191.1830261,0.056469,0,51,1,0,1,51,0,0,1.000000,1735.641,0.003,1.790,0.035,1716.795,1706.559,10.233,16.358,0.222,0.372,0.068,4.572,638.007,1062.809,0.000,0.000,0.000,0.000,1,204,0,0,0,0,484.78,427.64,209.12,3934.52,165,0
0,9,1785715360991,121.1807257,0.058019,0,47,1,0,1,47,0,0,1.000000,1600.392,0.004,1.616,0.033,1585.098,1575.912,9.184,13.316,0.221,0.045,0.063,4.048,635.454,935.549,0.000,0.000,0.000,0.000,1,188,0,0,0,0,484.78,427.64,211.03,3900.62,165,0
0,10,1785715362538,94.71750736,0.058536,0,47,1,0,1,47,0,0,1.000000,1547.259,0.002,1.699,0.031,1527.504,1518.275,9.225,17.472,0.234,0.053,0.267,4.212,617.687,895.327,0.000,0.000,0.000,0.000,1,188,0,0,0,0,484.80,427.64,211.22,4027.45,165,0
0,11,1785715364128,78.99782322,0.058824,0,47,1,0,1,47,0,0,1.000000,1589.839,0.005,2.177,0.031,1572.571,1562.693,9.875,14.679,0.228,0.075,0.078,5.271,640.366,916.178,0.000,0.000,0.000,0.000,1,188,0,0,0,0,484.84,427.64,200.20,3987.23,165,0
0,12,1785715365829,68.69401048,0.059096,0,51,1,0,1,51,0,0,1.000000,1701.204,0.004,1.867,0.033,1684.914,1675.912,8.999,14.043,0.232,0.043,0.072,4.330,633.497,1036.856,0.000,0.000,0.000,0.000,1,204,0,0,0,0,484.84,427.64,200.20,4008.97,165,0
0,13,1785715367458,61.58552758,0.059283,0,51,1,0,1,51,0,0,1.000000,1629.054,0.003,1.647,0.033,1612.638,1602.822,9.812,14.394,0.224,0.049,0.070,4.366,632.153,965.369,0.000,0.000,0.000,0.000,1,204,0,0,0,0,484.84,427.64,200.16,4007.53,165,0
0,14,1785715369433,56.45057909,0.059480,0,54,1,0,1,54,0,0,1.000000,1975.252,0.003,1.659,0.032,1953.562,1944.533,9.027,18.780,0.292,0.374,0.554,4.103,646.183,1293.149,0.000,0.000,0.000,0.000,1,216,0,0,0,0,484.84,427.64,248.02,4007.73,165,0
0,15,1785715371374,52.60715865,0.059601,0,61,1,0,1,61,0,0,1.000000,1940.389,0.006,1.875,0.033,1920.779,1908.311,12.465,17.332,0.230,0.057,0.082,5.679,598.262,1303.426,0.000,0.000,0.000,0.000,1,244,0,0,0,0,484.84,427.64,202.16,4094.81,165,0
0,16,1785715373113,49.79923083,0.059643,0,53,1,0,1,53,0,0,1.000000,1739.280,0.003,1.637,0.033,1723.742,1714.291,9.447,13.508,0.231,0.051,0.079,5.055,656.144,1052.143,0.000,0.000,0.000,0.000,1,212,0,0,0,0,484.86,427.64,202.11,5049.72,165,0
0,17,1785715374749,47.4405615,0.059757,0,51,1,0,1,51,0,0,1.000000,1635.922,0.003,1.598,0.032,1620.216,1610.205,10.009,13.543,0.412,0.046,0.074,4.035,611.842,993.440,0.000,0.000,0.000,0.000,1,204,0,0,0,0,484.86,427.64,202.02,4931.42,165,0
0,18,1785715376374,45.44998777,0.059875,0,51,1,0,1,51,0,0,1.000000,1624.284,0.003,1.626,0.037,1609.016,1599.754,9.259,13.266,0.230,0.034,0.074,3.924,594.362,1000.609,0.000,0.000,0.000,0.000,1,204,0,0,0,0,484.86,427.64,201.97,4971.44,165,0
0,19,1785715377943,43.93963521,0.059971,0,53,1,0,1,53,0,0,1.000000,1569.416,0.003,1.630,0.032,1552.899,1542.256,10.639,14.485,0.225,0.071,0.074,4.851,571.042,965.459,0.000,0.000,0.000,0.000,1,212,0,0,0,0,484.88,427.64,201.94,4815.44,165,0
0,20,1785715379700,42.72302364,0.060061,0,56,1,0,1,56,0,0,1.000000,1757.075,0.003,1.660,0.032,1740.613,1729.783,10.828,14.423,0.228,0.053,0.065,4.456,651.357,1073.075,0.000,0.000,0.000,0.000,1,224,0,0,0,0,484.88,427.64,201.83,4661.38,165,0
0,21,1785715381715,41.79209558,0.060114,0,67,1,0,1,67,0,0,1.000000,2015.192,0.003,1.712,0.038,1998.167,1987.712,10.452,14.178,0.250,0.777,0.070,5.385,628.404,1353.016,0.000,0.000,0.000,0.000,1,268,0,0,0,0,484.88,427.64,201.56,4216.33,165,0
0,22,1785715383517,41.09460139,0.060143,0,54,1,0,1,54,0,0,1.000000,1801.142,0.004,1.681,0.032,1784.794,1775.397,9.393,14.232,0.229,0.053,0.122,5.446,634.001,1135.060,0.000,0.000,0.000,0.000,1,216,0,0,0,0,484.88,427.64,201.62,4209.25,165,0
0,23,1785715385164,40.52732469,0.060168,0,50,1,0,1,50,0,0,1.000000,1647.048,0.004,1.598,0.033,1632.279,1623.533,8.743,12.796,0.220,0.047,0.076,4.251,617.958,1000.425,0.000,0.000,0.000,0.000,1,200,0,0,0,0,484.88,427.64,200.88,4261.61,165,0
0,24,1785715386957,40.04055993,0.060200,0,55,1,0,1,55,0,0,1.000000,1792.740,0.003,1.604,0.031,1775.276,1766.304,8.970,15.480,0.229,0.053,0.067,4.427,614.939,1146.096,0.000,0.000,0.000,0.000,1,220,0,0,0,0,484.88,427.64,200.88,4242.92,165,0
0,25,1785715388689,39.63218178,0.060213,0,54,1,0,1,54,0,0,1.000000,1731.968,0.003,1.658,0.032,1714.672,1705.352,9.318,14.384,0.236,0.921,0.064,5.852,634.043,1064.569,0.000,0.000,0.000,0.000,1,216,0,0,0,0,484.88,427.64,198.38,4337.86,165,0
0,26,1785715390402,39.27276695,0.060229,0,55,1,0,1,55,0,0,1.000000,1713.011,0.004,1.880,0.034,1695.524,1686.196,9.324,15.207,0.229,0.055,0.082,4.086,632.772,1048.480,0.000,0.000,0.000,0.000,1,220,0,0,0,0,484.88,427.64,198.38,4302.08,165,0
