# M2_verticalStand.step, worker run 4dabe3b8512d4d59 (no design box) — the run whose
# receipt read 'strut radius 0.00-0.65 mm' and 'filled at 0% density'.
# GRADED law (fixed cell), forecast only. rung 3 = 0.26, the rung the app re-latticed.
rung_index	min_extrudable_width_mm	cell_mm	would_lattice_voxels	region_voxels	latticed_fraction	printability_floor_mm	widest_rejected_member_mm	member_width_needed_mm
0	0.42	8.0	774	9628	0.0804	4.603	37.51614466	40
0	0.42	4.6	1295	9628	0.1345	4.603	20.46335163	23.01309966
0	0.42	3.0	1295	9628	0.1345	4.603	20.46335163	23.01309966
0	0.3	8.0	774	9628	0.0804	3.288	37.51614466	40
0	0.3	4.6	1295	9628	0.1345	3.288	20.46335163	23
0	0.3	3.0	1581	9628	0.1642	3.288	13.64223442	16.43792833
0	0.25	8.0	774	9628	0.0804	2.740	37.51614466	40
0	0.25	4.6	1295	9628	0.1345	2.740	20.46335163	23
0	0.25	3.0	1581	9628	0.1642	2.740	13.64223442	15
0	0.2	8.0	774	9628	0.0804	2.192	37.51614466	40
0	0.2	4.6	1295	9628	0.1345	2.192	20.46335163	23
0	0.2	3.0	1581	9628	0.1642	2.192	13.64223442	15
3	0.42	8.0	0	9281	0.0000	4.603	13.64223442	40
3	0.42	4.6	0	9281	0.0000	4.603	13.64223442	23.01309966
3	0.42	3.0	0	9281	0.0000	4.603	13.64223442	23.01309966
3	0.3	8.0	0	9281	0.0000	3.288	13.64223442	40
3	0.3	4.6	0	9281	0.0000	3.288	13.64223442	23
3	0.3	3.0	0	9281	0.0000	3.288	13.64223442	16.43792833
3	0.25	8.0	0	9281	0.0000	2.740	13.64223442	40
3	0.25	4.6	0	9281	0.0000	2.740	13.64223442	23
3	0.25	3.0	0	9281	0.0000	2.740	13.64223442	15
3	0.2	8.0	0	9281	0.0000	2.192	13.64223442	40
3	0.2	4.6	0	9281	0.0000	2.192	13.64223442	23
3	0.2	3.0	0	9281	0.0000	2.192	13.64223442	15
