band rho [0.0505, 0.8999]   N* = 5.00   w_min = 0.42 mm
phi(rho_min) = 0.091252 mm of strut per mm of cell
phi(rho_max) = 0.383575 mm of strut per mm of cell
SHIPPED floor cell  = w_min/phi(rho_min) = 4.6026 mm  -> N* cells span 23.0131 mm
DERIVED floor cell  = w_min/phi(rho_max) = 1.0950 mm  -> N* cells span 5.4748 mm

wall_mm    voxels       tau_mm     latticed   solid_back    cell_mm
2.00       4              2.00            0        57600     4.6026
4.00       8              4.00            0       115200     4.6026
5.50       11             6.00            0       158400     4.6026
6.00       12             6.00            0       172800     4.6026
8.00       16             8.00            0       230400     4.6026
12.00      24            12.00            0       345600     4.6026
16.00      32            16.00            0       460800     4.6026
23.00      46            23.00            0       662400     4.6026
24.00      48            24.00       583408       107792     4.6026
28.00      56            28.00       695248       111152     4.6026
