angle_deg,radius_mm
-108.218,20.04
-107.518,20.1825
-105.118,20.1879
-102.896,19.9611
-100.62,19.7793
-98.2971,19.6461
-95.9469,19.5457
-93.5763,19.4784
-91.1935,19.4447
-88.8065,19.4447
-86.4237,19.4784
-84.0531,19.5457
-81.7029,19.6461
-79.3803,19.7793
-77.1035,19.9611
-74.8821,20.1879
-72.4816,20.1825
-71.7823,20.04
-110.171,19.4163
-69.8288,19.4163
-118.625,19.8405
-117.856,19.9364
-115.474,19.7747
-113.393,19.3818
-110.917,19.2854
-69.0831,19.2854
-66.6072,19.3818
-64.5258,19.7747
-62.1443,19.9364
-61.3748,19.8405
-120.893,19.3507
-59.1071,19.3507
-128.892,20.2938
-128.115,20.3411
-125.889,20.0358
-124.072,19.5194
-121.7,19.2691
-58.3005,19.2691
-55.9285,19.5194
-54.1112,20.0358
-51.8853,20.3411
-51.1084,20.2938
-131.369,19.968
-48.631,19.968
-135.331,20.1637
-134.669,20.1637
-132.048,19.9554
-47.9516,19.9554
-45.3308,20.1637
-44.6692,20.1637
-137.952,19.9554
-42.0484,19.9554
-141.885,20.3411
-141.108,20.2938
-138.631,19.968
-41.369,19.968
-38.8916,20.2938
-38.1147,20.3411
-144.111,20.0358
-35.8888,20.0358
-145.928,19.5194
-34.0715,19.5193
-148.3,19.2691
-31.6995,19.2691
-152.144,19.9364
-151.375,19.8405
-149.107,19.3507
-30.8929,19.3507
-28.6252,19.8405
-27.8557,19.9365
-154.526,19.7747
-25.4742,19.7747
-156.607,19.3818
-23.3928,19.3818
-159.083,19.2854
-20.9169,19.2854
-162.482,20.1825
-161.782,20.04
-159.829,19.4163
-20.1712,19.4163
-18.2177,20.04
-17.5184,20.1824
-164.882,20.1879
-15.1179,20.1879
-167.104,19.9611
-12.8965,19.9611
-169.38,19.7793
-10.6197,19.7793
-171.703,19.6461
-8.29714,19.6461
-174.053,19.5457
-5.94687,19.5457
-176.424,19.4784
-3.57633,19.4784
-178.807,19.4447
-1.19349,19.4447
178.807,19.4447
1.19349,19.4447
176.424,19.4784
3.57633,19.4784
174.053,19.5457
5.94686,19.5457
171.703,19.6461
8.29715,19.6461
169.38,19.7793
10.6197,19.7793
167.104,19.9611
12.8965,19.9611
164.882,20.1879
15.1179,20.1879
162.482,20.1825
17.5184,20.1824
161.782,20.04
159.829,19.4163
159.083,19.2854
20.1711,19.4163
20.9169,19.2854
18.2177,20.04
156.607,19.3818
23.3928,19.3818
154.526,19.7747
25.4742,19.7747
152.144,19.9364
27.8557,19.9365
151.375,19.8405
149.107,19.3507
148.3,19.2691
30.8929,19.3507
31.6995,19.2691
28.6252,19.8405
145.928,19.5194
34.0715,19.5194
144.111,20.0358
35.8888,20.0358
141.885,20.3411
38.1147,20.3411
141.108,20.2938
138.631,19.968
137.952,19.9554
41.369,19.968
42.0484,19.9554
38.8916,20.2938
135.331,20.1637
44.6692,20.1637
134.669,20.1637
132.048,19.9554
131.369,19.968
47.9516,19.9554
48.631,19.968
45.3308,20.1637
128.892,20.2938
51.1084,20.2938
128.115,20.3411
125.889,20.0358
124.072,19.5193
121.7,19.2691
120.893,19.3507
58.3005,19.2691
59.1071,19.3507
55.9285,19.5194
54.1112,20.0358
51.8853,20.3411
118.625,19.8405
61.3748,19.8405
117.856,19.9365
115.474,19.7747
113.393,19.3818
110.917,19.2854
110.171,19.4163
69.0831,19.2854
69.8289,19.4163
66.6072,19.3818
64.5258,19.7747
62.1443,19.9365
108.218,20.04
71.7823,20.04
107.518,20.1824
105.118,20.1879
102.896,19.9611
100.62,19.7793
98.2971,19.6461
95.9469,19.5457
93.5763,19.4784
91.1935,19.4447
88.8065,19.4447
86.4237,19.4784
84.0531,19.5457
81.7029,19.6461
79.3803,19.7793
77.1035,19.9611
74.8821,20.1879
72.4816,20.1824
-108.218,20.04
-107.518,20.1825
-105.118,20.1879
-102.896,19.9611
-100.62,19.7793
-98.2971,19.6461
-95.9469,19.5457
-93.5763,19.4784
-91.1935,19.4447
-88.8065,19.4447
-86.4237,19.4784
-84.0531,19.5457
-81.7029,19.6461
-79.3803,19.7793
-77.1035,19.9611
-74.8821,20.1879
-72.4816,20.1825
-71.7823,20.04
-110.171,19.4163
-69.8288,19.4163
-118.625,19.8405
-117.856,19.9364
-115.474,19.7747
-113.393,19.3818
-110.917,19.2854
-69.0831,19.2854
-66.6072,19.3818
-64.5258,19.7747
-62.1443,19.9364
-61.3748,19.8405
-120.893,19.3507
-59.1071,19.3507
-128.892,20.2938
-128.115,20.3411
-125.889,20.0358
-124.072,19.5194
-121.7,19.2691
-58.3005,19.2691
-55.9285,19.5194
-54.1112,20.0358
-51.8853,20.3411
-51.1084,20.2938
-131.369,19.968
-48.631,19.968
-135.331,20.1637
-134.669,20.1637
-132.048,19.9554
-47.9516,19.9554
-45.3308,20.1637
-44.6692,20.1637
-137.952,19.9554
-42.0484,19.9554
-141.885,20.3411
-141.108,20.2938
-138.631,19.968
-41.369,19.968
-38.8916,20.2938
-38.1147,20.3411
-144.111,20.0358
-35.8888,20.0358
-145.928,19.5194
-34.0715,19.5193
-148.3,19.2691
-31.6995,19.2691
-152.144,19.9364
-151.375,19.8405
-149.107,19.3507
-30.8929,19.3507
-28.6252,19.8405
-27.8557,19.9365
-154.526,19.7747
-25.4742,19.7747
-156.607,19.3818
-23.3928,19.3818
-159.083,19.2854
-20.9169,19.2854
-162.482,20.1825
-161.782,20.04
-159.829,19.4163
-20.1712,19.4163
-18.2177,20.04
-17.5184,20.1824
-164.882,20.1879
-15.1179,20.1879
-167.104,19.9611
-12.8965,19.9611
-169.38,19.7793
-10.6197,19.7793
-171.703,19.6461
-8.29714,19.6461
-174.053,19.5457
-5.94687,19.5457
