angle_deg,radius_mm
-70.0134,19.6456
-59.395,19.5684
-48.993,20.2601
-42.5656,20.1832
-32.2802,19.5848
-21.6413,19.5188
152.768,19.6741
135.822,20.1344
118.971,19.6454
-108.494,19.8733
-106.915,20.0547
-105.166,20.1228
-103.124,20.0468
-100.834,19.8782
-98.4137,19.694
-95.9702,19.5488
-93.5564,19.4597
-91.1762,19.4199
-88.8112,19.4188
-86.437,19.4565
-84.0312,19.543
-81.5941,19.686
-79.178,19.8697
-76.8899,20.0398
-74.8407,20.1195
-73.0684,20.0565
-71.5485,19.86
-109.994,19.6525
-70.0381,19.6448
-118.958,19.652
-117.222,19.6643
-115.392,19.6099
-113.483,19.5267
-111.644,19.5217
-68.3725,19.5138
-66.5223,19.5197
-64.6057,19.6041
-61.0728,19.6242
-120.6,19.5749
-59.4063,19.5618
-129.435,20.2663
-127.718,20.157
-125.942,19.9332
-124.1,19.6964
-122.301,19.5654
-57.6814,19.5669
-55.8673,19.7136
-54.0349,19.9535
-52.2828,20.1648
-50.5776,20.2725
-131.026,20.2672
-48.9441,20.2588
-135.777,20.1213
-134.177,20.1214
-132.591,20.1895
-47.3707,20.1906
-45.7759,20.1419
-44.1792,20.1246
-137.373,20.1686
-42.5965,20.1737
-142.324,20.1531
-140.595,20.266
-138.977,20.2455
-40.9901,20.2482
-39.3736,20.2587
-37.6833,20.162
-144.078,19.9503
-35.8989,19.9486
-145.887,19.7186
-34.0801,19.7144
-147.684,19.5749
-32.3061,19.5764
-152.796,19.6663
-151.076,19.6329
-149.407,19.5667
-30.5782,19.568
-27.2019,19.6573
-154.626,19.6114
-25.3754,19.6013
-156.534,19.5271
-23.4716,19.52
-158.379,19.5196
-21.6333,19.5168
-163.098,20.0567
-161.554,19.8632
-160.042,19.6466
-19.9716,19.6437
-18.4688,19.8691
-16.9158,20.0552
-164.85,20.1194
-15.1694,20.1203
-166.896,20.038
-13.1383,20.0417
-169.19,19.8674
-10.8565,19.8715
-171.611,19.6846
-8.43714,19.6869
-174.048,19.5425
-5.99203,19.5427
-176.45,19.4567
-3.57847,19.456
-178.82,19.4192
-1.19951,19.4189
178.819,19.42
1.16807,19.4207
176.44,19.4594
3.55254,19.4609
174.024,19.5484
5.97565,19.5497
171.578,19.6944
8.43306,19.695
169.159,19.8799
10.8673,19.8802
166.875,20.049
13.1648,20.0501
164.839,20.1235
15.205,20.1265
163.089,20.052
16.9439,20.0565
161.537,19.8675
158.349,19.5264
19.9702,19.6451
21.685,19.5251
18.4686,19.8627
156.516,19.5255
23.5163,19.5303
154.612,19.6035
25.4215,19.6143
152.781,19.6538
27.2528,19.6686
151.062,19.6373
147.703,19.572
30.6235,19.5702
32.3808,19.5755
28.9639,19.6374
145.918,19.6963
34.1443,19.6985
144.08,19.93
35.9528,19.929
142.291,20.156
37.7252,20.156
140.595,20.2506
137.386,20.1798
41.0315,20.2615
42.6553,20.2157
39.4122,20.2742
135.788,20.1208
44.2447,20.1384
134.216,20.1242
131.054,20.2496
47.4029,20.1782
49.0137,20.2259
45.8266,20.1211
129.412,20.2633
50.6327,20.2512
127.718,20.1472
125.921,19.923
124.1,19.6959
120.616,19.5714
57.6893,19.5751
59.4394,19.5792
55.9055,19.7156
54.0886,19.9493
52.3195,20.159
118.916,19.6259
61.0878,19.6368
117.213,19.6581
115.389,19.6091
113.489,19.5321
109.966,19.6491
68.3708,19.5173
70.0435,19.6565
66.5299,19.5235
64.6204,19.6066
62.7908,19.6623
108.441,19.862
71.5583,19.8681
106.91,20.0568
105.178,20.1283
103.151,20.0525
100.866,19.8821
98.441,19.6959
95.9885,19.5499
93.5667,19.4608
91.1811,19.4208
88.812,19.4193
86.4332,19.4565
84.0218,19.5429
81.5785,19.6859
79.1574,19.8688
76.8699,20.0382
74.8342,20.1175
73.0927,20.054
-108.453,19.864
