enforce,pairs_requested,pairs_applied,lambda,k_pb,oblique_max_dev_mm,oblique_rms_dev_mm,oblique_p99_dev_mm,all_max_dev_mm,all_rms_dev_mm,dihedral_rms_deg,max_shift_mm,volume_drift,volume_drift_bound,min_feature_baseline,min_feature_after,min_feature_limited,wall_s
baseline,0,0,,,0.956632,0.342383,0.709116,0.964531,0.383709,9.0315,,,,6,6,,
on,1,1,0.33,0.1,0.94651,0.340459,0.708961,0.978066,0.383082,8.88001,0.073256,3.86136e-05,0.000281541,6,6,no,0.0227755
on,2,2,0.33,0.1,0.938119,0.338775,0.708729,0.989737,0.382451,8.8979,0.132213,7.77465e-05,0.000563161,6,6,no,0.0282827
on,3,3,0.33,0.1,0.931174,0.337276,0.706771,0.994161,0.38189,8.93129,0.17957,0.000116939,0.00084486,6,6,no,0.0347025
on,5,5,0.33,0.1,0.920709,0.334682,0.701665,0.981578,0.380899,8.97771,0.250939,0.000194657,0.0014085,6,6,no,0.0486706
on,8,8,0.33,0.1,0.911024,0.331528,0.695091,0.969894,0.379595,8.9552,0.318526,0.000308623,0.00225455,6,6,no,0.0690431
on,12,12,0.33,0.1,0.90465,0.328224,0.685928,0.961374,0.378202,8.79691,0.368291,0.000455933,0.00338373,6,6,no,0.0956733
on,20,20,0.33,0.1,0.900967,0.323626,0.675443,0.955249,0.376118,8.3683,0.413976,0.000739917,0.0056459,6,6,no,0.150765
on,40,40,0.33,0.1,0.898713,0.317802,0.654519,0.964278,0.372883,7.65869,0.465929,0.00142467,0.0113237,6,6,no,0.291064
on,80,80,0.33,0.1,0.885674,0.313606,0.644876,0.992708,0.369023,7.1162,0.545466,0.00276582,0.0227756,6,6,no,0.568036
on,160,160,0.33,0.1,0.864222,0.311758,0.64888,1.02106,0.36382,6.6994,0.697042,0.00541371,0.0460699,6,6,no,1.13308
off,1,1,0.33,0.1,0.94651,0.340459,0.708961,0.978066,0.383082,8.88001,0.073256,3.86136e-05,0.000281541,-1,6,no,0.0132339
off,2,2,0.33,0.1,0.938119,0.338775,0.708729,0.989737,0.382451,8.8979,0.132213,7.77465e-05,0.000563161,-1,6,no,0.0141197
off,3,3,0.33,0.1,0.931174,0.337276,0.706771,0.994161,0.38189,8.93129,0.17957,0.000116939,0.00084486,-1,6,no,0.0147151
off,5,5,0.33,0.1,0.920709,0.334682,0.701665,0.981578,0.380899,8.97771,0.250939,0.000194657,0.0014085,-1,6,no,0.0160554
off,8,8,0.33,0.1,0.911024,0.331528,0.695091,0.969894,0.379595,8.9552,0.318526,0.000308623,0.00225455,-1,6,no,0.0180907
off,12,12,0.33,0.1,0.90465,0.328224,0.685928,0.961374,0.378202,8.79691,0.368291,0.000455933,0.00338373,-1,6,no,0.0216257
off,20,20,0.33,0.1,0.900967,0.323626,0.675443,0.955249,0.376118,8.3683,0.413976,0.000739917,0.0056459,-1,6,no,0.0276774
off,40,40,0.33,0.1,0.898713,0.317802,0.654519,0.964278,0.372883,7.65869,0.465929,0.00142467,0.0113237,-1,6,no,0.0417296
off,80,80,0.33,0.1,0.885674,0.313606,0.644876,0.992708,0.369023,7.1162,0.545466,0.00276582,0.0227756,-1,6,no,0.0727778
off,160,160,0.33,0.1,0.864222,0.311758,0.64888,1.02106,0.36382,6.6994,0.697042,0.00541371,0.0460699,-1,6,no,0.133642
off,20,20,0.33,0.05,0.908944,0.321813,0.666872,0.963673,0.376042,8.22207,0.413498,0.000430674,0.001385,-1,6,no,0.0265403
off,20,20,0.33,0.1,0.900967,0.323626,0.675443,0.955249,0.376118,8.3683,0.413976,0.000739917,0.0056459,-1,6,no,0.026167
off,20,20,0.33,0.2,0.883956,0.327921,0.691317,0.937266,0.376511,8.70131,0.41424,0.00138759,0.0235792,-1,6,no,0.0276618
off,20,20,0.5,0.05,0.915035,0.313918,0.641808,0.986775,0.372405,7.32192,0.485395,0.000913095,0.00321001,-1,6,no,0.027148
off,20,20,0.5,0.1,0.897487,0.316626,0.65077,0.970341,0.37207,7.51005,0.481267,0.00165216,0.0132405,-1,6,no,0.0274808
off,20,20,0.5,0.2,0.858667,0.324125,0.68481,0.936675,0.372258,7.9695,0.487689,0.00323968,0.0570463,-1,6,no,0.0271093
off,20,20,0.7,0.05,0.914388,0.308871,0.631928,1.02429,0.369154,6.75325,0.576391,0.00170739,0.00636632,-1,6,no,0.0273571
off,20,20,0.7,0.1,0.880201,0.31287,0.64518,1.00055,0.367975,7.00282,0.57891,0.0032174,0.0266764,-1,6,no,0.027137
off,20,20,0.7,0.2,0.869263,0.327013,0.697321,1.00305,0.368628,7.6617,0.603159,0.00656177,0.120338,-1,6,no,0.0271104
off,20,20,0.9,0.05,0.90865,0.306013,0.635039,1.05498,0.366224,6.37431,0.673007,0.00275636,0.0106557,-1,6,no,0.0266979
off,20,20,0.9,0.1,0.86571,0.311718,0.648801,1.02183,0.363925,6.69439,0.697663,0.00535057,0.045459,-1,6,no,0.026964
off,20,20,0.9,0.2,0.962899,0.338342,0.748233,1.13783,0.368083,7.62897,0.780694,0.0112774,0.217247,-1,6,no,0.0274945
