# sdf_geometry_probe port, evaluated at the reference's own grid points
x y z port_sdf reference_sdf diff
-3 -3 -3 -11.5135676 -1e+10 9.99999999e+09
-2 -3 -3 -10.9562983 -1e+10 9.99999999e+09
-1 -3 -3 -10.4494503 -1e+10 9.99999999e+09
0 -3 -3 -10.0058125 -1e+10 9.99999999e+09
1 -3 -3 -9.61532053 -1e+10 9.99999999e+09
2 -3 -3 -9.26333687 -1e+10 9.99999999e+09
3 -3 -3 -8.99402891 -1e+10 9.99999999e+09
4 -3 -3 -8.81844614 -1e+10 9.99999999e+09
5 -3 -3 -8.69782565 -1e+10 9.99999999e+09
6 -3 -3 -8.64715357 -1e+10 9.99999999e+09
7 -3 -3 -8.69782565 -1e+10 9.99999999e+09
8 -3 -3 -8.81844614 -1e+10 9.99999999e+09
9 -3 -3 -8.99402891 -1e+10 9.99999999e+09
10 -3 -3 -9.26333687 -1e+10 9.99999999e+09
11 -3 -3 -9.61532053 -1e+10 9.99999999e+09
12 -3 -3 -10.0058125 -1e+10 9.99999999e+09
13 -3 -3 -10.4494503 -1e+10 9.99999999e+09
14 -3 -3 -10.9562983 -1e+10 9.99999999e+09
15 -3 -3 -11.5135676 -1e+10 9.99999999e+09
-3 -2 -3 -10.9562983 -1e+10 9.99999999e+09
-2 -2 -3 -10.3794432 -1e+10 9.99999999e+09
-1 -2 -3 -9.84688301 -1e+10 9.99999999e+09
0 -2 -3 -9.37910763 -1e+10 9.99999999e+09
1 -2 -3 -8.97238005 -1e+10 9.99999999e+09
2 -2 -3 -8.60282287 -1e+10 9.99999999e+09
3 -2 -3 -8.31451695 -1e+10 9.99999999e+09
4 -2 -3 -8.12485667 -1e+10 9.99999999e+09
5 -2 -3 -8.00413903 -1e+10 9.99999999e+09
6 -2 -3 -7.94904763 -1e+10 9.99999999e+09
7 -2 -3 -8.00414046 -1e+10 9.99999999e+09
8 -2 -3 -8.12485667 -1e+10 9.99999999e+09
9 -2 -3 -8.31451695 -1e+10 9.99999999e+09
10 -2 -3 -8.60282287 -1e+10 9.99999999e+09
11 -2 -3 -8.97237976 -1e+10 9.99999999e+09
12 -2 -3 -9.37910763 -1e+10 9.99999999e+09
13 -2 -3 -9.84688301 -1e+10 9.99999999e+09
14 -2 -3 -10.3794432 -1e+10 9.99999999e+09
15 -2 -3 -10.9562983 -1e+10 9.99999999e+09
-3 -1 -3 -10.4494503 -1e+10 9.99999999e+09
-2 -1 -3 -9.84688301 -1e+10 9.99999999e+09
-1 -1 -3 -9.28984058 -1e+10 9.99999999e+09
0 -1 -3 -8.79462822 -1e+10 9.99999999e+09
1 -1 -3 -8.36726609 -1e+10 9.99999999e+09
2 -1 -3 -7.9897796 -1e+10 9.99999999e+09
3 -1 -3 -7.68089471 -1e+10 9.99999999e+09
4 -1 -3 -7.47876303 -1e+10 9.99999999e+09
5 -1 -3 -7.35723556 -1e+10 9.99999999e+09
6 -1 -3 -7.29807264 -1e+10 9.99999999e+09
7 -1 -3 -7.35723556 -1e+10 9.99999999e+09
8 -1 -3 -7.47876303 -1e+10 9.99999999e+09
9 -1 -3 -7.68089471 -1e+10 9.99999999e+09
10 -1 -3 -7.9897796 -1e+10 9.99999999e+09
11 -1 -3 -8.36726609 -1e+10 9.99999999e+09
12 -1 -3 -8.79462822 -1e+10 9.99999999e+09
13 -1 -3 -9.28984058 -1e+10 9.99999999e+09
14 -1 -3 -9.84688301 -1e+10 9.99999999e+09
15 -1 -3 -10.4494503 -1e+10 9.99999999e+09
-3 0 -3 -10.0058125 -1e+10 9.99999999e+09
-2 0 -3 -9.37910763 -1e+10 9.99999999e+09
-1 0 -3 -8.79462822 -1e+10 9.99999999e+09
0 0 -3 -8.27133897 -1e+10 9.99999999e+09
1 0 -3 -7.82133502 -1e+10 9.99999999e+09
2 0 -3 -7.43225234 -1e+10 9.99999999e+09
3 0 -3 -7.10761213 -1e+10 9.99999999e+09
4 0 -3 -6.89139322 -1e+10 9.99999999e+09
5 0 -3 -6.76907149 -1e+10 9.99999999e+09
6 0 -3 -6.70609475 -1e+10 9.99999999e+09
7 0 -3 -6.76907149 -1e+10 9.99999999e+09
8 0 -3 -6.89139322 -1e+10 9.99999999e+09
9 0 -3 -7.10761213 -1e+10 9.99999999e+09
10 0 -3 -7.43225234 -1e+10 9.99999999e+09
11 0 -3 -7.82133502 -1e+10 9.99999999e+09
12 0 -3 -8.27133897 -1e+10 9.99999999e+09
13 0 -3 -8.79462822 -1e+10 9.99999999e+09
14 0 -3 -9.37910763 -1e+10 9.99999999e+09
15 0 -3 -10.0058125 -1e+10 9.99999999e+09
-3 1 -3 -9.61532053 -1e+10 9.99999999e+09
-2 1 -3 -8.97237976 -1e+10 9.99999999e+09
-1 1 -3 -8.36726609 -1e+10 9.99999999e+09
0 1 -3 -7.82133502 -1e+10 9.99999999e+09
1 1 -3 -7.3541052 -1e+10 9.99999999e+09
2 1 -3 -6.95014993 -1e+10 9.99999999e+09
3 1 -3 -6.60940777 -1e+10 9.99999999e+09
4 1 -3 -6.3781993 -1e+10 9.99999999e+09
5 1 -3 -6.25033827 -1e+10 9.99999999e+09
6 1 -3 -6.183505 -1e+10 9.99999999e+09
7 1 -3 -6.25033827 -1e+10 9.99999999e+09
8 1 -3 -6.3781993 -1e+10 9.99999999e+09
9 1 -3 -6.60940777 -1e+10 9.99999999e+09
10 1 -3 -6.95014993 -1e+10 9.99999999e+09
11 1 -3 -7.35418628 -1e+10 9.99999999e+09
12 1 -3 -7.82133502 -1e+10 9.99999999e+09
13 1 -3 -8.36726609 -1e+10 9.99999999e+09
14 1 -3 -8.97238005 -1e+10 9.99999999e+09
15 1 -3 -9.61532053 -1e+10 9.99999999e+09
-3 2 -3 -9.26333687 -1e+10 9.99999999e+09
-2 2 -3 -8.60282287 -1e+10 9.99999999e+09
-1 2 -3 -7.9897796 -1e+10 9.99999999e+09
0 2 -3 -7.43225234 -1e+10 9.99999999e+09
1 2 -3 -6.95014993 -1e+10 9.99999999e+09
2 2 -3 -6.55491397 -1e+10 9.99999999e+09
3 2 -3 -6.20917976 -1e+10 9.99999999e+09
4 2 -3 -5.96515594 -1e+10 9.99999999e+09
5 2 -3 -5.83306756 -1e+10 9.99999999e+09
6 2 -3 -5.76236236 -1e+10 9.99999999e+09
7 2 -3 -5.83305147 -1e+10 9.99999999e+09
