subject,stage,obl_max_mm,obl_rms_mm,obl_p99_mm,all_rms_mm,cad_side_max_mm,cad_side_rms_mm,cad_side_p99_mm,cad_side_n,skin_max_mm,skin_rms_mm,skin_p99_mm,skin_n,obl_smooth_rms_mm,obl_smooth_n,obl_edge_rms_mm,obl_edge_n,dihedral_deg,motion_mm,removed_pct,min_feature,components,verts,tris,rho_t,target_vol_mm3,final_vol_mm3,vol_err_pct,mass_g,wall_s
occupancy(CAD),isocontour only,1.11595,0.300763,0.689945,0.276471,1.73306,1.0717,1.63022,96028,1.11595,0.300763,0.689945,30022,0.28691,27668,0.431449,2354,4.14484,0.898981,19.324,31,1,139502,279000,0.49204,549963,549448,-0.0937751,681.315,0.584754
occupancy(CAD),SDF B/h 1 interp f2,1.11787,0.304576,0.672003,0.27348,1.73278,1.06192,1.62719,96028,1.11787,0.304576,0.672003,31614,0.295323,28957,0.391491,2657,4.16269,0.756228,18.3012,28,1,154524,309044,0.49204,549963,549964,6.93246e-05,681.955,7.41
occupancy(CAD),Taubin shipped max (20/20 prs),0.87556,0.34712,0.735238,0.273543,1.51801,0.787965,1.35298,96028,0.87556,0.34712,0.735238,31983,0.34721,29340,0.346116,2643,7.23928,0.158383,6.88948,36,1,139688,279372,0.5,549963,545049,-0.893543,675.861,0.22086
occupancy(CAD),Taubin best-found (20/20 prs),0.895771,0.285477,0.643826,0.251694,1.56047,0.853999,1.39462,96028,0.895771,0.285477,0.643826,31749,0.283461,29100,0.30675,2649,4.47716,0.450755,23.4243,36,1,139688,279372,0.5,549963,545311,-0.845938,676.186,0.226342
occupancy(CAD),as exported today,0.958875,0.372804,0.753932,0.282598,1.45209,0.763178,1.31431,96028,0.958875,0.372804,0.753932,32092,0.373244,29475,0.367808,2617,7.6673,0,0,36,1,139688,279372,0.5,549963,544925,-0.916124,675.707,0
rung 0.68,isocontour only,11.2945,1.25341,5.26874,2.31423,2.30461,1.11642,1.68826,95172,1.70148,0.42704,1.40835,24265,1.29718,24389,0.47445,2023,5.67155,1.08319,1.92681,52,8,144758,289488,0.504087,437354,437354,8.8044e-05,542.319,0.260338
rung 0.68,SDF B/h 1 interp f2,10.8761,1.29741,5.35116,2.33075,2.32712,1.08638,1.65015,95172,1.70462,0.398952,1.35739,24997,1.34862,25397,0.420078,2284,5.42317,1.0069,-1.51637,53,9,162810,325588,0.504087,437354,437354,9.37354e-05,542.319,7.77015
rung 0.68,Taubin shipped max (20/20 prs),11.3398,1.27622,5.22458,2.45404,1.72581,0.792941,1.36361,95172,1.70478,0.406903,1.26038,26430,1.32735,26469,0.371833,2364,8.3295,0.230207,0.141432,384,11,149256,298476,0.5,437354,435692,-0.379955,540.258,0.26294
rung 0.68,Taubin best-found (20/20 prs),11.3591,1.26017,5.2707,2.44978,1.76062,0.859645,1.4025,95172,1.70449,0.356378,1.26689,26111,1.31213,26117,0.334862,2365,6.0941,0.540861,1.3974,382,11,149256,298476,0.5,437354,435821,-0.350452,540.418,0.277816
rung 0.68,as exported today,11.2928,1.27803,5.25297,2.4556,1.69785,0.767994,1.31756,95172,1.69656,0.427987,1.24086,26567,1.32783,26630,0.394213,2338,8.94268,0,0,388,11,149256,298476,0.5,437354,435633,-0.393551,540.185,0
rung 0.52,isocontour only,13.1597,2.20724,8.99215,3.2104,2.28323,1.10445,1.67803,94986,1.70463,0.455622,1.4743,20872,2.29699,23733,0.494067,2073,5.81163,0.976993,-2.89322,96,9,158102,316168,0.498298,381072,381072,3.8075e-05,472.53,0.433657
rung 0.52,SDF B/h 1 interp f2,12.7947,2.23379,8.9768,3.28781,2.1851,1.0879,1.65332,94986,1.70503,0.463105,1.58914,21785,2.33413,25145,0.435887,2401,5.81997,0.954699,-4.13082,106,9,177980,355924,0.498298,381072,381073,8.96017e-05,472.53,7.18952
rung 0.52,Taubin shipped max (20/20 prs),13.1747,2.14706,8.77283,3.19417,1.70711,0.793961,1.36361,94986,1.70478,0.424772,1.37959,22854,2.24141,25588,0.388743,2376,9.13287,0.165672,-0.0878636,527,17,161454,322840,0.5,381072,378732,-0.614036,469.628,0.276572
rung 0.52,Taubin best-found (20/20 prs),13.1931,2.14402,8.8022,3.18968,1.84896,0.861089,1.40252,94986,1.70414,0.381462,1.39017,22497,2.24038,25193,0.350871,2379,6.47784,0.515012,0.0538395,524,17,161454,322840,0.5,381072,378725,-0.615964,469.619,0.293772
rung 0.52,as exported today,13.1852,2.14518,8.74359,3.19582,1.70528,0.768962,1.31767,94986,1.70429,0.446134,1.39894,23000,2.23754,25760,0.417105,2355,9.62375,0,0,527,17,161454,322840,0.5,381072,378738,-0.612426,469.636,0
rung 0.38,isocontour only,14.2566,3.1092,10.8201,3.4813,2.27384,1.09882,1.66865,94798,1.69897,0.460125,1.4555,18005,3.24405,22888,0.494168,2081,6.17342,0.994546,-3.0467,81,3,161400,322804,0.496083,331816,331816,-0.000216395,411.451,0.672144
rung 0.38,SDF B/h 1 interp f2,14.3388,3.3189,11.0406,3.32682,2.17403,1.08175,1.64271,94798,1.70389,0.479657,1.6288,19364,3.46441,26188,0.431617,2387,5.32238,1.01015,-9.9966,92,4,242071,484142,0.496083,331816,331816,-5.33624e-05,411.452,7.74773
rung 0.38,Taubin shipped max (20/20 prs),14.3797,3.02475,10.7844,3.45374,1.7075,0.794233,1.35993,94798,1.70478,0.415954,1.31486,19988,3.16364,24875,0.388742,2376,9.34908,0.165672,-0.247813,604,5,165112,330228,0.5,331816,329745,-0.62426,408.884,0.289819
rung 0.38,Taubin best-found (20/20 prs),14.4274,3.04706,10.845,3.44969,1.80473,0.861421,1.40049,94798,1.70414,0.377532,1.35166,19636,3.18913,24600,0.350876,2379,6.71498,0.513986,-0.987224,604,5,165112,330228,0.5,331816,329721,-0.631461,408.854,0.306262
rung 0.38,as exported today,14.2901,3.01727,10.7827,3.45522,1.70528,0.769193,1.31637,94798,1.69857,0.436672,1.30833,20132,3.15345,25026,0.417105,2355,9.83884,0,0,604,5,165112,330228,0.5,331816,329738,-0.626272,408.876,0
rung 0.26,isocontour only,15.548,3.69945,12.9841,3.70099,2.32061,1.08744,1.65158,94705,1.70503,0.465433,1.47234,16559,3.8667,22373,0.492743,2106,6.33832,0.990285,-3.53331,120,1,162970,325980,0.49204,289594,289595,2.91231e-05,359.097,0.33879
rung 0.26,SDF B/h 1 interp f2,15.2998,3.84148,13.144,3.75829,2.26278,1.07616,1.6335,94705,1.70472,0.472577,1.61647,17003,4.0247,24013,0.430314,2375,6.30672,0.980402,-7.50813,113,1,182786,365612,0.49204,289594,289594,-3.25681e-06,359.097,6.91309
rung 0.26,Taubin shipped max (20/20 prs),15.61,3.58319,12.8938,3.64985,1.71375,0.794366,1.35593,94705,1.70478,0.417347,1.39363,18426,3.75166,24396,0.388742,2376,9.48916,0.200305,-0.279495,674,2,166590,333216,0.5,289594,287750,-0.636985,356.81,0.293608
rung 0.26,Taubin best-found (20/20 prs),15.6651,3.59871,12.9135,3.64689,1.80457,0.861637,1.39887,94705,1.70414,0.379141,1.40852,18086,3.77094,24043,0.350906,2379,6.81347,0.471179,-0.713978,674,2,166590,333216,0.5,289594,287731,-0.643405,356.787,0.316497
rung 0.26,as exported today,15.5964,3.5732,12.8044,3.65109,1.69286,0.76929,1.31575,94705,1.70381,0.437701,1.3978,18567,3.73842,24552,0.417106,2355,9.96531,0,0,674,2,166590,333216,0.5,289594,287727,-0.644863,356.781,0
