subject,stage,obl_max_mm,obl_rms_mm,obl_p99_mm,all_rms_mm,cad_side_max_mm,cad_side_rms_mm,cad_side_p99_mm,cad_side_n,skin_max_mm,skin_rms_mm,skin_p99_mm,skin_n,obl_smooth_rms_mm,obl_smooth_n,obl_edge_rms_mm,obl_edge_n,dihedral_deg,motion_mm,removed_pct,min_feature,components,verts,tris,rho_t,target_vol_mm3,final_vol_mm3,vol_err_pct,mass_g,wall_s
occupancy(CAD),SDF B/h 3.300,1.41046,0.372755,0.963372,0.404654,2.91321,1.76606,2.24021,96028,1.41046,0.372755,0.963372,2973,0.362315,2697,0.462533,276,9.01471,1.70148,0.0131527,367,1,13084,26164,0.49204,549963,549963,-7.72208e-06,681.955,4.28981
occupancy(CAD),SDF B/h 2.000,1.13727,0.292722,0.73795,0.28041,2.16206,1.15037,1.96676,96028,1.13727,0.292722,0.73795,7269,0.274845,6694,0.451456,575,6.39145,0.900062,21.4809,8,1,38254,76504,0.49204,549963,549964,8.15269e-05,681.955,4.11538
occupancy(CAD),SDF B/h 1.500,1.12094,0.301205,0.648784,0.280112,1.86318,1.17417,1.75156,96028,1.12094,0.301205,0.648784,14339,0.289132,13339,0.431038,1000,5.34507,0.905117,19.2055,5,1,62718,125432,0.49204,549963,549963,-1.60495e-05,681.954,4.88639
occupancy(CAD),SDF B/h 1.000,1.11787,0.304576,0.672003,0.27348,1.73278,1.06192,1.62719,96028,1.11787,0.304576,0.672003,31614,0.295323,28957,0.391491,2657,4.16269,0.756228,18.3012,28,1,154524,309044,0.49204,549963,549964,6.93246e-05,681.955,7.2948
occupancy(CAD),SDF B/h 0.750,1.17851,0.305708,0.649141,0.269368,1.75144,1.0788,1.63535,96028,1.17851,0.305708,0.649141,53998,0.294971,49865,0.413852,4133,3.11831,0.880967,17.9975,28,1,250840,501676,0.49204,549963,549963,-8.42853e-05,681.954,11.4023
occupancy(CAD),SDF B/h 0.500,1.11884,0.299734,0.715356,0.277785,1.76061,1.0427,1.62238,96028,1.11884,0.299734,0.715356,121123,0.285771,110993,0.423577,10130,2.73472,0.907726,19.6001,28,1,563135,1126266,0.49204,549963,549963,-4.73159e-05,681.954,23.8814
occupancy(CAD),as exported today,0.958875,0.372804,0.753932,0.282598,1.45209,0.763178,1.31431,96028,0.958875,0.372804,0.753932,32092,0.373244,29475,0.367808,2617,7.6673,0,0,36,1,139688,279372,0.5,549963,544925,-0.916124,675.707,0
rung 0.68,SDF B/h 3.300,10.718,1.21866,5.30428,2.29285,4.60366,1.8241,2.29422,95172,1.70253,0.436398,1.36616,2155,1.27332,2090,0.513204,233,12.9129,2.1476,4.64544,822,7,13298,26568,0.504087,437354,437354,-7.5062e-05,542.319,3.69809
rung 0.68,SDF B/h 2.000,11.0353,1.32929,5.23127,2.2853,3.51694,1.18589,2.01104,95172,1.70365,0.458075,1.50485,5877,1.379,6021,0.510121,538,8.68184,1.67039,-4.01083,99,8,42212,84392,0.504087,437354,437354,-1.01151e-05,542.319,4.25156
rung 0.68,SDF B/h 1.500,10.4551,1.21668,5.31804,2.32982,2.29348,1.20788,1.79916,95172,1.70411,0.435418,1.40619,11365,1.25699,11442,0.460963,900,7.39114,1.1743,4.80044,44,8,64320,128612,0.504087,437354,437354,-2.63159e-05,542.319,4.7521
rung 0.68,SDF B/h 1.000,10.8761,1.29741,5.35116,2.33075,2.32712,1.08638,1.65015,95172,1.70462,0.398952,1.35739,24997,1.34862,25397,0.420078,2284,5.42317,1.0069,-1.51637,53,9,162810,325588,0.504087,437354,437354,9.37354e-05,542.319,7.45303
rung 0.68,SDF B/h 0.750,11.0826,1.2417,5.23762,2.29575,2.24327,1.08614,1.64504,95172,1.7048,0.418193,1.4165,43161,1.28693,43307,0.449858,3698,4.22505,1.10973,2.84281,49,8,258854,517680,0.504087,437354,437354,-7.33714e-05,542.319,11.3678
rung 0.68,SDF B/h 0.500,11.3554,1.25627,5.29923,2.3529,2.28979,1.08244,1.66305,95172,1.70428,0.4198,1.4133,99309,1.30356,99342,0.467215,8844,3.47724,1.099,1.70305,42,9,588862,1177700,0.504087,437354,437354,-5.51258e-05,542.319,26.1983
rung 0.68,as exported today,11.2928,1.27803,5.25297,2.4556,1.69785,0.767994,1.31756,95172,1.69656,0.427987,1.24086,26567,1.32783,26630,0.394213,2338,8.94268,0,0,388,11,149256,298476,0.5,437354,435633,-0.393551,540.185,0
