variant,population,n,max_mm,rms_mm,p99_mm,mean_mm,max_voxel,rms_voxel
variant_026.stl,"CAD-face, all",97717,1.70524,0.914648,1.63744,0.820407,0.999975,0.536363
variant_026.stl,"CAD-face, OBLIQUE",21397,1.70463,0.915861,1.65718,0.825022,0.999618,0.537074
variant_026.stl,"optimizer-cut, all",64531,15.7738,5.77643,11.5106,5.39662,9.25,3.38738
variant_026.stl,"optimizer-cut, OBL",7551,15.6337,6.23666,13.8364,5.5315,9.16784,3.65726
variant_026.stl,"OBLIQUE, both (PR 299's headline population)",28948,15.6337,3.28114,11.8774,2.05269,9.16784,1.92411
variant_038.stl,"CAD-face, all",104082,1.70524,0.899943,1.63344,0.805526,0.999975,0.527739
variant_038.stl,"CAD-face, OBLIQUE",22308,1.70463,0.919372,1.65506,0.829027,0.999618,0.539133
variant_038.stl,"optimizer-cut, all",57430,14.7248,5.70018,10.658,5.32279,8.63481,3.34267
variant_038.stl,"optimizer-cut, OBL",6657,14.7248,5.83371,12.7166,5.1972,8.63481,3.42097
variant_038.stl,"OBLIQUE, both (PR 299's headline population)",28965,14.7248,2.91077,10.601,1.83296,8.63481,1.70692
variant_052.stl,"CAD-face, all",111239,1.70524,0.890545,1.63151,0.796149,0.999975,0.522228
variant_052.stl,"CAD-face, OBLIQUE",25488,1.70504,0.935551,1.65987,0.843995,0.999861,0.548621
variant_052.stl,"optimizer-cut, all",34683,11.0698,4.8447,10.2548,4.56324,6.49149,2.841
variant_052.stl,"optimizer-cut, OBL",4096,10.3364,3.98336,7.1506,3.7037,6.0614,2.3359
variant_052.stl,"OBLIQUE, both (PR 299's headline population)",29584,10.3364,1.71783,5.73898,1.23993,6.0614,1.00736
variant_068.stl,"CAD-face, all",119155,1.70524,0.884306,1.63456,0.79122,0.999975,0.518569
variant_068.stl,"CAD-face, OBLIQUE",28223,1.70504,0.95473,1.66551,0.863973,0.999861,0.559867
variant_068.stl,"optimizer-cut, all",24707,11.1552,4.72781,10.2548,4.44065,6.54159,2.77245
variant_068.stl,"optimizer-cut, OBL",2372,10.3322,3.53813,7.02901,3.27407,6.05896,2.07481
variant_068.stl,"OBLIQUE, both (PR 299's headline population)",30595,10.3322,1.34587,4.93487,1.05083,6.05896,0.789239
