variant,bin_lo_voxel,bin_hi_voxel,vertices
variant_026.stl,0,0.25,30778
variant_026.stl,0.25,0.5,16399
variant_026.stl,0.5,0.75,31192
variant_026.stl,0.75,1,19348
variant_026.stl,1,1.25,2710
variant_026.stl,1.25,1.5,1872
variant_026.stl,1.5,1.75,1957
variant_026.stl,1.75,2,1739
variant_026.stl,2,2.25,2010
variant_026.stl,2.25,2.5,1957
variant_026.stl,2.5,2.75,17158
variant_026.stl,2.75,3,3890
variant_026.stl,3,3.25,2878
variant_026.stl,3.25,3.5,7156
variant_026.stl,3.5,3.75,9082
variant_026.stl,3.75,4,369
variant_026.stl,4,99,11753
variant_038.stl,0,0.25,34169
variant_038.stl,0.25,0.5,18677
variant_038.stl,0.5,0.75,31651
variant_038.stl,0.75,1,19585
variant_038.stl,1,1.25,2782
variant_038.stl,1.25,1.5,1670
variant_038.stl,1.5,1.75,1931
variant_038.stl,1.75,2,1459
variant_038.stl,2,2.25,1893
variant_038.stl,2.25,2.5,1785
variant_038.stl,2.5,2.75,16054
variant_038.stl,2.75,3,3200
variant_038.stl,3,3.25,2517
variant_038.stl,3.25,3.5,5964
variant_038.stl,3.5,3.75,7776
variant_038.stl,3.75,4,361
variant_038.stl,4,99,10038
variant_052.stl,0,0.25,37625
variant_052.stl,0.25,0.5,21123
variant_052.stl,0.5,0.75,32092
variant_052.stl,0.75,1,20399
variant_052.stl,1,1.25,2737
variant_052.stl,1.25,1.5,1276
variant_052.stl,1.5,1.75,1675
variant_052.stl,1.75,2,981
variant_052.stl,2,2.25,1482
variant_052.stl,2.25,2.5,1307
variant_052.stl,2.5,2.75,14428
variant_052.stl,2.75,3,2016
variant_052.stl,3,3.25,1666
variant_052.stl,3.25,3.5,1928
variant_052.stl,3.5,3.75,2248
variant_052.stl,3.75,4,98
variant_052.stl,4,99,2841
variant_068.stl,0,0.25,40117
variant_068.stl,0.25,0.5,24935
variant_068.stl,0.5,0.75,32797
variant_068.stl,0.75,1,21306
variant_068.stl,1,1.25,2408
variant_068.stl,1.25,1.5,798
variant_068.stl,1.5,1.75,1334
variant_068.stl,1.75,2,492
variant_068.stl,2,2.25,1032
variant_068.stl,2.25,2.5,755
variant_068.stl,2.5,2.75,11753
variant_068.stl,2.75,3,1235
variant_068.stl,3,3.25,1024
variant_068.stl,3.25,3.5,813
variant_068.stl,3.5,3.75,1218
variant_068.stl,3.75,4,32
variant_068.stl,4,99,1813
