variant,face_id,nominal_radius_mm,vertices,before_min,before_max,before_mean,before_rms_err,before_oor,after_min,after_max,after_mean,after_rms_err,after_oor
variant_026.stl,4,84.5,2554,82.7959,84.5785,83.475,1.10401,1.78265,84.5,84.5,84.5,9.71214e-15,5.68434e-14
variant_026.stl,17,67.5,992,65.8248,69.1872,67.3097,0.912874,3.3624,67.5,67.5,67.5,6.16751e-15,4.26326e-14
variant_026.stl,19,30,801,28.3096,30.0154,28.9242,1.14174,1.70576,30,30,30,3.95167e-15,1.77636e-14
variant_026.stl,21,30,2119,28.2964,30.0964,29.0064,1.0702,1.80005,30,30,30,3.37905e-15,1.42109e-14
variant_026.stl,32,30,303,28.6792,29.9029,29.0922,0.969968,1.22369,30,30,30,3.23352e-15,1.06581e-14
variant_026.stl,58,3,443,3.26967,3.68572,3.46173,0.481955,0.416045,3,3,3,1.03494e-15,3.10862e-15
variant_026.stl,61,3,1499,3.26839,3.68624,3.47964,0.503962,0.417849,3,3,3,1.94753e-15,6.21725e-15
variant_026.stl,62,3,1501,3.44382,3.92792,3.66651,0.687014,0.484103,3,3,3,3.13495e-16,8.88178e-16
variant_026.stl,63,3,22,3.30249,3.73314,3.54594,0.559798,0.430643,3,3,3,9.68518e-15,3.4639e-14
variant_026.stl,64,3,21,3.45578,3.91987,3.69581,0.707789,0.464096,3,3,3,6.1006e-15,1.77636e-14
variant_026.stl,65,3,337,3.26994,3.68609,3.48212,0.506355,0.416154,3,3,3,6.59095e-15,2.70894e-14
variant_026.stl,66,2000,345,1998.31,2001.63,2000.16,0.857085,3.32456,2000,2000,2000,1.88459e-13,9.09495e-13
variant_038.stl,4,84.5,2554,82.7959,84.5785,83.475,1.10401,1.78265,84.5,84.5,84.5,9.71214e-15,5.68434e-14
variant_038.stl,17,67.5,992,65.8248,69.1872,67.3097,0.912874,3.3624,67.5,67.5,67.5,6.16751e-15,4.26326e-14
variant_038.stl,19,30,801,28.3096,30.0154,28.9242,1.14174,1.70576,30,30,30,3.95167e-15,1.77636e-14
variant_038.stl,21,30,2119,28.2964,30.0964,29.0064,1.0702,1.80005,30,30,30,3.37905e-15,1.42109e-14
variant_038.stl,32,30,303,28.6792,29.9029,29.0922,0.969968,1.22369,30,30,30,3.23352e-15,1.06581e-14
variant_038.stl,58,3,443,3.26967,3.68572,3.46173,0.481955,0.416045,3,3,3,1.03494e-15,3.10862e-15
variant_038.stl,61,3,1500,3.24877,3.68609,3.47786,0.502283,0.437328,3,3,3,1.77813e-15,6.66134e-15
variant_038.stl,62,3,1501,3.44382,3.92792,3.66614,0.686633,0.484103,3,3,3,3.10336e-16,8.88178e-16
variant_038.stl,63,3,21,3.27403,3.73054,3.54447,0.55699,0.456515,3,3,3,1.14031e-14,4.88498e-14
variant_038.stl,64,3,21,3.45578,3.91987,3.69581,0.707789,0.464096,3,3,3,6.1006e-15,1.77636e-14
variant_038.stl,65,3,337,3.26808,3.68609,3.47889,0.503283,0.418013,3,3,3,6.14191e-15,2.39808e-14
variant_038.stl,66,2000,345,1998.31,2001.63,2000.16,0.857085,3.32456,2000,2000,2000,1.88459e-13,9.09495e-13
variant_052.stl,4,84.5,2554,82.7959,84.5785,83.475,1.10401,1.78265,84.5,84.5,84.5,9.71214e-15,5.68434e-14
variant_052.stl,17,67.5,992,65.8248,69.1872,67.3097,0.912874,3.3624,67.5,67.5,67.5,6.16751e-15,4.26326e-14
variant_052.stl,19,30,801,28.3096,30.0154,28.9242,1.14174,1.70576,30,30,30,3.95167e-15,1.77636e-14
variant_052.stl,21,30,2119,28.2964,30.0964,29.0064,1.0702,1.80005,30,30,30,3.37905e-15,1.42109e-14
variant_052.stl,32,30,303,28.6792,29.9029,29.0922,0.969968,1.22369,30,30,30,3.23352e-15,1.06581e-14
variant_052.stl,58,3,443,3.26967,3.68653,3.46132,0.481622,0.416862,3,3,3,9.79017e-16,3.9968e-15
variant_052.stl,61,3,1500,3.24877,3.67864,3.47525,0.499791,0.429875,3,3,3,1.57398e-15,6.21725e-15
variant_052.stl,62,3,1501,3.44382,3.92792,3.66522,0.68567,0.484103,3,3,3,3.07572e-16,8.88178e-16
variant_052.stl,63,3,21,3.27403,3.73054,3.54447,0.55699,0.456515,3,3,3,1.14031e-14,4.88498e-14
variant_052.stl,64,3,21,3.45578,3.91987,3.69581,0.707789,0.464096,3,3,3,6.1006e-15,1.77636e-14
variant_052.stl,65,3,337,3.26863,3.68609,3.47843,0.502847,0.41746,3,3,3,6.15529e-15,2.53131e-14
variant_052.stl,66,2000,345,1998.31,2001.63,2000.16,0.857085,3.32456,2000,2000,2000,1.88459e-13,9.09495e-13
variant_068.stl,4,84.5,2554,82.7959,84.5785,83.475,1.10401,1.78265,84.5,84.5,84.5,9.71214e-15,5.68434e-14
variant_068.stl,17,67.5,992,65.8248,69.1872,67.3097,0.912874,3.3624,67.5,67.5,67.5,6.16751e-15,4.26326e-14
variant_068.stl,19,30,801,28.3096,30.0154,28.9242,1.14174,1.70576,30,30,30,3.95167e-15,1.77636e-14
variant_068.stl,21,30,2119,28.2964,30.0964,29.0064,1.0702,1.80005,30,30,30,3.37905e-15,1.42109e-14
variant_068.stl,32,30,303,28.6792,29.9029,29.0922,0.969968,1.22369,30,30,30,3.23352e-15,1.06581e-14
variant_068.stl,58,3,443,3.2696,3.68657,3.46361,0.483602,0.41697,3,3,3,7.84656e-16,3.9968e-15
variant_068.stl,61,3,1500,3.24877,3.67601,3.4729,0.497525,0.427239,3,3,3,1.30772e-15,6.21725e-15
