variant,face_id,vertices,before_max_abs,before_rms,after_max_abs,after_rms
variant_026.stl,0,40,0.602885,0.580109,0,0
variant_026.stl,2,10096,1.69448,0.552026,0,0
variant_026.stl,3,1844,1.67299,0.677457,0,0
variant_026.stl,5,13,1.55293,1.30445,1.08216e-14,4.22563e-15
variant_026.stl,6,11,1.15845,0.83868,5.05488e-15,4.77867e-15
variant_026.stl,8,27,1.15839,0.798181,1.01713e-16,5.31413e-17
variant_026.stl,10,32,1.59896,1.21958,0,0
variant_026.stl,11,17,1.63477,1.19079,4.33579e-17,1.79652e-17
variant_026.stl,12,4,1.31391,1.07889,9.53074e-15,6.21899e-15
variant_026.stl,14,10,1.47943,0.978733,0,0
variant_026.stl,15,1430,1.60453,0.679552,0,0
variant_026.stl,16,15600,1.23948,0.935323,0,0
variant_026.stl,18,13392,0.400645,0.399349,0,0
variant_026.stl,20,5269,1.38424,1.37373,0,0
variant_026.stl,24,5324,1.3364,1.32409,0,0
variant_026.stl,29,418,1.22855,0.869007,0,0
variant_026.stl,30,362,1.65701,0.575939,0,0
variant_026.stl,31,811,0.991841,0.973499,0,0
variant_026.stl,33,43,1.23427,0.732679,1.02387e-14,7.4445e-15
variant_026.stl,35,82,1.21112,0.980405,1.02344e-14,7.06917e-15
variant_026.stl,38,253,1.23596,0.763205,1.09321e-14,7.58156e-15
variant_026.stl,39,234,1.58803,1.15637,8.18656e-15,5.41516e-15
variant_026.stl,40,92,1.4058,1.01221,3.84984e-15,3.09487e-15
variant_026.stl,48,447,0.799332,0.641906,1.02669e-16,2.24626e-17
variant_026.stl,50,422,0.783391,0.614735,3.2324e-15,3.12298e-15
variant_026.stl,51,75,1.60032,0.692233,1.0101e-14,7.67507e-15
variant_026.stl,52,11,1.40858,0.623727,2.53374e-15,2.50795e-15
variant_026.stl,55,73,1.24147,1.14772,6.66232e-15,5.61693e-15
variant_026.stl,73,416,0.854472,0.708771,6.65774e-16,6.21891e-16
variant_026.stl,74,191,1.195,0.816353,9.1547e-15,3.70394e-15
variant_038.stl,0,40,0.602885,0.580109,0,0
variant_038.stl,2,12719,1.70209,0.515385,0,0
variant_038.stl,3,2072,1.57857,0.610019,0,0
variant_038.stl,5,13,1.55293,1.30445,1.08216e-14,4.22563e-15
variant_038.stl,6,11,1.15845,0.83868,5.05488e-15,4.77867e-15
variant_038.stl,8,27,1.15839,0.798181,1.01713e-16,5.31413e-17
variant_038.stl,10,32,1.59896,1.21958,0,0
variant_038.stl,11,17,1.63477,1.19079,4.33579e-17,1.79652e-17
